Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.2139,$0.2173,$0.2003,$0.2093,"$794,812","$794,812"
"Sep 18, 2022",$0.2223,$0.2273,$0.2132,$0.214,"$666,451","$666,451"
"Sep 17, 2022",$0.2245,$0.23,$0.221,$0.2223,"$554,375","$554,375"
"Sep 16, 2022",$0.254,$0.2772,$0.2234,$0.2245,"$3,283,853","$3,283,853"
"Sep 15, 2022",$0.2431,$0.2639,$0.2411,$0.2538,"$627,917","$627,917"
"Sep 14, 2022",$0.2456,$0.2544,$0.2291,$0.2431,"$666,930","$666,930"
"Sep 13, 2022",$0.2478,$0.2568,$0.2296,$0.2459,"$766,755","$766,755"
"Sep 12, 2022",$0.2314,$0.2492,$0.2289,$0.2477,"$743,160","$743,160"
"Sep 11, 2022",$0.2269,$0.2376,$0.2262,$0.233,"$662,868","$662,868"
"Sep 10, 2022",$0.2235,$0.2271,$0.2218,$0.2269,"$306,107","$306,107"
"Sep 09, 2022",$0.2168,$0.2264,$0.2162,$0.2235,"$419,210","$419,210"
"Sep 08, 2022",$0.2219,$0.2305,$0.2157,$0.2168,"$780,884","$780,884"
"Sep 07, 2022",$0.2176,$0.2231,$0.212,$0.2219,"$651,748","$651,748"
"Sep 06, 2022",$0.2213,$0.2274,$0.2167,$0.2186,"$937,433","$937,433"
"Sep 05, 2022",$0.2147,$0.2217,$0.2046,$0.2213,"$472,194","$472,194"
"Sep 04, 2022",$0.2141,$0.2156,$0.2109,$0.2147,"$257,798","$257,798"
"Sep 03, 2022",$0.2152,$0.2168,$0.213,$0.2141,"$321,345","$321,345"
"Sep 02, 2022",$0.2063,$0.2159,$0.2055,$0.2152,"$560,438","$560,438"
"Sep 01, 2022",$0.2075,$0.2095,$0.2039,$0.2063,"$345,507","$345,507"
"Aug 31, 2022",$0.2032,$0.2115,$0.2031,$0.2077,"$445,588","$445,588"
"Aug 30, 2022",$0.2079,$0.2105,$0.2027,$0.2032,"$349,219","$349,219"
"Aug 29, 2022",$0.2041,$0.2087,$0.203,$0.2079,"$317,226","$317,226"
"Aug 28, 2022",$0.2104,$0.2134,$0.2038,$0.2041,"$509,738","$509,738"
"Aug 27, 2022",$0.214,$0.2163,$0.2104,$0.2104,"$514,034","$514,034"
"Aug 26, 2022",$0.2187,$0.2227,$0.2139,$0.2147,"$383,812","$383,812"
"Aug 25, 2022",$0.2133,$0.2245,$0.2112,$0.2187,"$452,631","$452,631"
"Aug 24, 2022",$0.2131,$0.2148,$0.2091,$0.2133,"$359,963","$359,963"
"Aug 23, 2022",$0.2133,$0.2151,$0.2077,$0.2131,"$364,937","$364,937"
"Aug 22, 2022",$0.2143,$0.2172,$0.2084,$0.2134,"$308,403","$308,403"
"Aug 21, 2022",$0.2123,$0.2164,$0.2081,$0.2142,"$426,703","$426,703"
"Aug 20, 2022",$0.2175,$0.2218,$0.2112,$0.2122,"$295,400","$295,400"
"Aug 19, 2022",$0.222,$0.2254,$0.2148,$0.2175,"$418,172","$418,172"
"Aug 18, 2022",$0.2288,$0.2317,$0.2197,$0.222,"$346,814","$346,814"
"Aug 17, 2022",$0.2354,$0.2417,$0.2266,$0.2288,"$424,437","$424,437"
"Aug 16, 2022",$0.2476,$0.2485,$0.2348,$0.2354,"$540,863","$540,863"
"Aug 15, 2022",$0.2553,$0.258,$0.2451,$0.2476,"$1,037,520","$1,037,520"
"Aug 14, 2022",$0.2585,$0.2605,$0.2523,$0.2554,"$494,254","$494,254"
"Aug 13, 2022",$0.2583,$0.2615,$0.257,$0.2583,"$475,681","$475,681"
"Aug 12, 2022",$0.2608,$0.2675,$0.2573,$0.2582,"$499,068","$499,068"
"Aug 11, 2022",$0.2624,$0.2657,$0.2569,$0.2608,"$649,877","$649,877"
"Aug 10, 2022",$0.2585,$0.2702,$0.2532,$0.2623,"$509,695","$509,695"
"Aug 09, 2022",$0.2512,$0.2592,$0.2484,$0.2585,"$642,024","$642,024"
"Aug 08, 2022",$0.2571,$0.2643,$0.2504,$0.2512,"$407,020","$407,020"
"Aug 07, 2022",$0.2509,$0.2684,$0.2471,$0.2571,"$1,247,156","$1,247,156"
"Aug 06, 2022",$0.2312,$0.2522,$0.2279,$0.2492,"$855,479","$855,479"
"Aug 05, 2022",$0.2276,$0.2313,$0.2243,$0.2312,"$298,115","$298,115"
"Aug 04, 2022",$0.2237,$0.2287,$0.2235,$0.2276,"$261,736","$261,736"
"Aug 03, 2022",$0.2278,$0.2315,$0.2235,$0.2238,"$245,630","$245,630"
"Aug 02, 2022",$0.2325,$0.2337,$0.2278,$0.2278,"$379,514","$379,514"
"Aug 01, 2022",$0.2279,$0.2333,$0.2265,$0.2325,"$436,034","$436,034"
"Jul 31, 2022",$0.2291,$0.2375,$0.2278,$0.2281,"$1,016,430","$1,016,430"
"Jul 30, 2022",$0.2252,$0.2301,$0.2213,$0.2291,"$617,299","$617,299"
"Jul 29, 2022",$0.2251,$0.2301,$0.223,$0.2253,"$382,571","$382,571"
"Jul 28, 2022",$0.2211,$0.2286,$0.2188,$0.2251,"$412,473","$412,473"
"Jul 27, 2022",$0.2118,$0.222,$0.2098,$0.2211,"$321,247","$321,247"
"Jul 26, 2022",$0.2105,$0.2133,$0.2086,$0.2119,"$267,184","$267,184"
"Jul 25, 2022",$0.2277,$0.2279,$0.2087,$0.2105,"$391,538","$391,538"
"Jul 24, 2022",$0.2233,$0.2307,$0.22,$0.2277,"$254,124","$254,124"
"Jul 23, 2022",$0.2264,$0.2276,$0.2215,$0.2233,"$232,641","$232,641"
"Jul 22, 2022",$0.2303,$0.2336,$0.2253,$0.2266,"$412,014","$412,014"
"Jul 21, 2022",$0.2351,$0.2363,$0.2267,$0.2303,"$421,248","$421,248"
"Jul 20, 2022",$0.2294,$0.2413,$0.2254,$0.2346,"$736,296","$736,296"
"Jul 19, 2022",$0.2315,$0.2344,$0.2254,$0.2312,"$499,878","$499,878"
"Jul 18, 2022",$0.2165,$0.237,$0.216,$0.2315,"$675,227","$675,227"
"Jul 17, 2022",$0.2211,$0.2244,$0.2165,$0.2165,"$403,342","$403,342"
"Jul 16, 2022",$0.2199,$0.2242,$0.2156,$0.2211,"$506,531","$506,531"
"Jul 15, 2022",$0.217,$0.2245,$0.2141,$0.22,"$386,931","$386,931"
"Jul 14, 2022",$0.2219,$0.2238,$0.2143,$0.2171,"$658,774","$658,774"
"Jul 13, 2022",$0.2195,$0.2232,$0.2119,$0.2219,"$714,639","$714,639"
"Jul 12, 2022",$0.2428,$0.2504,$0.2194,$0.2196,"$1,856,808","$1,856,808"
"Jul 11, 2022",$0.2235,$0.245,$0.2169,$0.2428,"$2,143,697","$2,143,697"
"Jul 10, 2022",$0.2284,$0.2288,$0.2231,$0.2236,"$324,680","$324,680"
"Jul 09, 2022",$0.2313,$0.2316,$0.2271,$0.2284,"$381,417","$381,417"
"Jul 08, 2022",$0.2302,$0.2348,$0.2263,$0.2313,"$531,679","$531,679"
"Jul 07, 2022",$0.2293,$0.2311,$0.2255,$0.2303,"$466,080","$466,080"
"Jul 06, 2022",$0.245,$0.2464,$0.229,$0.2293,"$719,781","$719,781"
"Jul 05, 2022",$0.2467,$0.2479,$0.2359,$0.2449,"$743,254","$743,254"
"Jul 04, 2022",$0.2426,$0.2496,$0.2404,$0.2469,"$946,790","$946,790"
"Jul 03, 2022",$0.2387,$0.251,$0.2311,$0.2426,"$1,788,087","$1,788,087"
"Jul 02, 2022",$0.2737,$0.3335,$0.2362,$0.2387,"$8,393,017","$8,393,017"
"Jul 01, 2022",$0.2147,$0.279,$0.2048,$0.2731,"$4,848,384","$4,848,384"
"Jun 30, 2022",$0.2026,$0.2169,$0.1999,$0.2143,"$6,072,994","$6,072,994"
"Jun 29, 2022",$0.2087,$0.2098,$0.1947,$0.2025,"$801,802","$801,802"
"Jun 28, 2022",$0.219,$0.2205,$0.2085,$0.2088,"$807,822","$807,822"
"Jun 27, 2022",$0.2263,$0.2755,$0.219,$0.219,"$3,508,838","$3,508,838"
"Jun 26, 2022",$0.2068,$0.2389,$0.2044,$0.2263,"$1,323,325","$1,323,325"
"Jun 25, 2022",$0.2025,$0.207,$0.2004,$0.2068,"$440,351","$440,351"
"Jun 24, 2022",$0.1939,$0.2031,$0.1938,$0.202,"$470,715","$470,715"
"Jun 23, 2022",$0.19,$0.1965,$0.19,$0.194,"$575,987","$575,987"
"Jun 22, 2022",$0.1991,$0.1991,$0.1894,$0.1903,"$727,830","$727,830"
"Jun 21, 2022",$0.1942,$0.2056,$0.1935,$0.1991,"$1,036,372","$1,036,372"
"Jun 20, 2022",$0.1989,$0.2073,$0.1942,$0.1942,"$741,964","$741,964"
"Jun 19, 2022",$0.1882,$0.2,$0.1842,$0.1986,"$1,130,993","$1,130,993"
"Jun 18, 2022",$0.2068,$0.2086,$0.1774,$0.1884,"$741,444","$741,444"
"Jun 17, 2022",$0.2108,$0.2148,$0.2059,$0.206,"$462,620","$462,620"
"Jun 16, 2022",$0.2223,$0.2252,$0.21,$0.2106,"$750,341","$750,341"
"Jun 15, 2022",$0.2303,$0.2311,$0.2006,$0.2226,"$1,071,736","$1,071,736"
"Jun 14, 2022",$0.2248,$0.2346,$0.2123,$0.2302,"$1,759,994","$1,759,994"
