Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.007651,$0.007715,$0.007412,$0.007414,"$36,174","$36,174"
"Sep 24, 2022",$0.00754,$0.007761,$0.007463,$0.007651,"$34,059","$34,059"
"Sep 23, 2022",$0.007829,$0.007874,$0.007392,$0.007539,"$78,984","$78,984"
"Sep 22, 2022",$0.007647,$0.007897,$0.007493,$0.007829,"$72,101","$72,101"
"Sep 21, 2022",$0.007823,$0.008099,$0.007537,$0.007644,"$113,741","$113,741"
"Sep 20, 2022",$0.007941,$0.008248,$0.007573,$0.007823,"$95,205","$95,205"
"Sep 19, 2022",$0.008127,$0.008391,$0.007592,$0.007941,"$321,426","$321,426"
"Sep 18, 2022",$0.008222,$0.00874,$0.007989,$0.008005,"$387,263","$387,263"
"Sep 17, 2022",$0.008009,$0.008555,$0.008009,$0.008222,"$52,251","$52,251"
"Sep 16, 2022",$0.007998,$0.008374,$0.007905,$0.008009,"$154,989","$154,989"
"Sep 15, 2022",$0.008195,$0.008252,$0.007965,$0.007998,"$78,392","$78,392"
"Sep 14, 2022",$0.008115,$0.008324,$0.007921,$0.008195,"$209,740","$209,740"
"Sep 13, 2022",$0.008662,$0.01025,$0.007921,$0.008179,"$1,659,864","$1,659,864"
"Sep 12, 2022",$0.008606,$0.008765,$0.008418,$0.008662,"$70,192","$70,192"
"Sep 11, 2022",$0.009629,$0.009889,$0.008526,$0.008599,"$122,628","$122,628"
"Sep 10, 2022",$0.009041,$0.009921,$0.008875,$0.009627,"$64,087","$64,087"
"Sep 09, 2022",$0.008615,$0.00938,$0.008461,$0.009063,"$136,400","$136,400"
"Sep 08, 2022",$0.008504,$0.008905,$0.008422,$0.008615,"$99,807","$99,807"
"Sep 07, 2022",$0.008338,$0.008857,$0.008212,$0.008519,"$117,047","$117,047"
"Sep 06, 2022",$0.008596,$0.009127,$0.008251,$0.008339,"$345,245","$345,245"
"Sep 05, 2022",$0.008564,$0.008878,$0.008372,$0.008616,"$106,526","$106,526"
"Sep 04, 2022",$0.008806,$0.008952,$0.008336,$0.008564,"$114,447","$114,447"
"Sep 03, 2022",$0.008836,$0.009084,$0.008732,$0.008806,"$41,013","$41,013"
"Sep 02, 2022",$0.008823,$0.009115,$0.008737,$0.008836,"$71,033","$71,033"
"Sep 01, 2022",$0.008963,$0.009075,$0.008698,$0.008823,"$60,450","$60,450"
"Aug 31, 2022",$0.009181,$0.009351,$0.008915,$0.008963,"$96,479","$96,479"
"Aug 30, 2022",$0.00916,$0.009456,$0.00898,$0.009181,"$72,798","$72,798"
"Aug 29, 2022",$0.008829,$0.009271,$0.00868,$0.00916,"$51,259","$51,259"
"Aug 28, 2022",$0.009507,$0.009536,$0.008651,$0.008718,"$149,753","$149,753"
"Aug 27, 2022",$0.009574,$0.009686,$0.009239,$0.009507,"$139,099","$139,099"
"Aug 26, 2022",$0.01024,$0.01059,$0.009544,$0.009574,"$564,941","$564,941"
"Aug 25, 2022",$0.01046,$0.01121,$0.009772,$0.01024,"$1,433,263","$1,433,263"
"Aug 24, 2022",$0.009744,$0.01135,$0.009399,$0.01045,"$953,526","$953,526"
"Aug 23, 2022",$0.009376,$0.01009,$0.009111,$0.009744,"$170,892","$170,892"
"Aug 22, 2022",$0.00964,$0.009648,$0.009009,$0.009376,"$192,335","$192,335"
"Aug 21, 2022",$0.009709,$0.009716,$0.009496,$0.00964,"$73,999","$73,999"
"Aug 20, 2022",$0.008976,$0.01082,$0.008938,$0.009709,"$966,272","$966,272"
"Aug 19, 2022",$0.01071,$0.01071,$0.008849,$0.008976,"$790,261","$790,261"
"Aug 18, 2022",$0.01019,$0.01084,$0.009216,$0.01059,"$967,912","$967,912"
"Aug 17, 2022",$0.01052,$0.01116,$0.01004,$0.01019,"$619,946","$619,946"
"Aug 16, 2022",$0.01008,$0.01096,$0.009984,$0.01052,"$439,082","$439,082"
"Aug 15, 2022",$0.01185,$0.01187,$0.009913,$0.009982,"$1,149,938","$1,149,938"
"Aug 14, 2022",$0.01152,$0.0126,$0.01136,$0.01185,"$1,485,958","$1,485,958"
"Aug 13, 2022",$0.01141,$0.01209,$0.01122,$0.01152,"$592,171","$592,171"
"Aug 12, 2022",$0.01096,$0.01234,$0.0108,$0.01141,"$1,040,329","$1,040,329"
"Aug 11, 2022",$0.01092,$0.01178,$0.01083,$0.01097,"$724,130","$724,130"
"Aug 10, 2022",$0.01103,$0.01225,$0.01063,$0.01092,"$2,655,802","$2,655,802"
"Aug 09, 2022",$0.01295,$0.01371,$0.0109,$0.0109,"$4,527,122","$4,527,122"
"Aug 08, 2022",$0.01549,$0.01667,$0.01237,$0.01306,"$7,775,577","$7,775,577"
"Aug 07, 2022",$0.01067,$0.02081,$0.01042,$0.0154,"$36,927,797","$36,927,797"
"Aug 06, 2022",$0.008296,$0.01177,$0.008296,$0.0107,"$3,199,524","$3,199,524"
"Aug 05, 2022",$0.0083,$0.008434,$0.008163,$0.008296,"$41,453","$41,453"
"Aug 04, 2022",$0.008287,$0.008642,$0.008101,$0.0083,"$152,032","$152,032"
"Aug 03, 2022",$0.008281,$0.008388,$0.008121,$0.008287,"$69,806","$69,806"
"Aug 02, 2022",$0.008182,$0.008325,$0.008004,$0.008281,"$76,538","$76,538"
"Aug 01, 2022",$0.008141,$0.008412,$0.007975,$0.008182,"$178,138","$178,138"
"Jul 31, 2022",$0.00811,$0.00854,$0.008003,$0.008187,"$317,106","$317,106"
"Jul 30, 2022",$0.008315,$0.008586,$0.008003,$0.00811,"$128,029","$128,029"
"Jul 29, 2022",$0.008136,$0.008751,$0.007917,$0.008231,"$428,249","$428,249"
"Jul 28, 2022",$0.007778,$0.008276,$0.007402,$0.008137,"$168,868","$168,868"
"Jul 27, 2022",$0.007475,$0.00791,$0.007403,$0.007778,"$88,230","$88,230"
"Jul 26, 2022",$0.007472,$0.007598,$0.007369,$0.007475,"$128,613","$128,613"
"Jul 25, 2022",$0.009384,$0.009522,$0.007416,$0.007523,"$2,129,787","$2,129,787"
"Jul 24, 2022",$0.007662,$0.009621,$0.00736,$0.00943,"$1,381,381","$1,381,381"
"Jul 23, 2022",$0.007502,$0.007708,$0.007502,$0.007662,"$27,858","$27,858"
"Jul 22, 2022",$0.007614,$0.007815,$0.00742,$0.007502,"$99,467","$99,467"
"Jul 21, 2022",$0.007618,$0.007686,$0.007358,$0.007615,"$48,196","$48,196"
"Jul 20, 2022",$0.007674,$0.008241,$0.007507,$0.007618,"$228,490","$228,490"
"Jul 19, 2022",$0.007475,$0.007775,$0.007447,$0.007674,"$70,631","$70,631"
"Jul 18, 2022",$0.007166,$0.007601,$0.007105,$0.007475,"$74,891","$74,891"
"Jul 17, 2022",$0.007297,$0.007574,$0.007103,$0.007166,"$48,936","$48,936"
"Jul 16, 2022",$0.007271,$0.007475,$0.007089,$0.007297,"$57,796","$57,796"
"Jul 15, 2022",$0.007134,$0.00748,$0.006961,$0.007271,$158,$158
"Jul 14, 2022",$0.007312,$0.007361,$0.006919,$0.007134,"$31,384","$31,384"
"Jul 13, 2022",$0.007069,$0.007354,$0.006899,$0.007312,"$89,968","$89,968"
"Jul 12, 2022",$0.007055,$0.007172,$0.006907,$0.007069,"$34,463","$34,463"
"Jul 11, 2022",$0.007198,$0.007625,$0.00704,$0.007055,"$110,345","$110,345"
"Jul 10, 2022",$0.007494,$0.007541,$0.007183,$0.007198,"$59,602","$59,602"
"Jul 09, 2022",$0.007546,$0.007615,$0.007335,$0.007494,"$68,052","$68,052"
"Jul 08, 2022",$0.00732,$0.007878,$0.00715,$0.007546,"$341,701","$341,701"
"Jul 07, 2022",$0.00715,$0.007454,$0.006975,$0.00728,"$54,340","$54,340"
"Jul 06, 2022",$0.007135,$0.007412,$0.006924,$0.007149,"$180,961","$180,961"
"Jul 05, 2022",$0.007022,$0.007298,$0.006986,$0.007135,"$48,296","$48,296"
"Jul 04, 2022",$0.00722,$0.0073,$0.00698,$0.007022,"$76,827","$76,827"
"Jul 03, 2022",$0.007178,$0.007314,$0.007053,$0.00722,"$68,137","$68,137"
"Jul 02, 2022",$0.007155,$0.007876,$0.006928,$0.007178,"$353,498","$353,498"
"Jul 01, 2022",$0.006991,$0.00832,$0.006568,$0.007155,"$561,170","$561,170"
"Jun 30, 2022",$0.006823,$0.008241,$0.006497,$0.006991,"$779,017","$779,017"
"Jun 29, 2022",$0.007116,$0.007384,$0.00676,$0.006823,"$112,124","$112,124"
"Jun 28, 2022",$0.007316,$0.007801,$0.007033,$0.007119,"$201,072","$201,072"
"Jun 27, 2022",$0.006955,$0.009252,$0.006825,$0.007229,"$1,983,255","$1,983,255"
"Jun 26, 2022",$0.007489,$0.007489,$0.006942,$0.006955,"$116,884","$116,884"
"Jun 25, 2022",$0.007045,$0.008014,$0.006901,$0.007489,"$399,537","$399,537"
"Jun 24, 2022",$0.006859,$0.007226,$0.006656,$0.007046,"$68,283","$68,283"
"Jun 23, 2022",$0.006734,$0.00706,$0.006591,$0.006859,"$50,595","$50,595"
"Jun 22, 2022",$0.006851,$0.00706,$0.006605,$0.006734,"$47,259","$47,259"
"Jun 21, 2022",$0.006907,$0.007253,$0.006718,$0.006851,"$179,931","$179,931"
"Jun 20, 2022",$0.006921,$0.007124,$0.006452,$0.006907,"$75,109","$75,109"
"Jun 19, 2022",$0.006609,$0.006934,$0.00621,$0.006794,"$89,514","$89,514"
"Jun 18, 2022",$0.00692,$0.007737,$0.005943,$0.006609,"$272,606","$272,606"
"Jun 17, 2022",$0.00693,$0.007435,$0.005548,$0.00692,"$202,821","$202,821"
"Jun 16, 2022",$0.007193,$0.008332,$0.006593,$0.00693,"$734,711","$734,711"
"Jun 15, 2022",$0.007212,$0.007222,$0.00639,$0.007193,"$173,103","$173,103"
"Jun 14, 2022",$0.006829,$0.007565,$0.006515,$0.007212,"$80,615","$80,615"
"Jun 13, 2022",$0.007992,$0.008052,$0.006829,$0.006829,"$172,585","$172,585"
"Jun 12, 2022",$0.00829,$0.008441,$0.00785,$0.007992,"$133,353","$133,353"
"Jun 11, 2022",$0.008689,$0.00875,$0.008037,$0.00829,"$156,293","$156,293"
"Jun 10, 2022",$0.009099,$0.009206,$0.008401,$0.008689,"$543,997","$543,997"
"Jun 09, 2022",$0.009447,$0.009537,$0.00901,$0.009147,"$132,257","$132,257"
"Jun 08, 2022",$0.009388,$0.009453,$0.008982,$0.009447,"$142,149","$142,149"
"Jun 07, 2022",$0.009358,$0.009519,$0.009079,$0.009388,"$183,391","$183,391"
"Jun 06, 2022",$0.009236,$0.009559,$0.009118,$0.009358,"$151,608","$151,608"
"Jun 05, 2022",$0.009783,$0.009818,$0.009128,$0.009236,"$242,262","$242,262"
"Jun 04, 2022",$0.009734,$0.009808,$0.009447,$0.009783,"$130,397","$130,397"
