Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$1.99,$2.07,$1.83,$1.97,"$286,628","$286,628"
"Sep 25, 2022",$1.90,$2.12,$1.86,$1.99,"$276,571","$276,571"
"Sep 24, 2022",$1.99,$2.15,$1.84,$1.90,"$284,743","$284,743"
"Sep 23, 2022",$1.94,$2.07,$1.80,$1.99,"$363,302","$363,302"
"Sep 22, 2022",$1.76,$2.08,$1.76,$1.94,"$326,570","$326,570"
"Sep 21, 2022",$1.88,$1.94,$1.73,$1.76,"$279,761","$279,761"
"Sep 20, 2022",$2.05,$2.10,$1.82,$1.88,"$341,966","$341,966"
"Sep 19, 2022",$1.94,$2.13,$1.86,$2.05,"$368,512","$368,512"
"Sep 18, 2022",$1.97,$2.16,$1.88,$1.94,"$266,873","$266,873"
"Sep 17, 2022",$1.87,$2.00,$1.83,$1.97,"$271,113","$271,113"
"Sep 16, 2022",$1.72,$1.89,$1.72,$1.87,"$301,196","$301,196"
"Sep 15, 2022",$1.72,$1.79,$1.61,$1.72,"$226,990","$226,990"
"Sep 14, 2022",$1.79,$1.83,$1.69,$1.72,"$234,917","$234,917"
"Sep 13, 2022",$1.93,$2.00,$1.77,$1.80,"$284,829","$284,829"
"Sep 12, 2022",$1.95,$2.04,$1.88,$1.93,"$260,916","$260,916"
"Sep 11, 2022",$1.82,$2.03,$1.81,$1.95,"$244,497","$244,497"
"Sep 10, 2022",$1.83,$1.86,$1.78,$1.83,"$226,833","$226,833"
"Sep 09, 2022",$1.72,$1.90,$1.71,$1.83,"$263,615","$263,615"
"Sep 08, 2022",$1.74,$1.77,$1.64,$1.72,"$227,288","$227,288"
"Sep 07, 2022",$1.71,$1.78,$1.60,$1.74,"$252,107","$252,107"
"Sep 06, 2022",$1.94,$1.97,$1.69,$1.71,"$250,649","$250,649"
"Sep 05, 2022",$2.02,$2.03,$1.85,$1.94,"$249,846","$249,846"
"Sep 04, 2022",$2.00,$2.09,$1.95,$2.02,"$273,913","$273,913"
"Sep 03, 2022",$2.00,$2.10,$1.96,$2.01,"$268,015","$268,015"
"Sep 02, 2022",$1.97,$2.26,$1.89,$2.00,"$301,278","$301,278"
"Sep 01, 2022",$2.00,$2.06,$1.85,$1.97,"$340,783","$340,783"
"Aug 31, 2022",$1.82,$2.10,$1.80,$2.00,"$298,302","$298,302"
"Aug 30, 2022",$1.82,$1.98,$1.71,$1.82,"$255,850","$255,850"
"Aug 29, 2022",$1.90,$1.92,$1.75,$1.82,"$274,862","$274,862"
"Aug 28, 2022",$1.98,$2.03,$1.87,$1.90,"$258,989","$258,989"
"Aug 27, 2022",$1.93,$2.06,$1.89,$1.98,"$281,002","$281,002"
"Aug 26, 2022",$2.06,$2.18,$1.80,$1.93,"$244,098","$244,098"
"Aug 25, 2022",$2.13,$2.23,$2.01,$2.06,"$235,699","$235,699"
"Aug 24, 2022",$2.27,$2.34,$2.05,$2.13,"$301,279","$301,279"
"Aug 23, 2022",$2.18,$2.44,$2.11,$2.27,"$334,114","$334,114"
"Aug 22, 2022",$1.88,$2.20,$1.82,$2.18,"$317,484","$317,484"
"Aug 21, 2022",$1.93,$2.03,$1.83,$1.88,"$252,186","$252,186"
"Aug 20, 2022",$2.01,$2.03,$1.77,$1.93,"$270,279","$270,279"
"Aug 19, 2022",$2.12,$2.16,$1.87,$2.01,"$338,401","$338,401"
"Aug 18, 2022",$2.26,$2.33,$1.91,$2.12,"$276,556","$276,556"
"Aug 17, 2022",$2.17,$2.36,$2.14,$2.26,"$321,770","$321,770"
"Aug 16, 2022",$2.24,$2.38,$2.06,$2.17,"$332,246","$332,246"
"Aug 15, 2022",$1.97,$2.28,$1.82,$2.24,"$303,375","$303,375"
"Aug 14, 2022",$1.84,$2.17,$1.83,$1.97,"$272,912","$272,912"
"Aug 13, 2022",$1.90,$1.91,$1.76,$1.84,"$228,954","$228,954"
"Aug 12, 2022",$1.77,$1.94,$1.73,$1.90,"$239,577","$239,577"
"Aug 11, 2022",$1.79,$1.83,$1.72,$1.77,"$219,255","$219,255"
"Aug 10, 2022",$1.71,$1.82,$1.62,$1.79,"$231,412","$231,412"
"Aug 09, 2022",$1.78,$1.80,$1.67,$1.71,"$214,773","$214,773"
"Aug 08, 2022",$1.72,$1.91,$1.65,$1.78,"$222,882","$222,882"
"Aug 07, 2022",$1.58,$1.91,$1.55,$1.72,"$210,754","$210,754"
"Aug 06, 2022",$1.56,$1.67,$1.52,$1.58,"$204,081","$204,081"
"Aug 05, 2022",$1.55,$1.59,$1.50,$1.56,"$194,677","$194,677"
"Aug 04, 2022",$1.40,$1.58,$1.40,$1.55,"$192,901","$192,901"
"Aug 03, 2022",$1.42,$1.47,$1.37,$1.40,"$160,852","$160,852"
"Aug 02, 2022",$1.54,$1.61,$1.37,$1.42,"$177,423","$177,423"
"Aug 01, 2022",$1.27,$1.67,$1.26,$1.54,"$194,579","$194,579"
"Jul 31, 2022",$1.33,$1.38,$1.26,$1.27,"$159,540","$159,540"
"Jul 30, 2022",$1.34,$1.41,$1.29,$1.33,"$166,541","$166,541"
"Jul 29, 2022",$1.27,$1.43,$1.20,$1.34,"$172,377","$172,377"
"Jul 28, 2022",$1.20,$1.29,$1.17,$1.27,"$189,179","$189,179"
"Jul 27, 2022",$1.10,$1.20,$1.07,$1.20,"$154,012","$154,012"
"Jul 26, 2022",$1.12,$1.13,$1.06,$1.10,"$140,061","$140,061"
"Jul 25, 2022",$1.20,$1.21,$1.11,$1.12,"$140,917","$140,917"
"Jul 24, 2022",$1.20,$1.23,$1.18,$1.20,"$148,107","$148,107"
"Jul 23, 2022",$1.12,$1.22,$1.11,$1.20,"$138,500","$138,500"
"Jul 22, 2022",$1.18,$1.23,$1.11,$1.12,"$142,480","$142,480"
"Jul 21, 2022",$1.15,$1.19,$1.11,$1.18,"$146,871","$146,871"
"Jul 20, 2022",$1.27,$1.32,$1.14,$1.15,"$147,115","$147,115"
"Jul 19, 2022",$1.22,$1.28,$1.18,$1.27,"$158,988","$158,988"
"Jul 18, 2022",$1.12,$1.23,$1.12,$1.22,"$148,992","$148,992"
"Jul 17, 2022",$1.17,$1.19,$1.12,$1.12,"$141,332","$141,332"
"Jul 16, 2022",$1.16,$1.21,$1.12,$1.17,"$144,097","$144,097"
"Jul 15, 2022",$1.13,$1.18,$1.11,$1.16,"$142,943","$142,943"
"Jul 14, 2022",$1.11,$1.17,$1.07,$1.13,"$141,544","$141,544"
"Jul 13, 2022",$1.08,$1.12,$1.05,$1.11,"$138,159","$138,159"
"Jul 12, 2022",$1.14,$1.23,$1.08,$1.08,"$133,626","$133,626"
"Jul 11, 2022",$1.19,$1.23,$1.12,$1.14,"$144,859","$144,859"
"Jul 10, 2022",$1.17,$1.23,$1.14,$1.19,"$147,519","$147,519"
"Jul 09, 2022",$1.16,$1.19,$1.15,$1.17,"$143,519","$143,519"
"Jul 08, 2022",$1.18,$1.20,$1.13,$1.16,"$145,634","$145,634"
"Jul 07, 2022",$1.16,$1.19,$1.13,$1.18,"$147,737","$147,737"
"Jul 06, 2022",$1.12,$1.17,$1.10,$1.16,"$145,579","$145,579"
"Jul 05, 2022",$1.13,$1.16,$1.08,$1.12,"$139,565","$139,565"
"Jul 04, 2022",$1.10,$1.15,$1.08,$1.13,"$143,093","$143,093"
"Jul 03, 2022",$1.10,$1.14,$1.08,$1.10,"$133,520","$133,520"
"Jul 02, 2022",$1.08,$1.16,$1.07,$1.10,"$138,980","$138,980"
"Jul 01, 2022",$1.13,$1.15,$1.06,$1.08,"$143,398","$143,398"
"Jun 30, 2022",$1.12,$1.14,$1.05,$1.13,"$141,607","$141,607"
"Jun 29, 2022",$1.14,$1.19,$1.11,$1.12,"$136,961","$136,961"
