Day,Open,High,Low,Close,Volume,Market Cap
"Sep 16, 2022",$2.55,$2.60,$2.50,$2.56,"$8,519,221","$8,519,221"
"Sep 15, 2022",$2.62,$2.62,$2.52,$2.55,"$8,193,117","$8,193,117"
"Sep 14, 2022",$2.62,$2.66,$2.56,$2.62,"$18,897,039","$18,897,039"
"Sep 13, 2022",$2.76,$2.90,$2.61,$2.64,"$22,204,127","$22,204,127"
"Sep 12, 2022",$2.78,$2.82,$2.74,$2.76,"$11,155,137","$11,155,137"
"Sep 11, 2022",$2.81,$2.85,$2.76,$2.78,"$16,023,289","$16,023,289"
"Sep 10, 2022",$2.75,$2.91,$2.73,$2.81,"$29,017,942","$29,017,942"
"Sep 09, 2022",$2.66,$2.77,$2.64,$2.75,"$20,972,565","$20,972,565"
"Sep 08, 2022",$2.62,$2.77,$2.56,$2.66,"$17,876,441","$17,876,441"
"Sep 07, 2022",$2.55,$2.64,$2.49,$2.62,"$9,409,489","$9,409,489"
"Sep 06, 2022",$2.73,$2.79,$2.53,$2.55,"$15,922,819","$15,922,819"
"Sep 05, 2022",$2.77,$2.78,$2.68,$2.73,"$8,938,914","$8,938,914"
"Sep 04, 2022",$2.74,$2.79,$2.72,$2.77,"$10,987,395","$10,987,395"
"Sep 03, 2022",$2.74,$2.80,$2.72,$2.74,"$14,100,991","$14,100,991"
"Sep 02, 2022",$2.73,$2.84,$2.71,$2.74,"$16,882,964","$16,882,964"
"Sep 01, 2022",$2.73,$2.77,$2.67,$2.73,"$12,246,439","$12,246,439"
"Aug 31, 2022",$2.78,$2.83,$2.73,$2.73,"$12,432,935","$12,432,935"
"Aug 30, 2022",$2.85,$2.89,$2.71,$2.78,"$21,828,632","$21,828,632"
"Aug 29, 2022",$2.63,$2.98,$2.62,$2.85,"$53,850,366","$53,850,366"
"Aug 28, 2022",$2.67,$2.80,$2.62,$2.63,"$33,213,221","$33,213,221"
"Aug 27, 2022",$2.70,$2.76,$2.61,$2.67,"$27,169,681","$27,169,681"
"Aug 26, 2022",$2.94,$2.98,$2.69,$2.70,"$30,499,816","$30,499,816"
"Aug 25, 2022",$2.94,$3.10,$2.93,$2.94,"$31,357,184","$31,357,184"
"Aug 24, 2022",$2.98,$3.00,$2.92,$2.94,"$25,000,355","$25,000,355"
"Aug 23, 2022",$2.88,$3.19,$2.86,$2.98,"$52,010,198","$52,010,198"
"Aug 22, 2022",$2.91,$3.05,$2.80,$2.88,"$26,132,140","$26,132,140"
"Aug 21, 2022",$2.84,$2.93,$2.83,$2.91,"$16,381,435","$16,381,435"
"Aug 20, 2022",$2.82,$3.11,$2.81,$2.84,"$34,540,479","$34,540,479"
"Aug 19, 2022",$3.16,$3.16,$2.77,$2.82,"$29,342,531","$29,342,531"
"Aug 18, 2022",$3.25,$3.33,$3.15,$3.16,"$24,979,408","$24,979,408"
"Aug 17, 2022",$3.35,$3.61,$3.23,$3.25,"$60,815,769","$60,815,769"
"Aug 16, 2022",$3.31,$3.66,$3.26,$3.35,"$49,109,176","$49,109,176"
"Aug 15, 2022",$3.46,$3.55,$3.27,$3.31,"$26,232,043","$26,232,043"
"Aug 14, 2022",$3.80,$3.96,$3.38,$3.46,"$81,025,742","$81,025,742"
"Aug 13, 2022",$3.22,$4.18,$3.13,$3.81,"$223,876,149","$223,876,149"
"Aug 12, 2022",$3.02,$3.40,$2.99,$3.22,"$33,413,620","$33,413,620"
"Aug 11, 2022",$3.09,$3.15,$3.00,$3.02,"$14,231,299","$14,231,299"
"Aug 10, 2022",$2.94,$3.11,$2.89,$3.09,"$16,266,919","$16,266,919"
"Aug 09, 2022",$3.05,$3.09,$2.91,$2.94,"$13,528,006","$13,528,006"
"Aug 08, 2022",$3.04,$3.13,$3.02,$3.05,"$16,199,549","$16,199,549"
"Aug 07, 2022",$3.03,$3.06,$2.98,$3.04,"$12,612,158","$12,612,158"
"Aug 06, 2022",$3.05,$3.13,$3.02,$3.03,"$17,230,968","$17,230,968"
"Aug 05, 2022",$2.98,$3.05,$2.96,$3.05,"$13,970,911","$13,970,911"
"Aug 04, 2022",$2.97,$3.01,$2.94,$2.98,"$13,006,156","$13,006,156"
"Aug 03, 2022",$2.94,$3.08,$2.89,$2.97,"$20,327,600","$20,327,600"
