Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.1479,$0.1481,$0.1359,$0.1472,"$171,010","$171,010"
"Sep 18, 2022",$0.1447,$0.156,$0.1424,$0.1472,"$129,330","$129,330"
"Sep 17, 2022",$0.1474,$0.1502,$0.1436,$0.1447,"$140,611","$140,611"
"Sep 16, 2022",$0.148,$0.1491,$0.144,$0.1474,"$143,775","$143,775"
"Sep 15, 2022",$0.1587,$0.1594,$0.1446,$0.1479,"$116,559","$116,559"
"Sep 14, 2022",$0.1518,$0.1644,$0.1478,$0.1566,"$236,444","$236,444"
"Sep 13, 2022",$0.1671,$0.17,$0.1479,$0.1499,"$214,827","$214,827"
"Sep 12, 2022",$0.1638,$0.1779,$0.1638,$0.1699,"$293,911","$293,911"
"Sep 11, 2022",$0.1662,$0.1805,$0.1613,$0.1638,"$207,255","$207,255"
"Sep 10, 2022",$0.1645,$0.1667,$0.1582,$0.1665,"$68,439","$68,439"
"Sep 09, 2022",$0.1509,$0.1704,$0.1509,$0.1645,"$177,467","$177,467"
"Sep 08, 2022",$0.1584,$0.1593,$0.1452,$0.1509,"$101,507","$101,507"
"Sep 07, 2022",$0.1474,$0.1584,$0.1396,$0.1584,"$129,597","$129,597"
"Sep 06, 2022",$0.1585,$0.1655,$0.1467,$0.1494,"$118,612","$118,612"
"Sep 05, 2022",$0.149,$0.1585,$0.1486,$0.1585,"$120,099","$120,099"
"Sep 04, 2022",$0.1464,$0.154,$0.1441,$0.1489,"$255,584","$255,584"
"Sep 03, 2022",$0.1521,$0.1539,$0.1429,$0.1462,"$210,813","$210,813"
"Sep 02, 2022",$0.159,$0.1637,$0.1514,$0.1521,"$137,743","$137,743"
"Sep 01, 2022",$0.1578,$0.1626,$0.1534,$0.159,"$130,213","$130,213"
"Aug 31, 2022",$0.1578,$0.1747,$0.1566,$0.1577,"$107,376","$107,376"
"Aug 30, 2022",$0.171,$0.1795,$0.1578,$0.1578,"$157,630","$157,630"
"Aug 29, 2022",$0.1692,$0.1804,$0.1668,$0.1703,"$198,046","$198,046"
"Aug 28, 2022",$0.165,$0.1732,$0.1635,$0.1692,"$130,370","$130,370"
"Aug 27, 2022",$0.1732,$0.1778,$0.1628,$0.165,"$151,039","$151,039"
"Aug 26, 2022",$0.1917,$0.1947,$0.1606,$0.1732,"$144,853","$144,853"
"Aug 25, 2022",$0.1961,$0.2029,$0.1906,$0.1947,"$197,767","$197,767"
"Aug 24, 2022",$0.1938,$0.1983,$0.1889,$0.1936,"$130,536","$130,536"
"Aug 23, 2022",$0.1827,$0.1979,$0.1788,$0.1954,"$219,664","$219,664"
"Aug 22, 2022",$0.1805,$0.1887,$0.1699,$0.1827,"$175,010","$175,010"
"Aug 21, 2022",$0.1863,$0.1941,$0.1713,$0.1805,"$125,839","$125,839"
"Aug 20, 2022",$0.1772,$0.1923,$0.1717,$0.1863,"$169,794","$169,794"
"Aug 19, 2022",$0.199,$0.199,$0.1701,$0.1773,"$148,035","$148,035"
"Aug 18, 2022",$0.184,$0.2021,$0.1837,$0.199,"$161,148","$161,148"
"Aug 17, 2022",$0.2022,$0.211,$0.1823,$0.1849,"$360,915","$360,915"
"Aug 16, 2022",$0.2125,$0.2142,$0.2008,$0.2022,"$227,487","$227,487"
"Aug 15, 2022",$0.205,$0.2152,$0.198,$0.2126,"$177,139","$177,139"
"Aug 14, 2022",$0.2068,$0.2107,$0.2008,$0.205,"$234,337","$234,337"
"Aug 13, 2022",$0.2004,$0.2188,$0.2003,$0.2067,"$205,937","$205,937"
"Aug 12, 2022",$0.2174,$0.2199,$0.1969,$0.2004,"$255,847","$255,847"
"Aug 11, 2022",$0.2154,$0.2238,$0.2098,$0.2174,"$222,208","$222,208"
"Aug 10, 2022",$0.2019,$0.2154,$0.182,$0.2154,"$391,122","$391,122"
"Aug 09, 2022",$0.2114,$0.2186,$0.1982,$0.2031,"$235,169","$235,169"
"Aug 08, 2022",$0.2283,$0.2364,$0.2093,$0.2114,"$404,877","$404,877"
"Aug 07, 2022",$0.233,$0.2343,$0.2237,$0.2283,"$255,862","$255,862"
"Aug 06, 2022",$0.2456,$0.2482,$0.2324,$0.2332,"$199,372","$199,372"
"Aug 05, 2022",$0.2323,$0.2509,$0.2299,$0.2468,"$218,051","$218,051"
"Aug 04, 2022",$0.2384,$0.2431,$0.2277,$0.2322,"$169,175","$169,175"
"Aug 03, 2022",$0.2396,$0.2509,$0.2341,$0.2384,"$263,050","$263,050"
"Aug 02, 2022",$0.2288,$0.2455,$0.2161,$0.2396,"$293,820","$293,820"
"Aug 01, 2022",$0.2252,$0.2332,$0.2128,$0.2288,"$232,725","$232,725"
"Jul 31, 2022",$0.2221,$0.2333,$0.2172,$0.2238,"$169,999","$169,999"
"Jul 30, 2022",$0.2276,$0.2294,$0.2207,$0.2219,"$103,933","$103,933"
"Jul 29, 2022",$0.234,$0.235,$0.2159,$0.2265,"$232,756","$232,756"
"Jul 28, 2022",$0.2182,$0.2417,$0.2154,$0.2284,"$178,510","$178,510"
"Jul 27, 2022",$0.207,$0.2251,$0.2007,$0.2167,"$172,788","$172,788"
"Jul 26, 2022",$0.2092,$0.2106,$0.1924,$0.2058,"$200,068","$200,068"
"Jul 25, 2022",$0.2326,$0.2339,$0.2103,$0.2103,"$224,854","$224,854"
"Jul 24, 2022",$0.2255,$0.2375,$0.2224,$0.2331,"$170,859","$170,859"
"Jul 23, 2022",$0.2188,$0.228,$0.2157,$0.2255,"$231,863","$231,863"
