Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.1244,$0.1416,$0.1065,$0.1331,"$137,989","$137,989"
"Sep 25, 2022",$0.08972,$0.1248,$0.08853,$0.1244,"$62,745","$62,745"
"Sep 24, 2022",$0.09221,$0.09318,$0.08876,$0.08972,"$39,110","$39,110"
"Sep 23, 2022",$0.08078,$0.1019,$0.08073,$0.09221,"$92,032","$92,032"
"Sep 22, 2022",$0.07295,$0.08081,$0.0719,$0.08078,"$39,350","$39,350"
"Sep 21, 2022",$0.07041,$0.07329,$0.06987,$0.07295,"$36,485","$36,485"
"Sep 20, 2022",$0.07822,$0.07827,$0.06921,$0.07041,"$42,998","$42,998"
"Sep 19, 2022",$0.06224,$0.08565,$0.06181,$0.07822,"$81,913","$81,913"
"Sep 18, 2022",$0.0688,$0.0688,$0.06057,$0.06224,"$37,699","$37,699"
"Sep 17, 2022",$0.07007,$0.07327,$0.06685,$0.0688,"$43,013","$43,013"
"Sep 16, 2022",$0.07163,$0.07169,$0.06918,$0.07007,"$29,610","$29,610"
"Sep 15, 2022",$0.0706,$0.07293,$0.07041,$0.07163,"$38,793","$38,793"
"Sep 14, 2022",$0.068,$0.0706,$0.06788,$0.0706,"$33,937","$33,937"
"Sep 13, 2022",$0.07679,$0.07679,$0.06751,$0.06837,"$48,009","$48,009"
"Sep 12, 2022",$0.08028,$0.08066,$0.07626,$0.07679,"$36,906","$36,906"
"Sep 11, 2022",$0.08185,$0.08217,$0.07997,$0.08028,"$29,458","$29,458"
"Sep 10, 2022",$0.08046,$0.08191,$0.08013,$0.08185,"$34,188","$34,188"
"Sep 09, 2022",$0.08237,$0.0824,$0.07921,$0.08046,"$48,294","$48,294"
"Sep 08, 2022",$0.0835,$0.08445,$0.08,$0.08237,"$35,355","$35,355"
"Sep 07, 2022",$0.07931,$0.08405,$0.07819,$0.0835,"$41,099","$41,099"
"Sep 06, 2022",$0.08159,$0.08194,$0.07858,$0.07931,"$25,320","$25,320"
"Sep 05, 2022",$0.08338,$0.08421,$0.0766,$0.08159,"$34,604","$34,604"
"Sep 04, 2022",$0.0818,$0.08384,$0.08051,$0.08338,"$26,242","$26,242"
"Sep 03, 2022",$0.08189,$0.08442,$0.0815,$0.0818,"$26,717","$26,717"
"Sep 02, 2022",$0.08484,$0.08631,$0.07996,$0.08189,"$30,219","$30,219"
"Sep 01, 2022",$0.08913,$0.08926,$0.05531,$0.08484,"$43,200","$43,200"
"Aug 31, 2022",$0.08489,$0.09182,$0.08187,$0.08913,"$75,558","$75,558"
"Aug 30, 2022",$0.08147,$0.08493,$0.075,$0.08489,"$43,980","$43,980"
"Aug 29, 2022",$0.08965,$0.09122,$0.06948,$0.08147,"$50,392","$50,392"
"Aug 28, 2022",$0.06771,$0.09221,$0.06384,$0.08965,"$42,576","$42,576"
"Aug 27, 2022",$0.07952,$0.08172,$0.06328,$0.06771,"$47,039","$47,039"
"Aug 26, 2022",$0.09011,$0.09029,$0.05081,$0.07952,"$82,365","$82,365"
"Aug 25, 2022",$0.06226,$0.09012,$0.0616,$0.09011,"$58,510","$58,510"
"Aug 24, 2022",$0.05125,$0.06268,$0.05018,$0.06226,"$27,127","$27,127"
"Aug 23, 2022",$0.05168,$0.0518,$0.04729,$0.05125,"$21,500","$21,500"
"Aug 22, 2022",$0.05708,$0.05708,$0.04717,$0.05168,"$28,279","$28,279"
"Aug 21, 2022",$0.04978,$0.06157,$0.04977,$0.05708,"$13,960","$13,960"
"Aug 20, 2022",$0.03873,$0.05116,$0.03764,$0.04978,"$8,081","$8,081"
"Aug 19, 2022",$0.05479,$0.05479,$0.03787,$0.03873,"$22,948","$22,948"
"Aug 18, 2022",$0.05917,$0.05931,$0.05264,$0.05479,"$23,998","$23,998"
"Aug 17, 2022",$0.06098,$0.06305,$0.05542,$0.05917,"$24,643","$24,643"
"Aug 16, 2022",$0.05417,$0.06121,$0.0535,$0.06098,"$22,287","$22,287"
"Aug 15, 2022",$0.07262,$0.07278,$0.05369,$0.05417,"$34,503","$34,503"
"Aug 14, 2022",$0.08538,$0.08562,$0.05437,$0.07262,"$49,836","$49,836"
"Aug 13, 2022",$0.05699,$0.08997,$0.05522,$0.08538,"$47,295","$47,295"
"Aug 12, 2022",$0.05244,$0.057,$0.05087,$0.05699,"$20,394","$20,394"
"Aug 11, 2022",$0.05184,$0.05259,$0.05151,$0.05244,"$16,447","$16,447"
"Aug 10, 2022",$0.05332,$0.05375,$0.05012,$0.05184,"$17,137","$17,137"
"Aug 09, 2022",$0.05559,$0.05587,$0.0521,$0.05332,"$17,217","$17,217"
"Aug 08, 2022",$0.05608,$0.057,$0.05299,$0.05559,"$18,470","$18,470"
"Aug 07, 2022",$0.05624,$0.0569,$0.05502,$0.05608,"$17,354","$17,354"
"Aug 06, 2022",$0.06012,$0.06012,$0.05502,$0.05624,"$21,570","$21,570"
"Aug 05, 2022",$0.06716,$0.07077,$0.04002,$0.06012,"$22,747","$22,747"
"Aug 04, 2022",$0.06011,$0.06974,$0.0588,$0.06716,"$24,766","$24,766"
"Aug 03, 2022",$0.05835,$0.06082,$0.05697,$0.06011,"$21,031","$21,031"
"Aug 02, 2022",$0.08847,$0.09212,$0.05704,$0.05835,"$24,054","$24,054"
"Aug 01, 2022",$0.07247,$0.0889,$0.05619,$0.08847,"$31,441","$31,441"
"Jul 31, 2022",$0.06806,$0.07312,$0.06472,$0.07247,"$21,441","$21,441"
"Jul 30, 2022",$0.07238,$0.08419,$0.0647,$0.06806,"$33,140","$33,140"
"Jul 29, 2022",$0.06926,$0.09256,$0.06894,$0.07238,"$22,872","$22,872"
"Jul 28, 2022",$0.07909,$0.08761,$0.069,$0.06926,"$18,207","$18,207"
"Jul 27, 2022",$0.0779,$0.08015,$0.06615,$0.07909,"$13,255","$13,255"
"Jul 26, 2022",$0.06898,$0.08352,$0.06629,$0.0779,"$19,060","$19,060"
"Jul 25, 2022",$0.07005,$0.07032,$0.06157,$0.06898,"$42,818","$42,818"
"Jul 24, 2022",$0.07305,$0.09212,$0.06883,$0.07005,"$23,937","$23,937"
"Jul 23, 2022",$0.07342,$0.07379,$0.06798,$0.07305,"$59,297","$59,297"
"Jul 22, 2022",$0.05766,$0.0747,$0.05759,$0.07343,"$149,135","$149,135"
"Jul 21, 2022",$0.05843,$0.05986,$0.05745,$0.05766,"$169,230","$169,230"
"Jul 20, 2022",$0.05393,$0.05998,$0.04695,$0.05843,"$200,951","$200,951"
"Jul 19, 2022",$0.04765,$0.06013,$0.04683,$0.05393,"$190,760","$190,760"
"Jul 18, 2022",$0.04109,$0.04766,$0.04109,$0.04766,"$171,145","$171,145"
"Jul 17, 2022",$0.04132,$0.04224,$0.03926,$0.04108,"$75,730","$75,730"
"Jul 16, 2022",$0.06154,$0.06962,$0.0324,$0.04131,"$69,305","$69,305"
"Jul 15, 2022",$0.04137,$0.06963,$0.03947,$0.06154,"$64,702","$64,702"
"Jul 14, 2022",$0.0445,$0.0446,$0.03984,$0.04137,"$30,654","$30,654"
"Jul 13, 2022",$0.04547,$0.04818,$0.03576,$0.0445,"$115,391","$115,391"
"Jul 12, 2022",$0.04077,$0.04795,$0.03808,$0.04547,"$98,409","$98,409"
"Jul 11, 2022",$0.04888,$0.05011,$0.0382,$0.04077,"$95,081","$95,081"
"Jul 10, 2022",$0.04066,$0.05328,$0.03987,$0.04889,"$182,668","$182,668"
"Jul 09, 2022",$0.04073,$0.04912,$0.03725,$0.04066,"$154,509","$154,509"
"Jul 08, 2022",$0.06009,$0.06084,$0.02529,$0.04073,"$184,097","$184,097"
"Jul 07, 2022",$0.04579,$0.06908,$0.04343,$0.06009,"$268,176","$268,176"
"Jul 06, 2022",$0.03442,$0.06252,$0.03295,$0.04579,"$209,334","$209,334"
"Jul 05, 2022",$0.03372,$0.03809,$0.02277,$0.03442,"$147,972","$147,972"
"Jul 04, 2022",$0.02799,$0.03965,$0.02394,$0.03373,"$136,139","$136,139"
"Jul 03, 2022",$0.0341,$0.03567,$0.02662,$0.02799,"$124,221","$124,221"
"Jul 02, 2022",$0.03563,$0.05254,$0.02843,$0.0341,"$173,388","$173,388"
"Jul 01, 2022",$0.01662,$0.05731,$0.009639,$0.03563,"$204,436","$204,436"
"Jun 30, 2022",$0.01333,$0.02352,$0.01321,$0.01661,"$123,406","$123,406"
"Jun 29, 2022",$0.02449,$0.02477,$0.01332,$0.01333,"$71,287","$71,287"
"Jun 28, 2022",$0.02731,$0.03076,$0.02448,$0.02449,"$113,872","$113,872"
"Jun 27, 2022",$0.01227,$0.02926,$0.01227,$0.02731,"$132,262","$132,262"
"Jun 26, 2022",$0.008826,$0.0123,$0.008673,$0.01227,"$44,654","$44,654"
"Jun 25, 2022",$0.009355,$0.009365,$0.008789,$0.008827,"$35,207","$35,207"
"Jun 24, 2022",$0.009789,$0.009789,$0.009352,$0.009355,"$36,398","$36,398"
"Jun 23, 2022",$0.008869,$0.01009,$0.008756,$0.00979,"$35,023","$35,023"
"Jun 22, 2022",$0.0148,$0.0148,$0.008525,$0.008869,"$52,849","$52,849"
"Jun 21, 2022",$0.01776,$0.0184,$0.01469,$0.0148,"$34,417","$34,417"
"Jun 20, 2022",$0.0174,$0.01787,$0.01721,$0.01776,"$1,472","$1,472"
"Jun 19, 2022",$0.01666,$0.01752,$0.01651,$0.0174,"$4,233","$4,233"
"Jun 18, 2022",$0.01719,$0.01728,$0.01635,$0.01667,"$7,618","$7,618"
"Jun 17, 2022",$0.01713,$0.01734,$0.01693,$0.01719,"$11,590","$11,590"
"Jun 16, 2022",$0.01699,$0.01724,$0.01682,$0.01713,"$30,175","$30,175"
"Jun 15, 2022",$0.01664,$0.01707,$0.01623,$0.01699,"$66,004","$66,004"
"Jun 14, 2022",$0.01662,$0.01672,$0.01577,$0.01665,"$52,156","$52,156"
"Jun 13, 2022",$0.01787,$0.01796,$0.01636,$0.01662,"$60,862","$60,862"
"Jun 12, 2022",$0.01831,$0.01837,$0.01787,$0.01788,"$29,391","$29,391"
"Jun 11, 2022",$0.01849,$0.01862,$0.01814,$0.01831,"$26,603","$26,603"
"Jun 10, 2022",$0.01864,$0.01871,$0.01839,$0.01849,"$23,638","$23,638"
"Jun 09, 2022",$0.01884,$0.01887,$0.01859,$0.01864,"$21,852","$21,852"
"Jun 08, 2022",$0.01905,$0.01913,$0.01875,$0.01884,"$25,715","$25,715"
"Jun 07, 2022",$0.01925,$0.01925,$0.0185,$0.01905,"$34,013","$34,013"
"Jun 06, 2022",$0.0191,$0.01938,$0.0191,$0.01925,"$89,641","$89,641"
"Jun 05, 2022",$0.01922,$0.01932,$0.01906,$0.0191,"$71,155","$71,155"
"Jun 04, 2022",$0.01942,$0.01943,$0.01914,$0.01922,"$73,582","$73,582"
"Jun 03, 2022",$0.01943,$0.01957,$0.01928,$0.01942,"$72,104","$72,104"
"Jun 02, 2022",$0.01947,$0.01958,$0.0193,$0.01943,"$77,865","$77,865"
"Jun 01, 2022",$0.01971,$0.02003,$0.01938,$0.01947,"$75,771","$75,771"
"May 31, 2022",$0.02001,$0.02008,$0.01961,$0.01971,"$61,877","$61,877"
"May 30, 2022",$0.01994,$0.02025,$0.01989,$0.02001,"$61,320","$61,320"
"May 29, 2022",$0.01982,$0.02002,$0.0198,$0.01994,"$63,707","$63,707"
"May 28, 2022",$0.01982,$0.01993,$0.01969,$0.01983,"$70,351","$70,351"
"May 27, 2022",$0.02004,$0.02017,$0.01975,$0.01987,"$77,789","$77,789"
"May 26, 2022",$0.0203,$0.02042,$0.01976,$0.02004,"$82,356","$82,356"
"May 25, 2022",$0.02024,$0.02053,$0.02017,$0.0203,"$62,713","$62,713"
"May 24, 2022",$0.02046,$0.02053,$0.02005,$0.02024,"$62,025","$62,025"
"May 23, 2022",$0.02092,$0.02105,$0.02032,$0.02046,"$70,040","$70,040"
"May 22, 2022",$0.02101,$0.02117,$0.02084,$0.02092,"$78,506","$78,506"
"May 21, 2022",$0.02079,$0.0211,$0.02073,$0.02101,"$78,027","$78,027"
"May 20, 2022",$0.02136,$0.02143,$0.02072,$0.02079,"$68,155","$68,155"
"May 19, 2022",$0.02156,$0.02191,$0.02108,$0.02136,"$85,478","$85,478"
"May 18, 2022",$0.01922,$0.02229,$0.01889,$0.02156,"$79,494","$79,494"
"May 17, 2022",$0.01951,$0.0197,$0.01907,$0.01922,"$74,404","$74,404"
"May 16, 2022",$0.02012,$0.0203,$0.01945,$0.01951,"$71,329","$71,329"
"May 15, 2022",$0.0222,$0.02669,$0.01993,$0.02012,"$96,468","$96,468"
"May 14, 2022",$0.02342,$0.02369,$0.02209,$0.0222,"$86,424","$86,424"
"May 13, 2022",$0.02634,$0.02823,$0.02333,$0.02342,"$113,090","$113,090"
"May 12, 2022",$0.03397,$0.03433,$0.01805,$0.02635,"$137,006","$137,006"
"May 11, 2022",$0.02721,$0.03788,$0.02651,$0.03397,"$152,878","$152,878"
"May 10, 2022",$0.02679,$0.0281,$0.02295,$0.02721,"$123,688","$123,688"
"May 09, 2022",$0.03719,$0.03735,$0.0263,$0.02679,"$137,701","$137,701"
"May 08, 2022",$0.0352,$0.0389,$0.03389,$0.03719,"$132,632","$132,632"
"May 07, 2022",$0.03637,$0.03693,$0.03459,$0.03519,"$127,776","$127,776"
"May 06, 2022",$0.03621,$0.03669,$0.03592,$0.03637,"$85,881","$85,881"
"May 05, 2022",$0.03583,$0.038,$0.03582,$0.03622,"$111,477","$111,477"
"May 04, 2022",$0.03614,$0.03633,$0.03464,$0.03583,"$127,057","$127,057"
"May 03, 2022",$0.03582,$0.03686,$0.0353,$0.03614,"$122,885","$122,885"
"May 02, 2022",$0.03616,$0.03654,$0.03489,$0.03582,"$134,514","$134,514"
"May 01, 2022",$0.03574,$0.03632,$0.03498,$0.03616,"$128,976","$128,976"
"Apr 30, 2022",$0.03597,$0.03803,$0.03486,$0.03574,"$127,825","$127,825"
"Apr 29, 2022",$0.03828,$0.0387,$0.03569,$0.03597,"$115,637","$115,637"
"Apr 28, 2022",$0.03886,$0.03977,$0.03695,$0.03828,"$137,302","$137,302"
"Apr 27, 2022",$0.03778,$0.03939,$0.03716,$0.03886,"$146,093","$146,093"
"Apr 26, 2022",$0.03908,$0.03986,$0.03773,$0.03778,"$134,592","$134,592"
"Apr 25, 2022",$0.03935,$0.04005,$0.03906,$0.03908,"$144,599","$144,599"
"Apr 24, 2022",$0.03976,$0.03991,$0.039,$0.03935,"$136,700","$136,700"
"Apr 23, 2022",$0.0401,$0.04051,$0.03952,$0.03976,"$141,960","$141,960"
"Apr 22, 2022",$0.04018,$0.04084,$0.03987,$0.0401,"$130,615","$130,615"
"Apr 21, 2022",$0.03814,$0.04044,$0.03799,$0.04019,"$134,416","$134,416"
"Apr 20, 2022",$0.03842,$0.03872,$0.0379,$0.03814,"$131,602","$131,602"
"Apr 19, 2022",$0.04028,$0.04041,$0.037,$0.03843,"$133,516","$133,516"
"Apr 18, 2022",$0.0391,$0.041,$0.03879,$0.04028,"$146,586","$146,586"
"Apr 17, 2022",$0.03767,$0.04056,$0.03695,$0.0391,"$153,069","$153,069"
