Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$1.00,$1.00,$0.9988,$1.00,"$2,952,957","$2,952,957"
"Sep 20, 2022",$0.9991,$1.00,$0.9985,$1.00,"$1,263,201","$1,263,201"
"Sep 19, 2022",$0.9977,$0.9999,$0.9964,$0.9991,"$1,839,792","$1,839,792"
"Sep 18, 2022",$0.9978,$0.9988,$0.9974,$0.9977,"$1,855,436","$1,855,436"
"Sep 17, 2022",$0.9984,$0.9994,$0.9976,$0.9978,"$1,267,541","$1,267,541"
"Sep 16, 2022",$0.9985,$0.999,$0.9979,$0.9985,"$1,569,826","$1,569,826"
"Sep 15, 2022",$0.9996,$0.9999,$0.9976,$0.9985,"$2,903,778","$2,903,778"
"Sep 14, 2022",$0.9985,$1,$0.9983,$0.9996,"$1,495,161","$1,495,161"
"Sep 13, 2022",$0.9999,$1.00,$0.998,$0.9989,"$2,688,993","$2,688,993"
"Sep 12, 2022",$0.9984,$1.00,$0.9981,$0.9999,"$2,145,408","$2,145,408"
"Sep 11, 2022",$1.00,$1.00,$0.9968,$0.9984,"$1,974,839","$1,974,839"
"Sep 10, 2022",$1,$1.00,$0.998,$1.00,"$1,701,602","$1,701,602"
"Sep 09, 2022",$0.9982,$1.00,$0.9977,$1,"$3,295,692","$3,295,692"
"Sep 08, 2022",$0.9993,$0.9993,$0.9975,$0.9982,"$2,569,572","$2,569,572"
"Sep 07, 2022",$0.9984,$1.00,$0.9982,$0.9993,"$2,002,710","$2,002,710"
"Sep 06, 2022",$1.00,$1.00,$0.9973,$0.9984,"$2,910,408","$2,910,408"
"Sep 05, 2022",$0.9973,$1.00,$0.9972,$1.00,"$1,501,759","$1,501,759"
"Sep 04, 2022",$1.00,$1.00,$0.9972,$0.9973,"$1,021,696","$1,021,696"
"Sep 03, 2022",$0.9994,$1.00,$0.9984,$1.00,"$1,009,275","$1,009,275"
"Sep 02, 2022",$0.9995,$1.00,$0.9984,$0.9994,"$1,286,478","$1,286,478"
"Sep 01, 2022",$0.9987,$1.00,$0.9985,$0.9995,"$1,989,145","$1,989,145"
"Aug 31, 2022",$0.9988,$1.00,$0.9985,$0.9987,"$2,062,699","$2,062,699"
"Aug 30, 2022",$0.9989,$0.9996,$0.9971,$0.9988,"$4,647,520","$4,647,520"
"Aug 29, 2022",$0.9979,$1,$0.9979,$0.9989,"$2,383,131","$2,383,131"
"Aug 28, 2022",$0.9981,$0.9995,$0.997,$0.9979,"$1,874,181","$1,874,181"
"Aug 27, 2022",$0.9987,$0.9997,$0.9973,$0.9981,"$2,091,715","$2,091,715"
"Aug 26, 2022",$0.9986,$0.9997,$0.9974,$0.9987,"$3,327,143","$3,327,143"
"Aug 25, 2022",$0.9999,$0.9999,$0.9963,$0.9986,"$2,004,895","$2,004,895"
"Aug 24, 2022",$1.00,$1.00,$0.9991,$0.9999,"$2,082,856","$2,082,856"
"Aug 23, 2022",$1.00,$1.00,$0.9993,$1.00,"$2,635,458","$2,635,458"
"Aug 22, 2022",$0.9999,$1.00,$0.9993,$1.00,"$2,701,248","$2,701,248"
"Aug 21, 2022",$1.00,$1.00,$0.9994,$0.9999,"$1,997,695","$1,997,695"
"Aug 20, 2022",$0.9989,$1.00,$0.9989,$1.00,"$1,787,752","$1,787,752"
"Aug 19, 2022",$1.00,$1.00,$0.9988,$0.9989,"$3,736,855","$3,736,855"
"Aug 18, 2022",$1.00,$1.00,$1.00,$1.00,"$5,066,027","$5,066,027"
"Aug 17, 2022",$1.00,$1.00,$1.00,$1.00,"$7,466,554","$7,466,554"
"Aug 16, 2022",$1.00,$1.00,$1.00,$1.00,"$5,935,918","$5,935,918"
"Aug 15, 2022",$1.00,$1.00,$1.00,$1.00,"$6,629,871","$6,629,871"
"Aug 14, 2022",$1.00,$1.00,$1.00,$1.00,"$2,109,962","$2,109,962"
"Aug 13, 2022",$1.00,$1.00,$1.00,$1.00,"$1,631,996","$1,631,996"
"Aug 12, 2022",$1.01,$1.02,$1.00,$1.00,"$1,311,181","$1,311,181"
"Aug 11, 2022",$1.01,$1.01,$1.01,$1.01,"$1,449,705","$1,449,705"
"Aug 10, 2022",$1.00,$1.01,$0.9926,$1.01,"$1,843,544","$1,843,544"
"Aug 09, 2022",$1.00,$1.01,$0.9927,$1.00,"$2,267,168","$2,267,168"
"Aug 08, 2022",$0.9997,$1.00,$0.9984,$1,"$1,730,801","$1,730,801"
"Aug 07, 2022",$0.9988,$1.00,$0.9979,$0.9997,"$1,493,388","$1,493,388"
"Aug 06, 2022",$0.9968,$1.00,$0.9943,$0.9988,"$2,636,551","$2,636,551"
"Aug 05, 2022",$1.00,$1.00,$0.9957,$0.9968,"$3,571,456","$3,571,456"
"Aug 04, 2022",$1.00,$1.00,$0.9969,$1.00,"$2,770,871","$2,770,871"
"Aug 03, 2022",$1.00,$1.00,$0.999,$1.00,"$2,250,087","$2,250,087"
"Aug 02, 2022",$1.00,$1.00,$0.9981,$1.00,"$3,367,777","$3,367,777"
"Aug 01, 2022",$1.00,$1.00,$0.996,$1.00,"$4,037,824","$4,037,824"
"Jul 31, 2022",$0.999,$1.00,$0.9974,$1.00,"$3,488,116","$3,488,116"
"Jul 30, 2022",$1.00,$1.00,$0.999,$0.999,"$3,979,928","$3,979,928"
"Jul 29, 2022",$1.00,$1.00,$0.9985,$1.00,"$3,580,566","$3,580,566"
