Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.9923,$1.01,$0.9862,$1.00,"$29,267,086","$29,267,086"
"Sep 18, 2022",$0.9992,$1.00,$0.9873,$0.9923,"$24,856,570","$24,856,570"
"Sep 17, 2022",$0.9943,$1.00,$0.9902,$1.00,"$19,691,609","$19,691,609"
"Sep 16, 2022",$0.9888,$0.9978,$0.9855,$0.9944,"$26,244,892","$26,244,892"
"Sep 15, 2022",$1.00,$1.00,$0.9883,$0.9888,"$40,713,995","$40,713,995"
"Sep 14, 2022",$0.9903,$1.00,$0.9886,$1.00,"$36,226,770","$36,226,770"
"Sep 13, 2022",$0.9989,$1.00,$0.9881,$0.991,"$38,451,171","$38,451,171"
"Sep 12, 2022",$0.9981,$1.00,$0.9937,$0.9989,"$28,176,422","$28,176,422"
"Sep 11, 2022",$1.01,$1.01,$0.9941,$0.9983,"$19,232,228","$19,232,228"
"Sep 10, 2022",$1.01,$1.01,$0.9971,$1.01,"$25,029,431","$25,029,431"
"Sep 09, 2022",$1.01,$1.01,$1.00,$1.01,"$35,552,373","$35,552,373"
"Sep 08, 2022",$1.00,$1.01,$0.9913,$1.01,"$26,915,441","$26,915,441"
"Sep 07, 2022",$0.9922,$1.00,$0.9898,$1.00,"$26,776,452","$26,776,452"
"Sep 06, 2022",$1.00,$1.01,$0.9882,$0.9922,"$30,402,936","$30,402,936"
"Sep 05, 2022",$1.00,$1.00,$0.9867,$1.00,"$19,511,706","$19,511,706"
"Sep 04, 2022",$0.9961,$1.00,$0.996,$1.00,"$18,935,806","$18,935,806"
"Sep 03, 2022",$0.997,$0.9978,$0.993,$0.9959,"$17,581,853","$17,581,853"
"Sep 02, 2022",$1.00,$1.00,$0.9938,$0.997,"$27,586,241","$27,586,241"
"Sep 01, 2022",$0.9963,$1.00,$0.9926,$1.00,"$32,342,802","$32,342,802"
"Aug 31, 2022",$0.9974,$1.01,$0.9933,$0.9962,"$34,165,432","$34,165,432"
"Aug 30, 2022",$1.00,$1.01,$0.991,$0.9978,"$31,043,860","$31,043,860"
"Aug 29, 2022",$0.9905,$1.01,$0.9905,$1.00,"$27,907,311","$27,907,311"
"Aug 28, 2022",$1.00,$1.01,$0.9905,$0.9905,"$22,752,707","$22,752,707"
"Aug 27, 2022",$0.9919,$1.00,$0.9867,$1.00,"$27,160,950","$27,160,950"
"Aug 26, 2022",$0.9992,$1.01,$0.9852,$0.9918,"$33,981,452","$33,981,452"
"Aug 25, 2022",$1.00,$1.00,$0.9984,$0.9993,"$24,613,626","$24,613,626"
"Aug 24, 2022",$1.00,$1.00,$0.992,$1.00,"$28,544,785","$28,544,785"
"Aug 23, 2022",$1.00,$1.00,$0.9807,$1.00,"$29,247,317","$29,247,317"
"Aug 22, 2022",$0.9972,$1.00,$0.9875,$1.00,"$24,085,701","$24,085,701"
"Aug 21, 2022",$0.9961,$1.01,$0.9936,$0.9973,"$19,826,189","$19,826,189"
"Aug 20, 2022",$0.9828,$1.00,$0.9824,$0.9961,"$22,315,413","$22,315,413"
"Aug 19, 2022",$0.9942,$1.00,$0.9806,$0.9837,"$26,827,887","$26,827,887"
"Aug 18, 2022",$0.9967,$1.00,$0.9937,$0.9942,"$17,211,801","$17,211,801"
"Aug 17, 2022",$0.9991,$1.01,$0.9915,$0.9966,"$22,521,043","$22,521,043"
"Aug 16, 2022",$0.9992,$1.00,$0.9905,$0.9991,"$21,615,140","$21,615,140"
"Aug 15, 2022",$1.00,$1.00,$0.9941,$0.9992,"$27,528,068","$27,528,068"
"Aug 14, 2022",$1.00,$1.02,$0.9977,$1.00,"$19,340,616","$19,340,616"
"Aug 13, 2022",$1.01,$1.02,$0.9984,$1.00,"$20,631,180","$20,631,180"
