Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.9362,$0.9449,$0.51,$0.9376,"$379,727","$379,727"
"Sep 17, 2022",$0.935,$0.9419,$0.9301,$0.9362,"$261,530","$261,530"
"Sep 16, 2022",$0.925,$0.9419,$0.925,$0.935,"$152,706","$152,706"
"Sep 15, 2022",$0.9435,$0.9503,$0.9238,$0.925,"$230,940","$230,940"
"Sep 14, 2022",$0.9441,$0.9443,$0.9399,$0.9435,"$235,646","$235,646"
"Sep 13, 2022",$0.9441,$0.952,$0.9399,$0.9434,"$272,426","$272,426"
"Sep 12, 2022",$0.9418,$0.958,$0.9408,$0.9441,"$218,333","$218,333"
"Sep 11, 2022",$0.9443,$0.9549,$0.9402,$0.9418,"$285,146","$285,146"
"Sep 10, 2022",$0.9478,$0.9594,$0.9415,$0.9443,"$244,051","$244,051"
"Sep 09, 2022",$0.9463,$0.9502,$0.9412,$0.9478,"$244,515","$244,515"
"Sep 08, 2022",$0.947,$0.9496,$0.945,$0.9463,"$246,300","$246,300"
"Sep 07, 2022",$0.9379,$0.9482,$0.9347,$0.947,"$262,909","$262,909"
"Sep 06, 2022",$0.9526,$0.9534,$0.9321,$0.9379,"$231,116","$231,116"
"Sep 05, 2022",$0.9505,$0.9541,$0.9461,$0.9526,"$236,516","$236,516"
"Sep 04, 2022",$0.9555,$0.9574,$0.9484,$0.9505,"$230,987","$230,987"
"Sep 03, 2022",$0.9531,$0.9623,$0.948,$0.9555,"$251,965","$251,965"
"Sep 02, 2022",$0.9547,$0.9613,$0.9491,$0.9531,"$241,616","$241,616"
"Sep 01, 2022",$0.9569,$0.9615,$0.945,$0.9547,"$246,321","$246,321"
"Aug 31, 2022",$0.9646,$0.9737,$0.9569,$0.9569,"$252,541","$252,541"
"Aug 30, 2022",$0.955,$0.9753,$0.9523,$0.9646,"$633,693","$633,693"
"Aug 29, 2022",$0.9636,$0.9642,$0.95,$0.955,"$239,533","$239,533"
"Aug 28, 2022",$0.9686,$0.9686,$0.9534,$0.9636,"$262,389","$262,389"
"Aug 27, 2022",$0.9688,$0.9731,$0.9532,$0.9686,"$232,297","$232,297"
"Aug 26, 2022",$0.9599,$0.9778,$0.9532,$0.9687,"$653,778","$653,778"
"Aug 25, 2022",$0.9603,$0.9673,$0.9574,$0.9599,"$200,477","$200,477"
"Aug 24, 2022",$0.9612,$0.978,$0.9524,$0.9603,"$452,310","$452,310"
