Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.001452,$0.001471,$0.001419,$0.00145,"$205,656","$205,656"
"Sep 25, 2022",$0.001522,$0.001536,$0.00145,$0.001451,"$1,662,230","$1,662,230"
"Sep 24, 2022",$0.001496,$0.001529,$0.001484,$0.001521,"$295,338","$295,338"
"Sep 23, 2022",$0.001537,$0.001547,$0.001472,$0.001496,"$914,504","$914,504"
"Sep 22, 2022",$0.001387,$0.00155,$0.001373,$0.001537,"$1,097,389","$1,097,389"
"Sep 21, 2022",$0.001416,$0.001438,$0.001368,$0.001387,"$264,884","$264,884"
"Sep 20, 2022",$0.001431,$0.001444,$0.001413,$0.001415,"$725,773","$725,773"
"Sep 19, 2022",$0.001441,$0.001446,$0.001358,$0.00143,"$596,508","$596,508"
"Sep 18, 2022",$0.001484,$0.00149,$0.001439,$0.00144,"$254,835","$254,835"
"Sep 17, 2022",$0.001467,$0.001512,$0.00144,$0.001484,"$596,710","$596,710"
"Sep 16, 2022",$0.001442,$0.001488,$0.001442,$0.001467,"$992,022","$992,022"
"Sep 15, 2022",$0.001541,$0.001546,$0.001438,$0.001446,"$751,708","$751,708"
"Sep 14, 2022",$0.001536,$0.001572,$0.001507,$0.001539,"$977,697","$977,697"
"Sep 13, 2022",$0.001649,$0.001708,$0.001533,$0.001544,"$1,432,836","$1,432,836"
"Sep 12, 2022",$0.001626,$0.001658,$0.001588,$0.00165,"$1,067,845","$1,067,845"
"Sep 11, 2022",$0.001629,$0.001641,$0.001582,$0.001627,"$1,993,071","$1,993,071"
"Sep 10, 2022",$0.00159,$0.001645,$0.001575,$0.001628,"$1,325,538","$1,325,538"
"Sep 09, 2022",$0.001523,$0.001598,$0.001516,$0.001589,"$2,545,823","$2,545,823"
"Sep 08, 2022",$0.001535,$0.001538,$0.001493,$0.001522,"$2,593,957","$2,593,957"
"Sep 07, 2022",$0.001475,$0.001538,$0.001461,$0.001535,"$2,267,918","$2,267,918"
"Sep 06, 2022",$0.001495,$0.001531,$0.00146,$0.001475,"$1,143,700","$1,143,700"
"Sep 05, 2022",$0.001532,$0.001539,$0.00148,$0.001495,"$885,611","$885,611"
"Sep 04, 2022",$0.001509,$0.00177,$0.001455,$0.001532,"$1,218,169","$1,218,169"
"Sep 03, 2022",$0.001528,$0.001536,$0.001482,$0.001508,"$262,035","$262,035"
"Sep 02, 2022",$0.001553,$0.001585,$0.001513,$0.001528,"$841,407","$841,407"
"Sep 01, 2022",$0.001569,$0.001577,$0.001512,$0.001553,"$322,048","$322,048"
"Aug 31, 2022",$0.001492,$0.001701,$0.001492,$0.001569,"$862,142","$862,142"
"Aug 30, 2022",$0.001525,$0.001544,$0.00148,$0.001492,"$4,520,819","$4,520,819"
"Aug 29, 2022",$0.001509,$0.001536,$0.001458,$0.001525,"$459,981","$459,981"
"Aug 28, 2022",$0.001466,$0.001537,$0.001457,$0.001507,"$444,383","$444,383"
"Aug 27, 2022",$0.001498,$0.0015,$0.001448,$0.001467,"$1,591,168","$1,591,168"
"Aug 26, 2022",$0.001618,$0.001621,$0.001498,$0.0015,"$1,233,832","$1,233,832"
"Aug 25, 2022",$0.001607,$0.001648,$0.001597,$0.001618,"$462,595","$462,595"
"Aug 24, 2022",$0.001609,$0.001657,$0.001599,$0.001607,"$940,495","$940,495"
"Aug 23, 2022",$0.001795,$0.001814,$0.001582,$0.00161,"$505,083","$505,083"
"Aug 22, 2022",$0.00153,$0.002013,$0.001487,$0.001795,"$3,951,171","$3,951,171"
"Aug 21, 2022",$0.001474,$0.001541,$0.001462,$0.001524,"$984,629","$984,629"
"Aug 20, 2022",$0.001497,$0.001543,$0.001451,$0.001476,"$329,563","$329,563"
"Aug 19, 2022",$0.00168,$0.001681,$0.001484,$0.001499,"$1,199,873","$1,199,873"
"Aug 18, 2022",$0.001698,$0.001719,$0.001632,$0.001681,"$461,681","$461,681"
"Aug 17, 2022",$0.001743,$0.001777,$0.001691,$0.001701,"$897,435","$897,435"
"Aug 16, 2022",$0.001797,$0.001823,$0.001739,$0.001743,"$1,126,752","$1,126,752"
"Aug 15, 2022",$0.001808,$0.001942,$0.001731,$0.001786,"$703,141","$703,141"
"Aug 14, 2022",$0.00175,$0.001845,$0.001743,$0.001802,"$610,989","$610,989"
"Aug 13, 2022",$0.001713,$0.001757,$0.001713,$0.00175,"$972,309","$972,309"
"Aug 12, 2022",$0.001715,$0.001739,$0.001674,$0.001713,"$427,953","$427,953"
"Aug 11, 2022",$0.001759,$0.001784,$0.001708,$0.001714,"$842,813","$842,813"
"Aug 10, 2022",$0.001683,$0.001811,$0.001644,$0.001759,"$545,933","$545,933"
"Aug 09, 2022",$0.001763,$0.001779,$0.001666,$0.001684,"$3,868,077","$3,868,077"
"Aug 08, 2022",$0.001731,$0.001773,$0.001707,$0.001764,"$2,004,385","$2,004,385"
"Aug 07, 2022",$0.001707,$0.001743,$0.001669,$0.001725,"$1,006,842","$1,006,842"
"Aug 06, 2022",$0.001694,$0.001714,$0.001639,$0.001706,"$976,231","$976,231"
"Aug 05, 2022",$0.001649,$0.001706,$0.001648,$0.001693,"$676,485","$676,485"
"Aug 04, 2022",$0.001708,$0.001747,$0.001638,$0.001649,"$1,083,042","$1,083,042"
"Aug 03, 2022",$0.001666,$0.001795,$0.001652,$0.001708,"$1,247,027","$1,247,027"
"Aug 02, 2022",$0.001697,$0.00171,$0.00162,$0.001666,"$1,812,632","$1,812,632"
"Aug 01, 2022",$0.001763,$0.001767,$0.00167,$0.001697,"$459,489","$459,489"
"Jul 31, 2022",$0.001664,$0.00184,$0.001647,$0.00177,"$716,760","$716,760"
"Jul 30, 2022",$0.001533,$0.002046,$0.00152,$0.00165,"$2,149,301","$2,149,301"
"Jul 29, 2022",$0.001534,$0.001557,$0.001481,$0.001531,"$1,213,875","$1,213,875"
"Jul 28, 2022",$0.001506,$0.001569,$0.001464,$0.001536,"$493,136","$493,136"
"Jul 27, 2022",$0.001441,$0.001525,$0.00142,$0.001506,"$726,298","$726,298"
"Jul 26, 2022",$0.001484,$0.001484,$0.001425,$0.001437,"$687,927","$687,927"
"Jul 25, 2022",$0.001589,$0.001591,$0.001481,$0.001484,"$3,275,062","$3,275,062"
"Jul 24, 2022",$0.001555,$0.001605,$0.001554,$0.001592,"$847,308","$847,308"
"Jul 23, 2022",$0.001531,$0.001573,$0.001496,$0.001556,"$406,057","$406,057"
"Jul 22, 2022",$0.001534,$0.001575,$0.0015,$0.001533,"$454,426","$454,426"
"Jul 21, 2022",$0.00166,$0.001665,$0.001501,$0.001544,"$1,165,472","$1,165,472"
"Jul 20, 2022",$0.001636,$0.001712,$0.001619,$0.00166,"$1,714,251","$1,714,251"
"Jul 19, 2022",$0.001608,$0.001659,$0.001565,$0.001638,"$1,354,223","$1,354,223"
"Jul 18, 2022",$0.001523,$0.001607,$0.001511,$0.001606,"$1,006,939","$1,006,939"
"Jul 17, 2022",$0.001525,$0.001554,$0.001504,$0.001523,"$916,789","$916,789"
"Jul 16, 2022",$0.001512,$0.00154,$0.00149,$0.001525,"$575,979","$575,979"
"Jul 15, 2022",$0.001484,$0.001533,$0.00146,$0.001507,"$976,792","$976,792"
"Jul 14, 2022",$0.001462,$0.001513,$0.001424,$0.001479,"$418,370","$418,370"
"Jul 13, 2022",$0.001465,$0.001486,$0.001414,$0.001462,"$436,158","$436,158"
"Jul 12, 2022",$0.001561,$0.001561,$0.001453,$0.001469,"$466,278","$466,278"
"Jul 11, 2022",$0.001616,$0.00163,$0.001511,$0.00156,"$3,198,249","$3,198,249"
"Jul 10, 2022",$0.001705,$0.001713,$0.001607,$0.001618,"$1,296,721","$1,296,721"
"Jul 09, 2022",$0.001697,$0.001744,$0.001684,$0.001705,"$685,353","$685,353"
"Jul 08, 2022",$0.001692,$0.001726,$0.00161,$0.001695,"$836,286","$836,286"
"Jul 07, 2022",$0.001598,$0.001696,$0.001587,$0.001688,"$555,030","$555,030"
"Jul 06, 2022",$0.001612,$0.001639,$0.001581,$0.001599,"$496,536","$496,536"
"Jul 05, 2022",$0.001683,$0.001705,$0.00159,$0.001607,"$632,717","$632,717"
"Jul 04, 2022",$0.001761,$0.001781,$0.001594,$0.001683,"$1,764,095","$1,764,095"
"Jul 03, 2022",$0.001982,$0.002029,$0.001708,$0.001765,"$6,858,001","$6,858,001"
"Jul 02, 2022",$0.001967,$0.002072,$0.001945,$0.001983,"$24,035,204","$24,035,204"
"Jul 01, 2022",$0.002024,$0.002037,$0.001866,$0.001965,"$9,868,912","$9,868,912"
"Jun 30, 2022",$0.002348,$0.002392,$0.001937,$0.002018,"$2,439,838","$2,439,838"
"Jun 29, 2022",$0.002675,$0.002687,$0.002346,$0.002348,"$1,249,683","$1,249,683"
