Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.9443,$0.9502,$0.9424,$0.9467,"$4,947","$4,947"
"Sep 17, 2022",$0.9428,$0.949,$0.9419,$0.9432,$294,$294
"Sep 16, 2022",$0.9444,$0.9492,$0.9413,$0.9437,$715,$715
"Sep 15, 2022",$0.9444,$0.9493,$0.9396,$0.9448,"$7,963","$7,963"
"Sep 14, 2022",$0.9582,$0.9583,$0.9356,$0.9446,"$33,447","$33,447"
"Sep 13, 2022",$0.9586,$0.9596,$0.9539,$0.9542,"$19,233","$19,233"
"Sep 12, 2022",$0.9579,$0.9587,$0.955,$0.9586,"$5,930","$5,930"
"Sep 11, 2022",$0.9626,$0.9667,$0.9561,$0.9578,"$52,401","$52,401"
"Sep 10, 2022",$0.9552,$0.9631,$0.9539,$0.9627,"$10,541","$10,541"
"Sep 09, 2022",$0.9626,$0.966,$0.9541,$0.9552,"$14,148","$14,148"
"Sep 08, 2022",$0.9387,$0.9677,$0.9383,$0.9623,"$108,164","$108,164"
"Sep 07, 2022",$0.9446,$0.9459,$0.9378,$0.9388,"$17,159","$17,159"
"Sep 06, 2022",$0.9433,$0.9461,$0.9431,$0.9446,"$2,155","$2,155"
"Sep 05, 2022",$0.9419,$0.9447,$0.9417,$0.9433,$817,$817
"Sep 04, 2022",$0.9393,$0.9426,$0.9391,$0.9419,"$1,572","$1,572"
"Sep 03, 2022",$0.9414,$0.9424,$0.9391,$0.9393,"$20,023","$20,023"
"Sep 02, 2022",$0.9426,$0.9543,$0.9404,$0.9415,"$23,943","$23,943"
"Sep 01, 2022",$0.9453,$0.9456,$0.9398,$0.9427,"$9,907","$9,907"
"Aug 31, 2022",$0.9452,$0.9468,$0.9403,$0.9453,"$3,450","$3,450"
"Aug 30, 2022",$0.9465,$0.9477,$0.9446,$0.945,"$13,541","$13,541"
"Aug 29, 2022",$0.9469,$0.9486,$0.9419,$0.9466,"$18,433","$18,433"
"Aug 28, 2022",$0.9395,$0.9476,$0.939,$0.9472,"$14,773","$14,773"
"Aug 27, 2022",$0.9454,$0.9461,$0.9394,$0.9396,"$23,196","$23,196"
"Aug 26, 2022",$0.9487,$0.9489,$0.9451,$0.9455,"$22,800","$22,800"
"Aug 25, 2022",$0.944,$0.9491,$0.9435,$0.9487,"$8,502","$8,502"
"Aug 24, 2022",$0.9448,$0.9459,$0.9403,$0.944,"$1,742","$1,742"
"Aug 23, 2022",$0.9408,$0.9458,$0.9404,$0.9448,"$6,102","$6,102"
"Aug 22, 2022",$0.9391,$0.9556,$0.9374,$0.9408,"$3,021","$3,021"
"Aug 21, 2022",$0.9376,$0.9415,$0.937,$0.9392,"$3,339","$3,339"
"Aug 20, 2022",$0.9414,$0.9426,$0.9373,$0.9377,"$12,659","$12,659"
"Aug 19, 2022",$0.9432,$0.9448,$0.9375,$0.9414,"$12,788","$12,788"
"Aug 18, 2022",$0.9321,$0.9436,$0.9316,$0.9432,"$12,340","$12,340"
"Aug 17, 2022",$0.9441,$0.9449,$0.9296,$0.9321,"$30,010","$30,010"
"Aug 16, 2022",$0.942,$0.9455,$0.9329,$0.9441,"$12,402","$12,402"
"Aug 15, 2022",$0.9357,$0.9447,$0.9335,$0.942,"$4,803","$4,803"
"Aug 14, 2022",$0.9406,$0.9477,$0.9347,$0.9356,"$4,105","$4,105"
"Aug 13, 2022",$0.9365,$0.9455,$0.9365,$0.9407,"$2,797","$2,797"
"Aug 12, 2022",$0.933,$0.9381,$0.9291,$0.9364,"$22,269","$22,269"
"Aug 11, 2022",$0.9468,$0.9584,$0.9317,$0.9329,"$41,345","$41,345"
"Aug 10, 2022",$0.9459,$0.9509,$0.9431,$0.9469,"$8,924","$8,924"
"Aug 09, 2022",$0.9455,$0.9486,$0.9395,$0.9459,"$5,135","$5,135"
"Aug 08, 2022",$0.9471,$0.9509,$0.9445,$0.9454,"$8,500","$8,500"
"Aug 07, 2022",$0.9402,$0.9508,$0.9401,$0.9471,"$2,438","$2,438"
"Aug 06, 2022",$0.9407,$0.9455,$0.9389,$0.9401,"$1,662","$1,662"
"Aug 05, 2022",$0.9474,$0.9547,$0.9383,$0.9404,"$29,657","$29,657"
"Aug 04, 2022",$0.9464,$0.9533,$0.9445,$0.9474,"$9,157","$9,157"
"Aug 03, 2022",$0.9397,$0.9666,$0.9355,$0.9464,"$9,293","$9,293"
