Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$1.45,$1.52,$1.44,$1.49,"$205,009","$205,009"
"Sep 24, 2022",$1.50,$1.52,$1.44,$1.45,"$206,010","$206,010"
"Sep 23, 2022",$1.54,$1.54,$1.44,$1.50,"$242,127","$242,127"
"Sep 22, 2022",$1.44,$1.58,$1.43,$1.54,"$108,801","$108,801"
"Sep 21, 2022",$1.52,$1.54,$1.43,$1.44,"$154,059","$154,059"
"Sep 20, 2022",$1.55,$1.64,$1.48,$1.52,"$363,215","$363,215"
"Sep 19, 2022",$1.53,$1.71,$1.47,$1.55,"$1,470,372","$1,470,372"
"Sep 18, 2022",$1.72,$1.74,$1.52,$1.53,"$363,851","$363,851"
"Sep 17, 2022",$1.76,$1.86,$1.68,$1.72,"$977,025","$977,025"
"Sep 16, 2022",$1.67,$2.08,$1.63,$1.76,"$5,013,992","$5,013,992"
"Sep 15, 2022",$1.68,$1.69,$1.60,$1.69,"$28,564","$28,564"
"Sep 14, 2022",$1.65,$1.69,$1.62,$1.68,"$32,826","$32,826"
"Sep 13, 2022",$1.80,$1.83,$1.59,$1.67,"$106,368","$106,368"
"Sep 12, 2022",$1.81,$1.85,$1.73,$1.76,"$57,394","$57,394"
"Sep 11, 2022",$1.80,$1.82,$1.72,$1.81,"$63,212","$63,212"
"Sep 10, 2022",$1.77,$1.81,$1.72,$1.79,"$57,530","$57,530"
"Sep 09, 2022",$1.70,$1.82,$1.66,$1.77,"$101,808","$101,808"
"Sep 08, 2022",$1.73,$1.74,$1.69,$1.70,"$36,533","$36,533"
"Sep 07, 2022",$1.66,$1.74,$1.61,$1.73,"$128,363","$128,363"
"Sep 06, 2022",$1.73,$1.79,$1.62,$1.66,"$28,922","$28,922"
"Sep 05, 2022",$1.74,$1.79,$1.71,$1.73,"$44,524","$44,524"
"Sep 04, 2022",$1.78,$1.78,$1.73,$1.74,"$32,853","$32,853"
"Sep 03, 2022",$1.75,$1.82,$1.74,$1.78,"$49,904","$49,904"
"Sep 02, 2022",$1.78,$1.84,$1.73,$1.75,"$165,692","$165,692"
"Sep 01, 2022",$1.77,$1.96,$1.68,$1.78,"$610,762","$610,762"
"Aug 31, 2022",$1.74,$1.83,$1.72,$1.77,"$65,086","$65,086"
"Aug 30, 2022",$1.82,$1.83,$1.69,$1.74,"$46,575","$46,575"
"Aug 29, 2022",$1.73,$1.82,$1.68,$1.82,"$66,941","$66,941"
"Aug 28, 2022",$1.74,$1.78,$1.73,$1.73,"$35,115","$35,115"
"Aug 27, 2022",$1.81,$1.82,$1.70,$1.74,"$58,981","$58,981"
"Aug 26, 2022",$1.91,$2.02,$1.79,$1.81,"$96,700","$96,700"
"Aug 25, 2022",$1.94,$1.98,$1.87,$1.91,"$61,848","$61,848"
"Aug 24, 2022",$1.94,$1.97,$1.86,$1.91,"$44,653","$44,653"
"Aug 23, 2022",$1.95,$1.95,$1.87,$1.94,"$32,098","$32,098"
"Aug 22, 2022",$1.99,$2.00,$1.86,$1.95,"$84,855","$84,855"
"Aug 21, 2022",$1.92,$2.01,$1.92,$1.99,"$86,801","$86,801"
"Aug 20, 2022",$1.88,$2.04,$1.85,$1.92,"$293,152","$293,152"
"Aug 19, 2022",$2.06,$2.17,$1.85,$1.88,"$374,905","$374,905"
"Aug 18, 2022",$2.04,$2.20,$2.02,$2.06,"$311,196","$311,196"
"Aug 17, 2022",$2.05,$2.13,$2.01,$2.04,"$90,067","$90,067"
"Aug 16, 2022",$2.07,$2.10,$2.03,$2.05,"$70,315","$70,315"
"Aug 15, 2022",$2.11,$2.18,$2.04,$2.07,"$87,630","$87,630"
"Aug 14, 2022",$2.12,$2.23,$2.08,$2.11,"$288,930","$288,930"
"Aug 13, 2022",$2.12,$2.16,$2.09,$2.12,"$143,771","$143,771"
"Aug 12, 2022",$2.03,$2.26,$2.01,$2.12,"$716,722","$716,722"
