Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$0.01246,$0.01299,$0.01197,$0.01224,"$13,080","$13,080"
"Sep 20, 2022",$0.01291,$0.01294,$0.01234,$0.01246,"$20,698","$20,698"
"Sep 19, 2022",$0.01282,$0.01297,$0.01177,$0.01291,"$20,750","$20,750"
"Sep 18, 2022",$0.01328,$0.01328,$0.01279,$0.01282,"$19,331","$19,331"
"Sep 17, 2022",$0.01247,$0.01331,$0.01247,$0.01328,"$16,804","$16,804"
"Sep 16, 2022",$0.01302,$0.01312,$0.01243,$0.01246,"$23,065","$23,065"
"Sep 15, 2022",$0.01341,$0.01345,$0.01196,$0.01302,"$17,032","$17,032"
"Sep 14, 2022",$0.01335,$0.01354,$0.01209,$0.01341,"$26,521","$26,521"
"Sep 13, 2022",$0.01476,$0.01499,$0.01327,$0.01343,"$49,672","$49,672"
"Sep 12, 2022",$0.00881,$0.01481,$0.008636,$0.01476,"$33,630","$33,630"
"Sep 11, 2022",$0.00888,$0.0139,$0.007228,$0.008809,"$14,508","$14,508"
"Sep 10, 2022",$0.01066,$0.01355,$0.008565,$0.008881,"$14,170","$14,170"
"Sep 09, 2022",$0.01067,$0.01378,$0.009897,$0.01066,"$10,361","$10,361"
"Sep 08, 2022",$0.01072,$0.01122,$0.0105,$0.01067,"$16,600","$16,600"
"Sep 07, 2022",$0.01061,$0.01086,$0.009909,$0.01072,"$14,322","$14,322"
"Sep 06, 2022",$0.01367,$0.0139,$0.01062,$0.01062,"$8,621","$8,621"
"Sep 05, 2022",$0.01436,$0.01439,$0.01183,$0.01367,"$25,764","$25,764"
"Sep 04, 2022",$0.01126,$0.01436,$0.009883,$0.01436,"$26,728","$26,728"
"Sep 03, 2022",$0.009483,$0.01129,$0.008693,$0.01126,"$20,543","$20,543"
"Sep 02, 2022",$0.0111,$0.01118,$0.009375,$0.009483,"$24,609","$24,609"
"Sep 01, 2022",$0.009791,$0.01149,$0.009719,$0.0111,"$28,915","$28,915"
"Aug 31, 2022",$0.009463,$0.01107,$0.009463,$0.009791,"$13,954","$13,954"
"Aug 30, 2022",$0.01154,$0.01154,$0.009209,$0.009461,"$4,262","$4,262"
"Aug 29, 2022",$0.01062,$0.012,$0.009496,$0.01154,"$27,867","$27,867"
"Aug 28, 2022",$0.01147,$0.01221,$0.009865,$0.01062,"$21,677","$21,677"
"Aug 27, 2022",$0.01061,$0.01236,$0.009737,$0.01147,"$24,451","$24,451"
