Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$0.3151,$0.3296,$0.3124,$0.3172,"$39,595","$39,595"
"Sep 20, 2022",$0.3311,$0.335,$0.3135,$0.3153,"$29,615","$29,615"
"Sep 19, 2022",$0.3287,$0.3343,$0.3177,$0.3312,"$30,198","$30,198"
"Sep 18, 2022",$0.3362,$0.3435,$0.325,$0.3287,"$42,629","$42,629"
"Sep 17, 2022",$0.3248,$0.3392,$0.3248,$0.3361,"$18,782","$18,782"
"Sep 16, 2022",$0.3357,$0.3362,$0.3225,$0.3248,"$23,612","$23,612"
"Sep 15, 2022",$0.3401,$0.3431,$0.3198,$0.3357,"$47,535","$47,535"
"Sep 14, 2022",$0.338,$0.3416,$0.3196,$0.3401,"$46,611","$46,611"
"Sep 13, 2022",$0.3585,$0.3638,$0.3301,$0.3379,"$72,713","$72,713"
"Sep 12, 2022",$0.3551,$0.3666,$0.3414,$0.3584,"$89,203","$89,203"
"Sep 11, 2022",$0.3199,$0.36,$0.3177,$0.3551,"$104,177","$104,177"
"Sep 10, 2022",$0.3195,$0.3304,$0.306,$0.3199,"$65,197","$65,197"
"Sep 09, 2022",$0.3227,$0.3306,$0.3109,$0.3195,"$73,216","$73,216"
"Sep 08, 2022",$0.3285,$0.3307,$0.3059,$0.3198,"$73,401","$73,401"
"Sep 07, 2022",$0.3343,$0.3459,$0.3147,$0.3293,"$60,471","$60,471"
"Sep 06, 2022",$0.3489,$0.3636,$0.3211,$0.3342,"$86,243","$86,243"
"Sep 05, 2022",$0.3601,$0.3731,$0.3423,$0.3489,"$56,265","$56,265"
"Sep 04, 2022",$0.3821,$0.3861,$0.3543,$0.3601,"$51,443","$51,443"
"Sep 03, 2022",$0.3662,$0.3842,$0.3599,$0.3821,"$61,114","$61,114"
"Sep 02, 2022",$0.3805,$0.3963,$0.3624,$0.3663,"$50,837","$50,837"
"Sep 01, 2022",$0.3688,$0.3889,$0.3665,$0.3805,"$39,463","$39,463"
