Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$1.08,$1.10,$1.06,$1.06,$0,$0
"Sep 24, 2022",$1.11,$1.12,$1.08,$1.08,$0,$0
"Sep 23, 2022",$1.08,$1.12,$1.05,$1.11,$0,$0
"Sep 22, 2022",$1.04,$1.09,$1.03,$1.08,$0,$0
"Sep 21, 2022",$1.06,$1.12,$1.02,$1.04,$0,$0
"Sep 20, 2022",$1.07,$1.08,$1.03,$1.06,$0,$0
"Sep 19, 2022",$1.07,$1.08,$1.02,$1.07,$0,$0
"Sep 18, 2022",$1.17,$1.17,$1.07,$1.07,$0,$0
"Sep 17, 2022",$1.13,$1.18,$1.13,$1.17,$0,$0
"Sep 16, 2022",$1.14,$1.15,$1.11,$1.13,$0,$0
"Sep 15, 2022",$1.22,$1.23,$1.14,$1.14,$0,$0
"Sep 14, 2022",$1.19,$1.23,$1.19,$1.22,$0,$0
"Sep 13, 2022",$1.24,$1.36,$1.19,$1.19,$0,$0
"Sep 12, 2022",$1.26,$1.27,$1.22,$1.24,$0,$0
"Sep 11, 2022",$1.28,$1.30,$1.25,$1.26,$0,$0
"Sep 10, 2022",$1.24,$1.30,$1.23,$1.28,$0,$0
"Sep 09, 2022",$1.17,$1.25,$1.17,$1.24,$0,$0
"Sep 08, 2022",$1.16,$1.18,$1.14,$1.17,$0,$0
"Sep 07, 2022",$1.10,$1.17,$1.08,$1.16,$0,$0
"Sep 06, 2022",$1.22,$1.26,$1.10,$1.10,$0,$0
"Sep 05, 2022",$1.23,$1.24,$1.20,$1.22,$0,$0
"Sep 04, 2022",$1.22,$1.23,$1.19,$1.23,$0,$0
"Sep 03, 2022",$1.23,$1.25,$1.21,$1.22,$0,$0
"Sep 02, 2022",$1.16,$1.25,$1.14,$1.23,$0,$0
"Sep 01, 2022",$1.09,$1.16,$1.08,$1.16,$0,$0
"Aug 31, 2022",$1.07,$1.11,$1.07,$1.09,$0,$0
"Aug 30, 2022",$1.13,$1.13,$1.06,$1.07,$0,$0
"Aug 29, 2022",$1.08,$1.14,$1.07,$1.13,$0,$0
"Aug 28, 2022",$1.07,$1.12,$1.07,$1.08,$0,$0
"Aug 27, 2022",$1.07,$1.08,$1.05,$1.07,$0,$0
"Aug 26, 2022",$1.15,$1.17,$1.06,$1.07,$0,$0
"Aug 25, 2022",$1.14,$1.16,$1.13,$1.15,$0,$0
"Aug 24, 2022",$1.15,$1.16,$1.13,$1.14,$0,$0
"Aug 23, 2022",$1.16,$1.16,$1.10,$1.15,$0,$0
"Aug 22, 2022",$1.12,$1.16,$1.06,$1.16,$0,$0
"Aug 21, 2022",$1.09,$1.13,$1.09,$1.12,$0,$0
"Aug 20, 2022",$1.09,$1.12,$1.07,$1.09,$0,$0
"Aug 19, 2022",$1.21,$1.21,$1.08,$1.09,$0,$0
"Aug 18, 2022",$1.22,$1.24,$1.21,$1.21,$0,$0
"Aug 17, 2022",$1.24,$1.30,$1.21,$1.22,$0,$0
"Aug 16, 2022",$1.23,$1.24,$1.22,$1.24,$0,$0
"Aug 15, 2022",$1.28,$1.32,$1.21,$1.23,$0,$0
"Aug 14, 2022",$1.29,$1.33,$1.27,$1.28,$0,$0
"Aug 13, 2022",$1.27,$1.32,$1.27,$1.29,$0,$0
"Aug 12, 2022",$1.25,$1.27,$1.23,$1.27,$0,$0
"Aug 11, 2022",$1.24,$1.28,$1.24,$1.25,$0,$0
"Aug 10, 2022",$1.20,$1.26,$1.17,$1.24,$0,$0
"Aug 09, 2022",$1.26,$1.27,$1.19,$1.20,$0,$0
"Aug 08, 2022",$1.23,$1.29,$1.23,$1.26,$0,$0
"Aug 07, 2022",$1.23,$1.25,$1.22,$1.23,$0,$0
"Aug 06, 2022",$1.26,$1.26,$1.23,$1.23,$0,$0
"Aug 05, 2022",$1.21,$1.26,$1.21,$1.26,$0,$0
"Aug 04, 2022",$1.17,$1.22,$1.17,$1.21,$0,$0
"Aug 03, 2022",$1.18,$1.21,$1.15,$1.17,$0,$0
"Aug 02, 2022",$1.20,$1.21,$1.15,$1.18,$0,$0
"Aug 01, 2022",$1.21,$1.22,$1.18,$1.20,$0,$0
"Jul 31, 2022",$1.22,$1.27,$1.21,$1.21,$0,$0
