Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.0003184,$0.0003229,$0.0003173,$0.0003226,"$80,138","$80,138"
"Sep 24, 2022",$0.0003154,$0.0003228,$0.0003141,$0.0003184,"$66,998","$66,998"
"Sep 23, 2022",$0.000323,$0.0003249,$0.0003114,$0.0003157,"$70,999","$70,999"
"Sep 22, 2022",$0.0003289,$0.0003314,$0.0003212,$0.000323,"$85,014","$85,014"
"Sep 21, 2022",$0.0003234,$0.0003328,$0.0003219,$0.0003289,"$75,820","$75,820"
"Sep 20, 2022",$0.0003271,$0.0003366,$0.0003225,$0.0003235,"$65,526","$65,526"
"Sep 19, 2022",$0.0003329,$0.0003439,$0.000323,$0.0003271,"$62,848","$62,848"
"Sep 18, 2022",$0.0003338,$0.0003356,$0.0003315,$0.0003329,"$82,883","$82,883"
"Sep 17, 2022",$0.0003271,$0.0003382,$0.0003262,$0.0003338,"$80,503","$80,503"
"Sep 16, 2022",$0.0003265,$0.0003311,$0.0003259,$0.000327,"$73,635","$73,635"
"Sep 15, 2022",$0.0003395,$0.0003409,$0.0003261,$0.0003265,"$64,614","$64,614"
"Sep 14, 2022",$0.0003363,$0.0003409,$0.0003355,$0.0003395,"$65,937","$65,937"
"Sep 13, 2022",$0.0003438,$0.0003442,$0.0003356,$0.0003365,"$69,621","$69,621"
"Sep 12, 2022",$0.0003465,$0.0003488,$0.0003418,$0.0003439,"$77,834","$77,834"
"Sep 11, 2022",$0.0003479,$0.000351,$0.000345,$0.0003465,"$79,713","$79,713"
"Sep 10, 2022",$0.0003491,$0.0003521,$0.0003468,$0.0003479,"$60,616","$60,616"
"Sep 09, 2022",$0.0003255,$0.0003533,$0.0003242,$0.0003491,"$75,895","$75,895"
"Sep 08, 2022",$0.0003317,$0.0003342,$0.0003235,$0.0003255,"$61,374","$61,374"
"Sep 07, 2022",$0.0003322,$0.0003332,$0.0003238,$0.0003317,"$65,534","$65,534"
"Sep 06, 2022",$0.0003327,$0.0003634,$0.0003303,$0.0003323,"$79,830","$79,830"
"Sep 05, 2022",$0.0003303,$0.0003327,$0.0003285,$0.0003327,"$71,316","$71,316"
"Sep 04, 2022",$0.0003258,$0.0003323,$0.0003254,$0.0003303,"$76,973","$76,973"
"Sep 03, 2022",$0.0003279,$0.0003295,$0.0003255,$0.0003257,"$60,115","$60,115"
"Sep 02, 2022",$0.0003332,$0.0003373,$0.0003265,$0.0003279,"$71,617","$71,617"
"Sep 01, 2022",$0.0003382,$0.0003413,$0.0003312,$0.0003332,"$77,246","$77,246"
"Aug 31, 2022",$0.0003421,$0.000345,$0.0003363,$0.0003381,"$70,147","$70,147"
"Aug 30, 2022",$0.0003476,$0.0003485,$0.0003411,$0.0003419,"$77,219","$77,219"
"Aug 29, 2022",$0.0003321,$0.0003486,$0.0003312,$0.0003478,"$79,915","$79,915"
"Aug 28, 2022",$0.000331,$0.0003348,$0.0003282,$0.0003321,"$72,434","$72,434"
"Aug 27, 2022",$0.0003493,$0.0003507,$0.0003279,$0.0003298,"$71,705","$71,705"
"Aug 26, 2022",$0.0003591,$0.0003628,$0.0003463,$0.0003493,"$84,491","$84,491"
"Aug 25, 2022",$0.0003449,$0.0003776,$0.0003442,$0.0003591,"$71,150","$71,150"
"Aug 24, 2022",$0.0003432,$0.0003485,$0.0003396,$0.000345,"$75,519","$75,519"
"Aug 23, 2022",$0.000352,$0.0003543,$0.0003405,$0.0003432,"$70,428","$70,428"
"Aug 22, 2022",$0.0003528,$0.0003548,$0.0003486,$0.0003519,"$72,918","$72,918"
"Aug 21, 2022",$0.0003474,$0.0003565,$0.0003451,$0.0003529,"$70,612","$70,612"
"Aug 20, 2022",$0.0003329,$0.0003517,$0.0003325,$0.0003474,"$70,033","$70,033"
"Aug 19, 2022",$0.0003716,$0.0003729,$0.0003257,$0.000333,"$84,481","$84,481"
"Aug 18, 2022",$0.0003599,$0.0003772,$0.0003581,$0.0003718,"$76,749","$76,749"
"Aug 17, 2022",$0.0003836,$0.0003894,$0.0003383,$0.0003599,"$146,024","$146,024"
"Aug 16, 2022",$0.0003894,$0.0003957,$0.0003797,$0.0003836,"$723,170","$723,170"
"Aug 15, 2022",$0.0003991,$0.0004144,$0.0003847,$0.0003895,"$328,292","$328,292"
"Aug 14, 2022",$0.0004914,$0.0004946,$0.0003922,$0.000399,"$435,193","$435,193"
"Aug 13, 2022",$0.0004935,$0.0005007,$0.000491,$0.0004914,"$567,328","$567,328"
"Aug 12, 2022",$0.0004938,$0.0004975,$0.0004878,$0.0004935,"$528,756","$528,756"
"Aug 11, 2022",$0.0004905,$0.000506,$0.0004897,$0.0004938,"$1,168,611","$1,168,611"
"Aug 10, 2022",$0.0004691,$0.0004928,$0.0004682,$0.0004905,"$212,528","$212,528"
"Aug 09, 2022",$0.0004671,$0.0004696,$0.000465,$0.0004691,"$309,164","$309,164"
"Aug 08, 2022",$0.0004397,$0.0004673,$0.0004392,$0.0004671,"$328,446","$328,446"
"Aug 07, 2022",$0.0004396,$0.0004432,$0.0004354,$0.0004397,"$217,710","$217,710"
"Aug 06, 2022",$0.0004379,$0.0004467,$0.0004331,$0.0004396,"$336,729","$336,729"
"Aug 05, 2022",$0.0004302,$0.0004381,$0.0004264,$0.0004379,"$219,480","$219,480"
"Aug 04, 2022",$0.0004109,$0.0004328,$0.0004089,$0.0004302,"$303,391","$303,391"
"Aug 03, 2022",$0.0004335,$0.0004361,$0.0004088,$0.0004109,"$211,694","$211,694"
"Aug 02, 2022",$0.0004478,$0.0004497,$0.0004312,$0.0004335,"$379,559","$379,559"
"Aug 01, 2022",$0.00048,$0.0004822,$0.0004461,$0.0004478,"$403,089","$403,089"
"Jul 31, 2022",$0.000517,$0.000517,$0.0004794,$0.00048,"$485,089","$485,089"
"Jul 30, 2022",$0.0004893,$0.000538,$0.0004873,$0.0005169,"$971,205","$971,205"
"Jul 29, 2022",$0.0003795,$0.0005089,$0.0003728,$0.0004893,"$949,508","$949,508"
"Jul 28, 2022",$0.000361,$0.0003797,$0.0003594,$0.0003795,"$385,378","$385,378"
"Jul 27, 2022",$0.0003529,$0.0003663,$0.000349,$0.000361,"$563,474","$563,474"
"Jul 26, 2022",$0.0003553,$0.0003584,$0.0003476,$0.0003532,"$282,564","$282,564"
"Jul 25, 2022",$0.0003662,$0.000367,$0.0003548,$0.0003554,"$184,380","$184,380"
"Jul 24, 2022",$0.0003568,$0.0003671,$0.0003561,$0.0003662,"$658,483","$658,483"
"Jul 23, 2022",$0.00037,$0.0003718,$0.0003543,$0.0003568,"$446,143","$446,143"
"Jul 22, 2022",$0.0003739,$0.0003754,$0.0003653,$0.0003699,"$465,631","$465,631"
"Jul 21, 2022",$0.0003642,$0.0003742,$0.0003628,$0.0003739,"$447,846","$447,846"
"Jul 20, 2022",$0.0003666,$0.0003681,$0.0003602,$0.0003643,"$482,759","$482,759"
"Jul 19, 2022",$0.0003668,$0.000369,$0.000356,$0.0003666,"$398,766","$398,766"
"Jul 18, 2022",$0.0003608,$0.0003686,$0.000358,$0.0003668,"$603,539","$603,539"
"Jul 17, 2022",$0.0003505,$0.0003627,$0.0003497,$0.0003608,"$777,569","$777,569"
"Jul 16, 2022",$0.0003456,$0.0003579,$0.0003424,$0.0003505,"$469,712","$469,712"
"Jul 15, 2022",$0.0003494,$0.0003525,$0.0003426,$0.0003456,"$516,463","$516,463"
"Jul 14, 2022",$0.0003443,$0.0003562,$0.0003436,$0.0003494,"$661,757","$661,757"
"Jul 13, 2022",$0.00035,$0.0003516,$0.0003414,$0.0003443,"$315,605","$315,605"
"Jul 12, 2022",$0.0003424,$0.0003538,$0.0003415,$0.00035,"$359,325","$359,325"
"Jul 11, 2022",$0.0003529,$0.0003557,$0.0003413,$0.0003424,"$183,557","$183,557"
"Jul 10, 2022",$0.0003534,$0.0003593,$0.0003517,$0.0003529,"$436,265","$436,265"
"Jul 09, 2022",$0.0003478,$0.0003576,$0.0003453,$0.0003534,"$188,957","$188,957"
"Jul 08, 2022",$0.0003563,$0.000358,$0.0003451,$0.0003478,"$211,317","$211,317"
"Jul 07, 2022",$0.0003452,$0.0003572,$0.0003397,$0.0003563,"$232,061","$232,061"
"Jul 06, 2022",$0.0003411,$0.0003473,$0.0003348,$0.0003452,"$216,047","$216,047"
"Jul 05, 2022",$0.0003376,$0.0003432,$0.0003372,$0.0003411,"$370,271","$370,271"
"Jul 04, 2022",$0.0003289,$0.0003423,$0.0003257,$0.0003376,"$678,257","$678,257"
"Jul 03, 2022",$0.0002981,$0.0003385,$0.0002981,$0.0003289,"$320,360","$320,360"
"Jul 02, 2022",$0.0002993,$0.0003041,$0.0002959,$0.0002981,"$418,952","$418,952"
"Jul 01, 2022",$0.0002959,$0.0003188,$0.000292,$0.0002993,"$470,305","$470,305"
"Jun 30, 2022",$0.0003087,$0.0003115,$0.0002922,$0.0002959,"$733,479","$733,479"
"Jun 29, 2022",$0.0003259,$0.0003261,$0.0003043,$0.0003087,"$233,808","$233,808"
"Jun 28, 2022",$0.0003334,$0.0003382,$0.000322,$0.0003259,"$264,676","$264,676"
"Jun 27, 2022",$0.0003377,$0.0003405,$0.0003331,$0.0003334,"$416,677","$416,677"
"Jun 26, 2022",$0.0003325,$0.0003408,$0.0003325,$0.0003377,"$380,868","$380,868"
"Jun 25, 2022",$0.000346,$0.000346,$0.0003322,$0.0003325,"$474,667","$474,667"
"Jun 24, 2022",$0.000342,$0.0003469,$0.0003347,$0.000346,"$349,054","$349,054"
"Jun 23, 2022",$0.0003452,$0.0003537,$0.0003365,$0.000342,"$428,953","$428,953"
"Jun 22, 2022",$0.0003462,$0.0003491,$0.0003421,$0.0003452,"$626,886","$626,886"
"Jun 21, 2022",$0.0003146,$0.0003472,$0.0003128,$0.0003462,"$919,004","$919,004"
"Jun 20, 2022",$0.0002929,$0.0003155,$0.0002837,$0.0003146,"$348,609","$348,609"
"Jun 19, 2022",$0.0002629,$0.0002953,$0.0002585,$0.0002929,"$480,435","$480,435"
"Jun 18, 2022",$0.0002748,$0.0002795,$0.0002548,$0.0002629,"$195,155","$195,155"
"Jun 17, 2022",$0.0002628,$0.0002783,$0.000261,$0.0002748,"$117,693","$117,693"
"Jun 16, 2022",$0.0002775,$0.0002831,$0.0002609,$0.0002628,"$105,620","$105,620"
"Jun 15, 2022",$0.0002818,$0.0002837,$0.0002577,$0.0002775,"$162,510","$162,510"
"Jun 14, 2022",$0.0002875,$0.0002889,$0.0002699,$0.0002818,"$152,055","$152,055"
"Jun 13, 2022",$0.0003256,$0.0003267,$0.000287,$0.0002875,"$97,385","$97,385"
"Jun 12, 2022",$0.000337,$0.0003391,$0.0003251,$0.0003256,"$83,594","$83,594"
"Jun 11, 2022",$0.0003572,$0.000358,$0.0003364,$0.000337,"$80,464","$80,464"
"Jun 10, 2022",$0.0003602,$0.0003626,$0.0003552,$0.0003572,"$298,140","$298,140"
"Jun 09, 2022",$0.0003591,$0.0003624,$0.0003583,$0.0003602,"$231,102","$231,102"
"Jun 08, 2022",$0.0003576,$0.000363,$0.0003559,$0.0003591,"$475,860","$475,860"
"Jun 07, 2022",$0.0003499,$0.000358,$0.0003359,$0.0003576,"$144,657","$144,657"
"Jun 06, 2022",$0.0003586,$0.0003623,$0.0003485,$0.00035,"$107,026","$107,026"
"Jun 05, 2022",$0.0003555,$0.0003596,$0.0003545,$0.0003586,"$63,707","$63,707"
"Jun 04, 2022",$0.0003565,$0.0003594,$0.0003537,$0.0003555,"$262,946","$262,946"
"Jun 03, 2022",$0.000368,$0.000368,$0.0003536,$0.0003565,"$345,506","$345,506"
"Jun 02, 2022",$0.0003659,$0.0003687,$0.0003641,$0.000368,"$67,067","$67,067"
"Jun 01, 2022",$0.0003759,$0.0003761,$0.0003655,$0.0003659,"$100,103","$100,103"
"May 31, 2022",$0.0003527,$0.0003786,$0.0003516,$0.0003751,"$95,559","$95,559"
"May 30, 2022",$0.0003501,$0.0003527,$0.0003467,$0.0003527,"$62,734","$62,734"
"May 29, 2022",$0.0003516,$0.0003536,$0.000348,$0.0003501,"$151,153","$151,153"
"May 28, 2022",$0.0003518,$0.0003536,$0.0003508,$0.0003516,"$184,945","$184,945"
"May 27, 2022",$0.0003749,$0.0003749,$0.0003509,$0.0003509,"$422,751","$422,751"
"May 26, 2022",$0.0003893,$0.0003958,$0.0003699,$0.0003749,"$129,739","$129,739"
"May 25, 2022",$0.0003815,$0.0004001,$0.0003812,$0.0003893,"$86,244","$86,244"
"May 24, 2022",$0.0003812,$0.0003838,$0.0003776,$0.0003815,"$397,312","$397,312"
"May 23, 2022",$0.0003874,$0.0003964,$0.000381,$0.0003812,"$299,559","$299,559"
"May 22, 2022",$0.0003708,$0.000398,$0.0003663,$0.0003874,"$401,107","$401,107"
"May 21, 2022",$0.0003901,$0.0003915,$0.0003588,$0.0003708,"$131,506","$131,506"
"May 20, 2022",$0.0004051,$0.0004089,$0.0003899,$0.0003901,"$133,791","$133,791"
"May 19, 2022",$0.0003485,$0.0004071,$0.0003405,$0.0004051,"$175,716","$175,716"
"May 18, 2022",$0.0004006,$0.0004027,$0.0003455,$0.0003483,"$157,774","$157,774"
"May 17, 2022",$0.0003513,$0.000404,$0.0003504,$0.0004006,"$78,294","$78,294"
"May 16, 2022",$0.0003528,$0.0003826,$0.0003511,$0.0003513,"$113,077","$113,077"
"May 15, 2022",$0.0003336,$0.0003583,$0.0003305,$0.0003527,"$144,542","$144,542"
"May 14, 2022",$0.0003529,$0.0003584,$0.000316,$0.0003336,"$112,029","$112,029"
"May 13, 2022",$0.0003024,$0.0003678,$0.0002923,$0.0003529,"$182,999","$182,999"
"May 12, 2022",$0.0003805,$0.0003892,$0.0002991,$0.0003019,"$214,627","$214,627"
"May 11, 2022",$0.0004462,$0.0004491,$0.0003785,$0.0003805,"$326,103","$326,103"
"May 10, 2022",$0.0004687,$0.0004716,$0.0004416,$0.0004462,"$154,944","$154,944"
"May 09, 2022",$0.0005195,$0.0005216,$0.0004649,$0.0004687,"$189,889","$189,889"
"May 08, 2022",$0.0005651,$0.0005663,$0.0005179,$0.0005195,"$149,298","$149,298"
"May 07, 2022",$0.0005619,$0.0005749,$0.0005565,$0.0005651,"$585,441","$585,441"
"May 06, 2022",$0.0005914,$0.0005951,$0.0005547,$0.0005619,"$301,705","$301,705"
"May 05, 2022",$0.0006066,$0.0006436,$0.0005842,$0.0005914,"$207,317","$207,317"
