Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.001529,$0.001529,$0.001436,$0.001441,"$2,432,591","$2,432,591"
"Sep 17, 2022",$0.001523,$0.001538,$0.001518,$0.001529,"$1,832,646","$1,832,646"
"Sep 16, 2022",$0.001494,$0.001534,$0.001456,$0.001523,"$2,431,258","$2,431,258"
"Sep 15, 2022",$0.00151,$0.001535,$0.001474,$0.001494,"$2,119,029","$2,119,029"
"Sep 14, 2022",$0.001511,$0.001527,$0.001493,$0.00151,"$1,982,090","$1,982,090"
"Sep 13, 2022",$0.001601,$0.001645,$0.001505,$0.001522,"$2,487,154","$2,487,154"
"Sep 12, 2022",$0.001642,$0.001653,$0.001592,$0.001601,"$2,168,793","$2,168,793"
"Sep 11, 2022",$0.001643,$0.001687,$0.001629,$0.001647,"$2,465,987","$2,465,987"
"Sep 10, 2022",$0.001588,$0.001703,$0.001568,$0.001643,"$4,530,104","$4,530,104"
"Sep 09, 2022",$0.001504,$0.001592,$0.001499,$0.001588,"$2,151,162","$2,151,162"
"Sep 08, 2022",$0.001497,$0.001509,$0.00147,$0.001504,"$1,886,450","$1,886,450"
"Sep 07, 2022",$0.001467,$0.001513,$0.001432,$0.001498,"$2,831,135","$2,831,135"
"Sep 06, 2022",$0.001567,$0.001594,$0.001453,$0.001467,"$2,713,662","$2,713,662"
"Sep 05, 2022",$0.001592,$0.001593,$0.001541,$0.001566,"$1,570,789","$1,570,789"
"Sep 04, 2022",$0.001549,$0.001617,$0.001542,$0.001592,"$2,333,364","$2,333,364"
"Sep 03, 2022",$0.001556,$0.001558,$0.001539,$0.001549,"$1,280,454","$1,280,454"
"Sep 02, 2022",$0.001586,$0.00159,$0.001543,$0.001556,"$1,579,773","$1,579,773"
"Sep 01, 2022",$0.001579,$0.00159,$0.001534,$0.001586,"$1,754,913","$1,754,913"
"Aug 31, 2022",$0.001565,$0.001617,$0.001561,$0.001579,"$1,759,325","$1,759,325"
