Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.000005629,$0.000005657,$0.000005311,$0.000005321,"$2,656,385","$2,656,385"
"Sep 17, 2022",$0.00000543,$0.000005631,$0.000005414,$0.000005627,"$2,931,311","$2,931,311"
"Sep 16, 2022",$0.000005439,$0.000005477,$0.000005358,$0.000005428,"$2,696,558","$2,696,558"
"Sep 15, 2022",$0.000005615,$0.000005653,$0.000005406,$0.000005431,"$4,016,124","$4,016,124"
"Sep 14, 2022",$0.000005568,$0.000005638,$0.000005491,$0.000005615,"$1,920,637","$1,920,637"
"Sep 13, 2022",$0.000006073,$0.000006082,$0.000005543,$0.00000556,"$2,228,192","$2,228,192"
"Sep 12, 2022",$0.00000608,$0.000006178,$0.000006042,$0.000006073,"$1,908,093","$1,908,093"
"Sep 11, 2022",$0.000006233,$0.000006237,$0.000006061,$0.00000608,"$1,339,321","$1,339,321"
"Sep 10, 2022",$0.00000608,$0.00000626,$0.000006077,$0.000006235,"$1,177,748","$1,177,748"
"Sep 09, 2022",$0.000005865,$0.000006144,$0.000005865,$0.000006079,"$1,312,229","$1,312,229"
"Sep 08, 2022",$0.000005828,$0.000005899,$0.00000573,$0.000005867,"$1,256,474","$1,256,474"
"Sep 07, 2022",$0.000005785,$0.000005904,$0.000005648,$0.000005828,"$2,309,182","$2,309,182"
"Sep 06, 2022",$0.000006124,$0.000006217,$0.000005768,$0.000005768,"$2,514,480","$2,514,480"
"Sep 05, 2022",$0.00000606,$0.000006124,$0.000005996,$0.000006124,"$2,796,735","$2,796,735"
"Sep 04, 2022",$0.000006078,$0.000006082,$0.000005967,$0.00000606,"$2,081,034","$2,081,034"
"Sep 03, 2022",$0.000006075,$0.000006106,$0.000006022,$0.000006075,"$79,607,097","$79,607,097"
"Sep 02, 2022",$0.000006121,$0.000006196,$0.000006032,$0.000006075,"$75,763,347","$75,763,347"
"Sep 01, 2022",$0.000006264,$0.000006312,$0.00000597,$0.00000612,"$2,303,730","$2,303,730"
"Aug 31, 2022",$0.000006263,$0.000006422,$0.000006261,$0.000006264,"$945,702","$945,702"
"Aug 30, 2022",$0.000006381,$0.000006458,$0.00000614,$0.000006261,"$1,018,662","$1,018,662"
"Aug 29, 2022",$0.000006224,$0.000006404,$0.000006147,$0.00000638,"$811,538","$811,538"
"Aug 28, 2022",$0.000006251,$0.000006353,$0.000006221,$0.000006227,"$640,838","$640,838"
"Aug 27, 2022",$0.00000627,$0.000006326,$0.00000621,$0.000006252,"$618,998","$618,998"
"Aug 26, 2022",$0.000006794,$0.000006817,$0.000006263,$0.000006274,"$1,330,511","$1,330,511"
"Aug 25, 2022",$0.000006732,$0.00000687,$0.000006707,$0.000006791,"$1,566,547","$1,566,547"
"Aug 24, 2022",$0.000006735,$0.000006833,$0.000006629,$0.000006732,"$808,228","$808,228"
"Aug 23, 2022",$0.000006668,$0.000006755,$0.000006604,$0.000006735,"$797,873","$797,873"
"Aug 22, 2022",$0.000006719,$0.000006731,$0.000006476,$0.000006668,"$1,058,664","$1,058,664"
"Aug 21, 2022",$0.000006577,$0.00000674,$0.000006519,$0.000006719,"$917,904","$917,904"
"Aug 20, 2022",$0.000006551,$0.000006681,$0.000006452,$0.000006577,"$1,599,059","$1,599,059"
"Aug 19, 2022",$0.000007629,$0.000007639,$0.000006546,$0.000006551,"$3,521,554","$3,521,554"
"Aug 18, 2022",$0.000007737,$0.000007742,$0.000007605,$0.000007629,"$1,575,054","$1,575,054"
"Aug 17, 2022",$0.000007982,$0.000008155,$0.000007709,$0.000007737,"$1,926,319","$1,926,319"
"Aug 16, 2022",$0.000008004,$0.000008029,$0.000007833,$0.000007983,"$1,147,201","$1,147,201"
"Aug 15, 2022",$0.000008035,$0.000008191,$0.00000789,$0.000008004,"$2,108,889","$2,108,889"
"Aug 14, 2022",$0.000007957,$0.000008245,$0.000007957,$0.000008035,"$2,415,325","$2,415,325"
"Aug 13, 2022",$0.000007925,$0.000008108,$0.000007925,$0.000007956,"$1,287,826","$1,287,826"
"Aug 12, 2022",$0.000007572,$0.000007925,$0.000007544,$0.000007925,"$2,269,792","$2,269,792"
"Aug 11, 2022",$0.000007393,$0.000007678,$0.000007392,$0.000007572,"$3,018,425","$3,018,425"
"Aug 10, 2022",$0.000007735,$0.000007957,$0.000007386,$0.000007393,"$5,168,737","$5,168,737"
"Aug 09, 2022",$0.000008092,$0.000008092,$0.000007667,$0.000007744,"$3,416,056","$3,416,056"
"Aug 08, 2022",$0.000008098,$0.000008364,$0.000008076,$0.000008092,"$3,117,406","$3,117,406"
"Aug 07, 2022",$0.000007961,$0.000008158,$0.000007899,$0.000008091,"$857,074","$857,074"
"Aug 06, 2022",$0.000008007,$0.000008029,$0.000007902,$0.00000796,"$800,618","$800,618"
"Aug 05, 2022",$0.000007829,$0.000008036,$0.000007787,$0.000008008,"$880,073","$880,073"
"Aug 04, 2022",$0.000007873,$0.000007948,$0.00000777,$0.000007829,"$961,771","$961,771"
"Aug 03, 2022",$0.00000821,$0.000008383,$0.000007819,$0.000007873,"$1,657,058","$1,657,058"
"Aug 02, 2022",$0.000007587,$0.000008315,$0.000007462,$0.00000821,"$2,647,487","$2,647,487"
"Aug 01, 2022",$0.000007438,$0.000007697,$0.000007405,$0.000007587,"$1,430,314","$1,430,314"
"Jul 31, 2022",$0.000007451,$0.000007612,$0.000007427,$0.000007438,"$1,276,125","$1,276,125"
"Jul 30, 2022",$0.000007459,$0.000007667,$0.000007369,$0.000007448,"$1,123,135","$1,123,135"
"Jul 29, 2022",$0.000007355,$0.000007514,$0.00000723,$0.00000746,"$1,490,041","$1,490,041"
"Jul 28, 2022",$0.000007009,$0.00000744,$0.000006954,$0.000007351,"$1,851,698","$1,851,698"
"Jul 27, 2022",$0.000006381,$0.00000701,$0.000006372,$0.00000701,"$1,528,021","$1,528,021"
"Jul 26, 2022",$0.000006537,$0.000006537,$0.0000062,$0.000006372,"$1,422,447","$1,422,447"
"Jul 25, 2022",$0.000006782,$0.000006786,$0.000006538,$0.000006538,"$1,498,878","$1,498,878"
"Jul 24, 2022",$0.000006608,$0.000006846,$0.000006595,$0.000006782,"$1,051,226","$1,051,226"
"Jul 23, 2022",$0.000006753,$0.000006863,$0.000006506,$0.00000661,"$1,309,667","$1,309,667"
"Jul 22, 2022",$0.000006832,$0.000007071,$0.000006738,$0.000006757,"$1,033,891","$1,033,891"
"Jul 21, 2022",$0.000006755,$0.000006887,$0.000006583,$0.000006832,"$1,235,900","$1,235,900"
"Jul 20, 2022",$0.000006866,$0.000007085,$0.00000672,$0.000006755,"$766,477","$766,477"
"Jul 19, 2022",$0.00000677,$0.000006979,$0.000006572,$0.000006866,"$1,842,598","$1,842,598"
"Jul 18, 2022",$0.000006374,$0.000006829,$0.000006368,$0.00000677,"$2,917,951","$2,917,951"
"Jul 17, 2022",$0.000006425,$0.00000651,$0.000006345,$0.000006374,"$1,308,106","$1,308,106"
"Jul 16, 2022",$0.000006487,$0.000006506,$0.00000622,$0.000006425,"$1,865,196","$1,865,196"
"Jul 15, 2022",$0.000006509,$0.000006652,$0.000006487,$0.000006487,"$2,298,044","$2,298,044"
"Jul 14, 2022",$0.00000623,$0.000006513,$0.000006112,$0.000006509,"$2,411,702","$2,411,702"
"Jul 13, 2022",$0.000005812,$0.00000623,$0.000005748,$0.00000623,"$3,157,016","$3,157,016"
"Jul 12, 2022",$0.000006054,$0.000006054,$0.000005799,$0.000005812,"$2,277,277","$2,277,277"
"Jul 11, 2022",$0.000006298,$0.0000063,$0.000006045,$0.000006054,"$1,283,875","$1,283,875"
"Jul 10, 2022",$0.000006495,$0.000006495,$0.000006257,$0.000006297,"$97,045","$97,045"
"Jul 09, 2022",$0.000006437,$0.000006511,$0.000006388,$0.000006495,"$1,013,617","$1,013,617"
"Jul 08, 2022",$0.000006341,$0.000006507,$0.000006303,$0.000006437,"$1,600,685","$1,600,685"
"Jul 07, 2022",$0.000006267,$0.000006351,$0.000006179,$0.000006341,"$116,608","$116,608"
"Jul 06, 2022",$0.000006138,$0.000006277,$0.000006096,$0.000006267,"$1,285,270","$1,285,270"
"Jul 05, 2022",$0.000006234,$0.000006262,$0.000005943,$0.000006138,"$1,255,485","$1,255,485"
"Jul 04, 2022",$0.000005985,$0.000006234,$0.000005884,$0.000006234,"$1,817,205","$1,817,205"
"Jul 03, 2022",$0.000005993,$0.000006006,$0.000005897,$0.000005985,"$1,103,506","$1,103,506"
"Jul 02, 2022",$0.000005952,$0.000006015,$0.000005743,$0.000005993,"$1,464,710","$1,464,710"
"Jul 01, 2022",$0.000005852,$0.000006028,$0.000005715,$0.000005952,"$2,364,911","$2,364,911"
"Jun 30, 2022",$0.000005977,$0.000005987,$0.000005645,$0.000005852,"$1,361,930","$1,361,930"
"Jun 29, 2022",$0.000006129,$0.000006161,$0.000005901,$0.000005977,"$1,525,154","$1,525,154"
"Jun 28, 2022",$0.000006449,$0.000006533,$0.000006129,$0.000006129,"$1,766,759","$1,766,759"
"Jun 27, 2022",$0.000006451,$0.000006568,$0.00000636,$0.000006449,"$1,213,484","$1,213,484"
"Jun 26, 2022",$0.000006591,$0.000006759,$0.000006451,$0.000006451,"$1,150,307","$1,150,307"
"Jun 25, 2022",$0.000006511,$0.000006608,$0.000006391,$0.000006591,"$1,415,296","$1,415,296"
"Jun 24, 2022",$0.000006153,$0.000006537,$0.000006153,$0.000006511,"$1,685,624","$1,685,624"
"Jun 23, 2022",$0.000005856,$0.000006166,$0.000005847,$0.000006153,"$1,334,892","$1,334,892"
"Jun 22, 2022",$0.000005779,$0.000005938,$0.000005611,$0.000005856,"$1,855,326","$1,855,326"
"Jun 21, 2022",$0.000005687,$0.000005934,$0.000005676,$0.000005779,"$1,573,525","$1,573,525"
"Jun 20, 2022",$0.000005695,$0.000005791,$0.000005493,$0.000005687,"$1,255,885","$1,255,885"
"Jun 19, 2022",$0.000005374,$0.000005728,$0.00000505,$0.000005695,"$1,778,864","$1,778,864"
"Jun 18, 2022",$0.000005684,$0.000005722,$0.000004955,$0.000005374,"$2,617,790","$2,617,790"
"Jun 17, 2022",$0.000005347,$0.000005724,$0.000005347,$0.000005684,"$1,157,818","$1,157,818"
"Jun 16, 2022",$0.000005808,$0.000005997,$0.000005317,$0.000005347,"$2,338,793","$2,338,793"
"Jun 15, 2022",$0.000005678,$0.000005826,$0.000005156,$0.000005808,"$2,607,940","$2,607,940"
"Jun 14, 2022",$0.000005552,$0.000005836,$0.000005248,$0.000005678,"$2,451,427","$2,451,427"
"Jun 13, 2022",$0.00000666,$0.00000666,$0.000005515,$0.000005552,"$4,724,429","$4,724,429"
"Jun 12, 2022",$0.000007119,$0.000007131,$0.000006578,$0.00000666,"$2,658,229","$2,658,229"
"Jun 11, 2022",$0.000007429,$0.00000756,$0.000006902,$0.000007119,"$2,761,623","$2,761,623"
"Jun 10, 2022",$0.00000778,$0.000007838,$0.000007376,$0.000007429,"$1,562,476","$1,562,476"
"Jun 09, 2022",$0.000007903,$0.000007934,$0.000007772,$0.00000778,"$1,497,350","$1,497,350"
"Jun 08, 2022",$0.00000797,$0.000008005,$0.000007799,$0.000007903,"$873,303","$873,303"
"Jun 07, 2022",$0.000008091,$0.000008093,$0.000007719,$0.00000797,"$1,141,784","$1,141,784"
"Jun 06, 2022",$0.000008014,$0.000008386,$0.000008012,$0.000008091,"$1,429,958","$1,429,958"
"Jun 05, 2022",$0.000008058,$0.000008061,$0.000007924,$0.000008014,"$500,233","$500,233"
"Jun 04, 2022",$0.000008047,$0.000008079,$0.000007928,$0.000008058,"$598,293","$598,293"
"Jun 03, 2022",$0.000008306,$0.000008318,$0.000007985,$0.000008047,"$517,441","$517,441"
"Jun 02, 2022",$0.000008127,$0.000008314,$0.000008086,$0.000008306,"$816,826","$816,826"
"Jun 01, 2022",$0.000008516,$0.000008616,$0.000008058,$0.000008127,"$1,324,298","$1,324,298"
"May 31, 2022",$0.000008499,$0.000008566,$0.000008345,$0.000008516,"$856,645","$856,645"
"May 30, 2022",$0.000007994,$0.000008508,$0.000007918,$0.000008499,"$1,141,138","$1,141,138"
"May 29, 2022",$0.000007893,$0.000008031,$0.000007812,$0.000007994,"$510,950","$510,950"
"May 28, 2022",$0.000007837,$0.000007939,$0.000007752,$0.000007893,"$829,457","$829,457"
"May 27, 2022",$0.000008249,$0.000008276,$0.000007755,$0.000007837,"$1,930,895","$1,930,895"
"May 26, 2022",$0.000008896,$0.00000893,$0.000008075,$0.000008249,"$2,168,397","$2,168,397"
"May 25, 2022",$0.000009133,$0.000009267,$0.000008885,$0.000008896,"$1,027,792","$1,027,792"
"May 24, 2022",$0.000009103,$0.000009453,$0.000008865,$0.000009133,"$893,244","$893,244"
"May 23, 2022",$0.000009376,$0.000009637,$0.000009089,$0.000009103,"$363,361","$363,361"
"May 22, 2022",$0.000009157,$0.000009377,$0.000009086,$0.000009376,"$776,862","$776,862"
"May 21, 2022",$0.000009175,$0.000009215,$0.000009039,$0.000009157,"$574,767","$574,767"
"May 20, 2022",$0.000009529,$0.000009571,$0.000009081,$0.000009175,"$983,607","$983,607"
"May 19, 2022",$0.00000918,$0.000009576,$0.000009125,$0.000009529,"$1,161,668","$1,161,668"
"May 18, 2022",$0.000009852,$0.000009914,$0.00000918,$0.00000918,"$1,212,201","$1,212,201"
"May 17, 2022",$0.000009774,$0.00001007,$0.000009607,$0.000009852,"$1,540,270","$1,540,270"
"May 16, 2022",$0.000009971,$0.000009976,$0.00000942,$0.000009774,"$1,511,786","$1,511,786"
"May 15, 2022",$0.000009473,$0.000009987,$0.000009345,$0.000009971,"$1,226,142","$1,226,142"
"May 14, 2022",$0.000009398,$0.000009574,$0.000009044,$0.000009473,"$1,463,070","$1,463,070"
"May 13, 2022",$0.00000893,$0.000009925,$0.000008903,$0.000009398,"$2,683,767","$2,683,767"
"May 12, 2022",$0.00001015,$0.00001039,$0.00000873,$0.00000893,"$4,876,134","$4,876,134"
"May 11, 2022",$0.00001179,$0.0000121,$0.00001005,$0.00001015,"$4,962,435","$4,962,435"
"May 10, 2022",$0.00001102,$0.00001214,$0.00001083,$0.00001179,"$3,584,271","$3,584,271"
"May 09, 2022",$0.0000139,$0.0000139,$0.00001102,$0.00001102,"$6,756,827","$6,756,827"
"May 08, 2022",$0.00001469,$0.0000147,$0.0000139,$0.0000139,"$2,254,264","$2,254,264"
"May 07, 2022",$0.00001511,$0.00001511,$0.00001462,$0.00001469,"$1,240,173","$1,240,173"
"May 06, 2022",$0.00001528,$0.00001538,$0.00001496,$0.00001511,"$1,549,987","$1,549,987"
"May 05, 2022",$0.00001649,$0.00001658,$0.00001517,$0.00001528,"$2,942,003","$2,942,003"
"May 04, 2022",$0.00001587,$0.00001654,$0.00001581,$0.00001649,"$3,024,092","$3,024,092"
"May 03, 2022",$0.00001524,$0.00001622,$0.00001524,$0.00001587,"$3,205,944","$3,205,944"
"May 02, 2022",$0.00001678,$0.00001706,$0.00001449,$0.00001524,"$6,861,957","$6,861,957"
"May 01, 2022",$0.00001949,$0.00001961,$0.00001636,$0.00001678,"$9,288,034","$9,288,034"
"Apr 30, 2022",$0.0000205,$0.00002063,$0.00001942,$0.00001949,"$2,335,869","$2,335,869"
"Apr 29, 2022",$0.00002135,$0.00002141,$0.00002042,$0.0000205,"$4,301,489","$4,301,489"
"Apr 28, 2022",$0.00002102,$0.00002136,$0.00002086,$0.00002135,"$3,637,983","$3,637,983"
"Apr 27, 2022",$0.00002055,$0.00002104,$0.00002055,$0.00002102,"$2,184,758","$2,184,758"
"Apr 26, 2022",$0.00002154,$0.00002159,$0.00002053,$0.00002055,"$2,427,741","$2,427,741"
"Apr 25, 2022",$0.0000216,$0.0000216,$0.00002105,$0.00002154,"$2,946,613","$2,946,613"
"Apr 24, 2022",$0.00002165,$0.00002187,$0.00002159,$0.0000216,"$2,271,941","$2,271,941"
"Apr 23, 2022",$0.00002157,$0.00002178,$0.00002149,$0.00002165,"$1,817,347","$1,817,347"
"Apr 22, 2022",$0.00002212,$0.00002238,$0.00002147,$0.00002157,"$3,915,201","$3,915,201"
"Apr 21, 2022",$0.00002235,$0.00002279,$0.00002207,$0.00002212,"$4,056,922","$4,056,922"
"Apr 20, 2022",$0.00002254,$0.0000228,$0.00002218,$0.00002235,"$2,014,888","$2,014,888"
