Day,Open,High,Low,Close,Volume,Market Cap
"Sep 10, 2022",$4.72,$5.23,$4.68,$4.96,"$401,270,473","$401,270,473"
"Sep 09, 2022",$4.46,$4.75,$4.46,$4.72,"$143,181,057","$143,181,057"
"Sep 08, 2022",$4.42,$4.48,$4.34,$4.46,"$89,134,133","$89,134,133"
"Sep 07, 2022",$4.28,$4.44,$4.20,$4.42,"$81,828,850","$81,828,850"
"Sep 06, 2022",$4.58,$4.69,$4.26,$4.28,"$141,626,587","$141,626,587"
"Sep 05, 2022",$4.61,$4.66,$4.47,$4.58,"$91,881,536","$91,881,536"
"Sep 04, 2022",$4.51,$4.67,$4.51,$4.61,"$99,425,699","$99,425,699"
"Sep 03, 2022",$4.50,$4.52,$4.46,$4.51,"$46,816,781","$46,816,781"
"Sep 02, 2022",$4.54,$4.59,$4.44,$4.50,"$78,165,841","$78,165,841"
"Sep 01, 2022",$4.49,$4.65,$4.39,$4.54,"$119,514,274","$119,514,274"
"Aug 31, 2022",$4.47,$4.60,$4.47,$4.49,"$89,835,153","$89,835,153"
"Aug 30, 2022",$4.59,$4.66,$4.38,$4.47,"$110,076,657","$110,076,657"
"Aug 29, 2022",$4.36,$4.60,$4.33,$4.59,"$113,462,913","$113,462,913"
"Aug 28, 2022",$4.53,$4.57,$4.36,$4.36,"$82,883,625","$82,883,625"
"Aug 27, 2022",$4.55,$4.59,$4.45,$4.53,"$102,862,442","$102,862,442"
"Aug 26, 2022",$5.10,$5.10,$4.52,$4.55,"$192,487,447","$192,487,447"
"Aug 25, 2022",$5.06,$5.14,$5.03,$5.10,"$124,088,224","$124,088,224"
"Aug 24, 2022",$5.12,$5.27,$4.98,$5.06,"$239,490,003","$239,490,003"
"Aug 23, 2022",$4.82,$5.12,$4.65,$5.12,"$238,009,916","$238,009,916"
"Aug 22, 2022",$4.94,$4.94,$4.62,$4.82,"$139,332,973","$139,332,973"
"Aug 21, 2022",$4.85,$4.98,$4.79,$4.94,"$121,275,124","$121,275,124"
"Aug 20, 2022",$4.89,$5.04,$4.73,$4.85,"$147,108,575","$147,108,575"
"Aug 19, 2022",$5.39,$5.39,$4.85,$4.89,"$253,407,868","$253,407,868"
"Aug 18, 2022",$5.60,$5.75,$5.37,$5.39,"$150,791,983","$150,791,983"
"Aug 17, 2022",$5.87,$5.99,$5.57,$5.60,"$193,178,875","$193,178,875"
"Aug 16, 2022",$5.95,$6.00,$5.83,$5.87,"$155,836,415","$155,836,415"
"Aug 15, 2022",$6.07,$6.29,$5.87,$5.96,"$254,569,087","$254,569,087"
"Aug 14, 2022",$6.09,$6.38,$5.98,$6.07,"$318,326,902","$318,326,902"
"Aug 13, 2022",$6.14,$6.20,$6.08,$6.09,"$169,916,658","$169,916,658"
"Aug 12, 2022",$6.08,$6.16,$5.91,$6.14,"$176,083,911","$176,083,911"
"Aug 11, 2022",$6.10,$6.21,$6.03,$6.08,"$261,001,570","$261,001,570"
"Aug 10, 2022",$5.81,$6.16,$5.68,$6.09,"$262,242,034","$262,242,034"
"Aug 09, 2022",$6.13,$6.16,$5.72,$5.81,"$244,136,276","$244,136,276"
"Aug 08, 2022",$6.05,$6.36,$6.05,$6.13,"$292,039,069","$292,039,069"
"Aug 07, 2022",$6.09,$6.15,$5.93,$6.05,"$157,632,812","$157,632,812"
"Aug 06, 2022",$6.23,$6.30,$6.08,$6.09,"$224,129,067","$224,129,067"
"Aug 05, 2022",$5.87,$6.60,$5.83,$6.23,"$697,641,103","$697,641,103"
"Aug 04, 2022",$5.64,$5.93,$5.61,$5.87,"$280,218,229","$280,218,229"
"Aug 03, 2022",$5.74,$5.83,$5.56,$5.64,"$201,123,746","$201,123,746"
"Aug 02, 2022",$6.14,$6.31,$5.63,$5.73,"$405,746,394","$405,746,394"
"Aug 01, 2022",$5.69,$6.39,$5.65,$6.14,"$839,605,384","$839,605,384"
"Jul 31, 2022",$5.63,$5.96,$5.61,$5.69,"$349,023,721","$349,023,721"
"Jul 30, 2022",$5.64,$6.03,$5.55,$5.63,"$345,846,977","$345,846,977"
"Jul 29, 2022",$5.72,$5.90,$5.50,$5.64,"$344,871,887","$344,871,887"
"Jul 28, 2022",$5.39,$5.78,$5.33,$5.72,"$443,185,427","$443,185,427"
"Jul 27, 2022",$4.99,$5.39,$4.90,$5.39,"$161,561,036","$161,561,036"
"Jul 26, 2022",$4.98,$4.99,$4.83,$4.99,"$131,925,951","$131,925,951"
"Jul 25, 2022",$5.48,$5.48,$4.98,$4.98,"$165,956,946","$165,956,946"
"Jul 24, 2022",$5.54,$5.59,$5.45,$5.48,"$128,600,120","$128,600,120"
"Jul 23, 2022",$5.52,$5.62,$5.36,$5.54,"$180,717,476","$180,717,476"
