Day,Open,High,Low,Close,Volume,Market Cap
"Sep 16, 2022",$0.1418,$0.1461,$0.1408,$0.1458,"$13,329,735","$13,329,735"
"Sep 15, 2022",$0.1487,$0.1487,$0.1413,$0.1417,"$15,525,668","$15,525,668"
"Sep 14, 2022",$0.1478,$0.1509,$0.144,$0.1487,"$16,388,247","$16,388,247"
"Sep 13, 2022",$0.166,$0.1719,$0.1471,$0.1492,"$34,445,042","$34,445,042"
"Sep 12, 2022",$0.1644,$0.1691,$0.1599,$0.166,"$19,557,092","$19,557,092"
"Sep 11, 2022",$0.1634,$0.1674,$0.1612,$0.1644,"$16,207,325","$16,207,325"
"Sep 10, 2022",$0.1626,$0.167,$0.1617,$0.1635,"$15,207,813","$15,207,813"
"Sep 09, 2022",$0.1531,$0.1669,$0.1531,$0.1627,"$19,336,020","$19,336,020"
"Sep 08, 2022",$0.1517,$0.1546,$0.1489,$0.1531,"$20,699,296","$20,699,296"
"Sep 07, 2022",$0.1459,$0.1535,$0.1445,$0.1517,"$11,158,838","$11,158,838"
"Sep 06, 2022",$0.159,$0.1632,$0.1449,$0.1459,"$22,955,395","$22,955,395"
"Sep 05, 2022",$0.1563,$0.1593,$0.1513,$0.159,"$11,859,320","$11,859,320"
"Sep 04, 2022",$0.1521,$0.1563,$0.1507,$0.1563,"$9,213,128","$9,213,128"
"Sep 03, 2022",$0.1504,$0.1538,$0.1492,$0.1521,"$9,494,099","$9,494,099"
"Sep 02, 2022",$0.1534,$0.1549,$0.1476,$0.1504,"$15,198,535","$15,198,535"
"Sep 01, 2022",$0.15,$0.1534,$0.1458,$0.1534,"$12,596,997","$12,596,997"
"Aug 31, 2022",$0.1497,$0.158,$0.1494,$0.15,"$15,482,051","$15,482,051"
"Aug 30, 2022",$0.155,$0.1576,$0.1437,$0.1497,"$18,236,828","$18,236,828"
"Aug 29, 2022",$0.1385,$0.1558,$0.1381,$0.155,"$18,494,063","$18,494,063"
"Aug 28, 2022",$0.1485,$0.1497,$0.1384,$0.1385,"$13,990,345","$13,990,345"
"Aug 27, 2022",$0.1493,$0.1527,$0.1468,$0.1485,"$17,374,584","$17,374,584"
"Aug 26, 2022",$0.1724,$0.1724,$0.1485,$0.1493,"$25,755,483","$25,755,483"
"Aug 25, 2022",$0.1699,$0.177,$0.1697,$0.1724,"$15,083,365","$15,083,365"
"Aug 24, 2022",$0.1701,$0.1754,$0.1656,$0.1699,"$17,429,609","$17,429,609"
"Aug 23, 2022",$0.1674,$0.1718,$0.1618,$0.1701,"$19,726,320","$19,726,320"
"Aug 22, 2022",$0.1717,$0.1717,$0.1603,$0.1674,"$18,374,954","$18,374,954"
"Aug 21, 2022",$0.1618,$0.1733,$0.1618,$0.1716,"$23,057,909","$23,057,909"
"Aug 20, 2022",$0.1704,$0.1728,$0.1569,$0.1619,"$22,562,627","$22,562,627"
"Aug 19, 2022",$0.1796,$0.1809,$0.1655,$0.1703,"$34,376,075","$34,376,075"
"Aug 18, 2022",$0.196,$0.202,$0.1782,$0.1796,"$24,162,081","$24,162,081"
"Aug 17, 2022",$0.2121,$0.2201,$0.1944,$0.1959,"$26,581,372","$26,581,372"
"Aug 16, 2022",$0.2214,$0.2229,$0.2111,$0.2122,"$28,289,482","$28,289,482"
"Aug 15, 2022",$0.2206,$0.2291,$0.2156,$0.2214,"$25,543,398","$25,543,398"
"Aug 14, 2022",$0.2343,$0.2419,$0.2185,$0.2205,"$27,361,522","$27,361,522"
"Aug 13, 2022",$0.2408,$0.245,$0.234,$0.2343,"$23,552,028","$23,552,028"
"Aug 12, 2022",$0.2389,$0.2436,$0.2323,$0.2409,"$37,693,730","$37,693,730"
"Aug 11, 2022",$0.2484,$0.2596,$0.2384,$0.239,"$55,599,551","$55,599,551"
"Aug 10, 2022",$0.2352,$0.252,$0.2299,$0.2484,"$42,368,103","$42,368,103"
"Aug 09, 2022",$0.2541,$0.2715,$0.2308,$0.2352,"$46,510,031","$46,510,031"
"Aug 08, 2022",$0.2511,$0.2616,$0.2487,$0.254,"$33,458,554","$33,458,554"
"Aug 07, 2022",$0.2579,$0.2624,$0.2501,$0.2511,"$40,207,218","$40,207,218"
"Aug 06, 2022",$0.2313,$0.2644,$0.229,$0.2579,"$64,979,584","$64,979,584"
"Aug 05, 2022",$0.2082,$0.2314,$0.2078,$0.2313,"$37,210,940","$37,210,940"
"Aug 04, 2022",$0.2046,$0.214,$0.2026,$0.2082,"$26,558,090","$26,558,090"
"Aug 03, 2022",$0.2028,$0.215,$0.1961,$0.2046,"$29,273,127","$29,273,127"
"Aug 02, 2022",$0.2133,$0.2161,$0.1972,$0.2029,"$32,267,037","$32,267,037"
"Aug 01, 2022",$0.2187,$0.2274,$0.2085,$0.2133,"$29,971,848","$29,971,848"
"Jul 31, 2022",$0.2226,$0.2353,$0.2188,$0.2188,"$74,596,000","$74,596,000"
"Jul 30, 2022",$0.1938,$0.2498,$0.1917,$0.2226,"$97,973,590","$97,973,590"
"Jul 29, 2022",$0.2003,$0.2086,$0.1908,$0.1937,"$36,313,838","$36,313,838"
"Jul 28, 2022",$0.1879,$0.2041,$0.1835,$0.2003,"$32,694,881","$32,694,881"
"Jul 27, 2022",$0.1725,$0.1879,$0.1707,$0.1879,"$24,384,268","$24,384,268"
"Jul 26, 2022",$0.1711,$0.1734,$0.1629,$0.1725,"$16,257,494","$16,257,494"
"Jul 25, 2022",$0.1879,$0.1888,$0.1711,$0.1711,"$15,736,219","$15,736,219"
"Jul 24, 2022",$0.1793,$0.195,$0.1793,$0.1879,"$19,208,073","$19,208,073"
"Jul 23, 2022",$0.1842,$0.1912,$0.1731,$0.1793,"$14,562,635","$14,562,635"
"Jul 22, 2022",$0.1927,$0.2021,$0.1828,$0.1842,"$24,510,872","$24,510,872"
"Jul 21, 2022",$0.1892,$0.1945,$0.1832,$0.1926,"$20,672,282","$20,672,282"
"Jul 20, 2022",$0.2083,$0.2148,$0.1878,$0.1892,"$35,805,162","$35,805,162"
"Jul 19, 2022",$0.197,$0.2175,$0.1904,$0.2083,"$40,834,390","$40,834,390"
"Jul 18, 2022",$0.1789,$0.1983,$0.1789,$0.1971,"$35,178,216","$35,178,216"
"Jul 17, 2022",$0.1859,$0.1904,$0.1772,$0.1788,"$23,617,270","$23,617,270"
"Jul 16, 2022",$0.1786,$0.1905,$0.1714,$0.1859,"$28,491,465","$28,491,465"
"Jul 15, 2022",$0.1722,$0.1839,$0.17,$0.1786,"$30,602,311","$30,602,311"
"Jul 14, 2022",$0.1663,$0.1754,$0.1599,$0.1722,"$24,249,953","$24,249,953"
"Jul 13, 2022",$0.156,$0.1666,$0.1512,$0.1663,"$27,968,882","$27,968,882"
"Jul 12, 2022",$0.1597,$0.1649,$0.1544,$0.1562,"$24,425,278","$24,425,278"
"Jul 11, 2022",$0.1783,$0.1783,$0.157,$0.1597,"$27,453,727","$27,453,727"
"Jul 10, 2022",$0.192,$0.1957,$0.1742,$0.1783,"$26,086,562","$26,086,562"
"Jul 09, 2022",$0.1823,$0.1931,$0.1778,$0.1921,"$24,051,745","$24,051,745"
"Jul 08, 2022",$0.1906,$0.1958,$0.1809,$0.1822,"$30,690,949","$30,690,949"
"Jul 07, 2022",$0.1876,$0.1939,$0.1813,$0.1907,"$27,968,990","$27,968,990"
"Jul 06, 2022",$0.1806,$0.19,$0.178,$0.1876,"$33,426,978","$33,426,978"
"Jul 05, 2022",$0.1799,$0.187,$0.1634,$0.1803,"$43,746,244","$43,746,244"
"Jul 04, 2022",$0.1594,$0.1802,$0.1551,$0.18,"$25,776,913","$25,776,913"
"Jul 03, 2022",$0.156,$0.1604,$0.1505,$0.1594,"$21,792,335","$21,792,335"
"Jul 02, 2022",$0.1524,$0.1594,$0.1485,$0.156,"$19,646,441","$19,646,441"
"Jul 01, 2022",$0.1669,$0.1726,$0.152,$0.1521,"$28,239,225","$28,239,225"
"Jun 30, 2022",$0.1722,$0.1749,$0.1555,$0.1666,"$33,849,126","$33,849,126"
"Jun 29, 2022",$0.185,$0.19,$0.1709,$0.1722,"$27,009,462","$27,009,462"
"Jun 28, 2022",$0.1908,$0.1989,$0.1828,$0.1849,"$28,458,376","$28,458,376"
