Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$15.02,$16.48,$14.54,$15.68,"$5,742,971","$5,742,971"
"Sep 18, 2022",$16.08,$16.09,$14.99,$15.01,"$1,983,593","$1,983,593"
"Sep 17, 2022",$15.43,$16.10,$15.43,$16.09,"$1,739,195","$1,739,195"
"Sep 16, 2022",$15.57,$15.69,$15.24,$15.43,"$1,664,074","$1,664,074"
"Sep 15, 2022",$16.27,$16.36,$15.47,$15.57,"$2,065,211","$2,065,211"
"Sep 14, 2022",$15.85,$16.66,$15.83,$16.28,"$3,481,728","$3,481,728"
"Sep 13, 2022",$17.10,$17.15,$15.83,$15.92,"$2,945,050","$2,945,050"
"Sep 12, 2022",$17.36,$17.41,$16.80,$17.10,"$4,047,802","$4,047,802"
"Sep 11, 2022",$17.02,$17.61,$16.79,$17.39,"$4,259,414","$4,259,414"
"Sep 10, 2022",$16.98,$17.32,$16.74,$17.02,"$3,404,814","$3,404,814"
"Sep 09, 2022",$16.14,$17.27,$16.14,$16.98,"$5,828,311","$5,828,311"
"Sep 08, 2022",$15.88,$16.52,$15.74,$16.14,"$4,860,992","$4,860,992"
"Sep 07, 2022",$15.50,$16.02,$15.05,$15.87,"$3,763,012","$3,763,012"
"Sep 06, 2022",$16.20,$16.41,$15.38,$15.50,"$3,342,472","$3,342,472"
"Sep 05, 2022",$16.02,$16.24,$15.79,$16.20,"$2,075,093","$2,075,093"
"Sep 04, 2022",$15.82,$16.15,$15.69,$16.01,"$2,369,028","$2,369,028"
"Sep 03, 2022",$16.29,$16.42,$15.65,$15.83,"$3,096,569","$3,096,569"
"Sep 02, 2022",$16.00,$16.32,$15.66,$16.29,"$4,474,093","$4,474,093"
"Sep 01, 2022",$15.40,$17.39,$15.35,$16.00,"$11,893,543","$11,893,543"
"Aug 31, 2022",$15.76,$16.25,$15.38,$15.39,"$5,400,665","$5,400,665"
"Aug 30, 2022",$15.53,$16.56,$15.26,$15.76,"$8,187,834","$8,187,834"
"Aug 29, 2022",$14.93,$15.53,$14.91,$15.53,"$2,821,071","$2,821,071"
"Aug 28, 2022",$15.22,$15.67,$14.92,$14.92,"$2,732,870","$2,732,870"
"Aug 27, 2022",$15.43,$15.97,$14.96,$15.23,"$3,963,803","$3,963,803"
"Aug 26, 2022",$17.27,$17.37,$15.42,$15.52,"$4,693,951","$4,693,951"
"Aug 25, 2022",$17.43,$17.57,$17.15,$17.26,"$4,683,960","$4,683,960"
"Aug 24, 2022",$17.79,$18.21,$16.86,$17.43,"$10,506,402","$10,506,402"
"Aug 23, 2022",$22.27,$24.42,$16.86,$17.80,"$25,194,126","$25,194,126"
"Aug 22, 2022",$24.55,$25.32,$21.54,$22.27,"$23,696,023","$23,696,023"
"Aug 21, 2022",$16.78,$34.21,$16.59,$24.53,"$92,189,779","$92,189,779"
"Aug 20, 2022",$16.54,$17.37,$16.33,$16.79,"$1,568,873","$1,568,873"
"Aug 19, 2022",$17.86,$18.04,$16.47,$16.55,"$3,202,398","$3,202,398"
"Aug 18, 2022",$17.96,$18.08,$17.50,$17.86,"$2,697,964","$2,697,964"
"Aug 17, 2022",$17.69,$18.73,$17.68,$17.95,"$5,917,761","$5,917,761"
"Aug 16, 2022",$18.21,$18.29,$17.33,$17.69,"$2,558,250","$2,558,250"
"Aug 15, 2022",$18.38,$18.79,$18.11,$18.22,"$1,398,915","$1,398,915"
"Aug 14, 2022",$18.93,$19.14,$18.37,$18.38,"$1,559,031","$1,559,031"
"Aug 13, 2022",$19.20,$19.20,$18.80,$18.93,"$2,116,230","$2,116,230"
"Aug 12, 2022",$18.86,$20.94,$18.52,$19.19,"$6,419,947","$6,419,947"
"Aug 11, 2022",$18.51,$19.12,$18.46,$18.87,"$3,420,618","$3,420,618"
"Aug 10, 2022",$18.27,$18.56,$17.19,$18.54,"$3,186,766","$3,186,766"
"Aug 09, 2022",$19.13,$19.18,$17.70,$18.27,"$2,511,715","$2,511,715"
"Aug 08, 2022",$19.23,$19.49,$19.12,$19.16,"$5,777,203","$5,777,203"
"Aug 07, 2022",$19.02,$19.36,$18.70,$19.23,"$9,307,083","$9,307,083"
"Aug 06, 2022",$19.22,$20.00,$19.02,$19.02,"$10,868,767","$10,868,767"
"Aug 05, 2022",$18.42,$19.34,$18.40,$19.21,"$8,768,407","$8,768,407"
"Aug 04, 2022",$18.65,$18.90,$17.96,$18.42,"$3,486,030","$3,486,030"
"Aug 03, 2022",$18.35,$19.33,$18.02,$18.65,"$4,256,889","$4,256,889"
"Aug 02, 2022",$18.66,$18.92,$17.81,$18.35,"$4,958,595","$4,958,595"
"Aug 01, 2022",$20.59,$21.17,$18.03,$18.67,"$7,854,726","$7,854,726"
"Jul 31, 2022",$17.65,$23.62,$17.64,$20.60,"$37,323,001","$37,323,001"
"Jul 30, 2022",$17.73,$18.47,$17.56,$17.65,"$6,417,097","$6,417,097"
"Jul 29, 2022",$17.26,$20.73,$16.96,$17.73,"$23,571,268","$23,571,268"
"Jul 28, 2022",$15.39,$23.49,$15.22,$17.26,"$50,376,934","$50,376,934"
"Jul 27, 2022",$14.30,$15.39,$14.16,$15.39,"$2,093,043","$2,093,043"
"Jul 26, 2022",$14.47,$14.47,$13.83,$14.29,"$1,686,645","$1,686,645"
"Jul 25, 2022",$14.92,$15.52,$14.44,$14.47,"$3,333,347","$3,333,347"
"Jul 24, 2022",$14.65,$15.28,$14.63,$14.92,"$1,617,992","$1,617,992"
"Jul 23, 2022",$14.98,$15.38,$14.34,$14.65,"$1,881,170","$1,881,170"
"Jul 22, 2022",$15.48,$15.68,$14.80,$14.99,"$2,369,267","$2,369,267"
"Jul 21, 2022",$14.53,$15.54,$14.09,$15.48,"$2,793,652","$2,793,652"
"Jul 20, 2022",$16.30,$16.67,$14.26,$14.53,"$4,739,555","$4,739,555"
"Jul 19, 2022",$16.35,$16.76,$15.80,$16.30,"$3,393,539","$3,393,539"
"Jul 18, 2022",$15.82,$16.65,$15.67,$16.35,"$3,634,385","$3,634,385"
"Jul 17, 2022",$15.92,$16.23,$15.52,$15.83,"$2,760,275","$2,760,275"
"Jul 16, 2022",$15.58,$16.28,$15.10,$15.92,"$5,477,377","$5,477,377"
"Jul 15, 2022",$15.53,$18.18,$15.01,$15.58,"$13,221,067","$13,221,067"
"Jul 14, 2022",$14.79,$15.53,$14.29,$15.53,"$4,051,807","$4,051,807"
"Jul 13, 2022",$13.84,$15.56,$13.79,$14.79,"$4,993,308","$4,993,308"
"Jul 12, 2022",$15.15,$15.25,$13.83,$13.84,"$3,929,274","$3,929,274"
"Jul 11, 2022",$15.49,$16.22,$15.07,$15.16,"$5,300,994","$5,300,994"
"Jul 10, 2022",$18.50,$19.57,$15.17,$15.49,"$10,737,284","$10,737,284"
"Jul 09, 2022",$17.83,$19.05,$17.49,$18.49,"$3,632,104","$3,632,104"
"Jul 08, 2022",$19.99,$20.22,$17.78,$17.87,"$8,225,423","$8,225,423"
"Jul 07, 2022",$14.14,$22.42,$14.11,$19.98,"$41,282,695","$41,282,695"
"Jul 06, 2022",$13.96,$14.39,$13.79,$14.13,"$2,769,807","$2,769,807"
"Jul 05, 2022",$14.61,$14.95,$13.71,$13.96,"$3,088,709","$3,088,709"
"Jul 04, 2022",$15.74,$16.03,$14.47,$14.61,"$8,069,438","$8,069,438"
"Jul 03, 2022",$11.79,$20.69,$11.78,$15.72,"$46,351,486","$46,351,486"
"Jul 02, 2022",$11.47,$11.80,$10.96,$11.79,"$1,605,433","$1,605,433"
"Jul 01, 2022",$11.74,$11.99,$11.13,$11.47,"$2,211,541","$2,211,541"
"Jun 30, 2022",$12.00,$12.13,$10.93,$11.74,"$2,397,140","$2,397,140"
"Jun 29, 2022",$11.54,$14.40,$11.41,$12.01,"$4,654,285","$4,654,285"
"Jun 28, 2022",$12.52,$12.81,$11.54,$11.54,"$1,999,933","$1,999,933"
"Jun 27, 2022",$13.83,$14.28,$12.45,$12.52,"$3,435,989","$3,435,989"
"Jun 26, 2022",$16.59,$16.61,$13.67,$13.82,"$4,717,567","$4,717,567"
"Jun 25, 2022",$14.93,$19.76,$14.72,$16.59,"$29,597,794","$29,597,794"
"Jun 24, 2022",$9.92,$21.14,$9.91,$14.94,"$32,408,232","$32,408,232"
"Jun 23, 2022",$8.97,$9.93,$8.96,$9.92,"$1,230,683","$1,230,683"
"Jun 22, 2022",$9.62,$9.62,$8.93,$8.97,"$1,096,228","$1,096,228"
"Jun 21, 2022",$9.67,$10.08,$9.57,$9.62,"$1,012,088","$1,012,088"
"Jun 20, 2022",$9.59,$10.11,$9.24,$9.67,"$1,982,886","$1,982,886"
"Jun 19, 2022",$8.60,$9.64,$8.23,$9.60,"$1,785,589","$1,785,589"
"Jun 18, 2022",$10.06,$10.25,$8.37,$8.61,"$3,200,811","$3,200,811"
"Jun 17, 2022",$9.05,$10.28,$9.04,$10.05,"$2,714,445","$2,714,445"
"Jun 16, 2022",$10.80,$10.92,$8.98,$9.05,"$2,156,507","$2,156,507"
"Jun 15, 2022",$11.78,$11.87,$9.29,$10.80,"$3,707,170","$3,707,170"
"Jun 14, 2022",$11.92,$12.32,$11.29,$11.78,"$2,182,767","$2,182,767"
"Jun 13, 2022",$13.90,$13.90,$11.85,$11.92,"$2,217,465","$2,217,465"
"Jun 12, 2022",$14.96,$15.10,$13.91,$13.91,"$1,707,966","$1,707,966"
"Jun 11, 2022",$16.37,$16.53,$14.81,$14.97,"$1,466,617","$1,466,617"
"Jun 10, 2022",$17.73,$18.04,$16.36,$16.36,"$1,677,553","$1,677,553"
"Jun 09, 2022",$18.03,$18.05,$17.63,$17.73,"$1,987,464","$1,987,464"
"Jun 08, 2022",$18.43,$18.96,$18.03,$18.03,"$2,725,792","$2,725,792"
"Jun 07, 2022",$18.30,$19.36,$17.20,$18.43,"$2,519,930","$2,519,930"
"Jun 06, 2022",$17.64,$18.56,$17.62,$18.30,"$1,574,787","$1,574,787"
"Jun 05, 2022",$17.33,$17.87,$17.24,$17.63,"$1,130,981","$1,130,981"
"Jun 04, 2022",$17.04,$17.38,$16.84,$17.33,"$1,196,645","$1,196,645"
"Jun 03, 2022",$17.75,$17.77,$16.72,$17.04,"$1,487,205","$1,487,205"
"Jun 02, 2022",$17.46,$17.80,$17.20,$17.75,"$1,919,526","$1,919,526"
"Jun 01, 2022",$19.60,$19.60,$17.13,$17.46,"$2,766,283","$2,766,283"
"May 31, 2022",$19.80,$20.33,$18.81,$19.60,"$2,601,780","$2,601,780"
"May 30, 2022",$18.61,$19.84,$18.51,$19.80,"$3,027,337","$3,027,337"
"May 29, 2022",$18.12,$18.61,$17.77,$18.61,"$1,594,062","$1,594,062"
"May 28, 2022",$17.22,$18.19,$16.74,$18.12,"$1,733,402","$1,733,402"
"May 27, 2022",$17.42,$17.62,$16.50,$16.84,"$2,182,477","$2,182,477"
"May 26, 2022",$18.76,$18.95,$17.01,$17.44,"$1,729,985","$1,729,985"
"May 25, 2022",$18.85,$19.18,$18.70,$18.77,"$1,363,058","$1,363,058"
"May 24, 2022",$18.30,$18.92,$17.81,$18.85,"$1,539,014","$1,539,014"
