Day,Open,High,Low,Close,Volume,Market Cap
"Sep 17, 2022",$0.0611,$0.06218,$0.0611,$0.06216,"$360,818","$360,818"
"Sep 16, 2022",$0.0612,$0.06157,$0.06078,$0.0611,"$629,183","$629,183"
"Sep 15, 2022",$0.06147,$0.06187,$0.06079,$0.0612,"$1,204,072","$1,204,072"
"Sep 14, 2022",$0.06089,$0.06154,$0.06079,$0.06147,"$497,087","$497,087"
"Sep 13, 2022",$0.06373,$0.06378,$0.06079,$0.06093,"$934,682","$934,682"
"Sep 12, 2022",$0.06395,$0.06455,$0.06333,$0.06373,"$1,031,624","$1,031,624"
"Sep 11, 2022",$0.06451,$0.06476,$0.06372,$0.06394,"$539,293","$539,293"
"Sep 10, 2022",$0.06324,$0.06451,$0.06322,$0.06451,"$616,305","$616,305"
"Sep 09, 2022",$0.06103,$0.06348,$0.06102,$0.06324,"$907,963","$907,963"
"Sep 08, 2022",$0.06172,$0.06172,$0.06027,$0.06103,"$997,075","$997,075"
"Sep 07, 2022",$0.06081,$0.06172,$0.06027,$0.06172,"$731,398","$731,398"
"Sep 06, 2022",$0.0629,$0.06384,$0.0607,$0.06081,"$1,205,070","$1,205,070"
"Sep 05, 2022",$0.06337,$0.06344,$0.06267,$0.0629,"$351,392","$351,392"
"Sep 04, 2022",$0.06302,$0.06346,$0.06271,$0.06337,"$402,198","$402,198"
"Sep 03, 2022",$0.06254,$0.06302,$0.06248,$0.06302,"$300,353","$300,353"
"Sep 02, 2022",$0.06308,$0.0634,$0.06253,$0.06254,"$491,997","$491,997"
"Sep 01, 2022",$0.06351,$0.06351,$0.06232,$0.06308,"$784,796","$784,796"
"Aug 31, 2022",$0.0648,$0.06548,$0.06335,$0.0635,"$896,022","$896,022"
"Aug 30, 2022",$0.06323,$0.06634,$0.06308,$0.0648,"$2,574,695","$2,574,695"
"Aug 29, 2022",$0.06166,$0.06323,$0.06118,$0.06323,"$867,881","$867,881"
"Aug 28, 2022",$0.0628,$0.06295,$0.06165,$0.06165,"$389,914","$389,914"
"Aug 27, 2022",$0.06168,$0.0628,$0.06136,$0.0628,"$866,551","$866,551"
"Aug 26, 2022",$0.06538,$0.06543,$0.06168,$0.06168,"$1,472,829","$1,472,829"
"Aug 25, 2022",$0.06496,$0.06555,$0.06493,$0.06538,"$396,782","$396,782"
"Aug 24, 2022",$0.06622,$0.06622,$0.06496,$0.06496,"$612,528","$612,528"
"Aug 23, 2022",$0.06535,$0.06658,$0.06509,$0.06622,"$1,156,793","$1,156,793"
"Aug 22, 2022",$0.06603,$0.06603,$0.06442,$0.06535,"$1,286,309","$1,286,309"
"Aug 21, 2022",$0.06561,$0.06615,$0.06481,$0.06603,"$831,926","$831,926"
"Aug 20, 2022",$0.06417,$0.06561,$0.06417,$0.06561,"$738,789","$738,789"
