Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$1.97,$2.02,$1.91,$1.91,"$2,398,299","$2,398,299"
"Sep 17, 2022",$1.88,$1.97,$1.88,$1.97,"$3,040,074","$3,040,074"
"Sep 16, 2022",$1.85,$1.96,$1.83,$1.88,"$2,926,907","$2,926,907"
"Sep 15, 2022",$1.97,$2.02,$1.85,$1.85,"$3,197,339","$3,197,339"
"Sep 14, 2022",$1.84,$1.97,$1.83,$1.97,"$2,828,184","$2,828,184"
"Sep 13, 2022",$2.08,$2.10,$1.83,$1.84,"$3,448,638","$3,448,638"
"Sep 12, 2022",$2.17,$2.28,$2.04,$2.08,"$4,004,265","$4,004,265"
"Sep 11, 2022",$2.09,$2.42,$2.08,$2.17,"$4,618,866","$4,618,866"
"Sep 10, 2022",$2.32,$2.34,$2.06,$2.09,"$4,922,962","$4,922,962"
"Sep 09, 2022",$1.82,$2.35,$1.82,$2.32,"$9,468,971","$9,468,971"
"Sep 08, 2022",$1.80,$1.85,$1.75,$1.82,"$2,643,485","$2,643,485"
"Sep 07, 2022",$1.64,$1.80,$1.56,$1.80,"$3,260,430","$3,260,430"
"Sep 06, 2022",$1.66,$1.73,$1.63,$1.64,"$3,598,939","$3,598,939"
"Sep 05, 2022",$1.50,$1.66,$1.50,$1.66,"$2,931,294","$2,931,294"
"Sep 04, 2022",$1.50,$1.51,$1.49,$1.50,"$1,685,628","$1,685,628"
"Sep 03, 2022",$1.49,$1.51,$1.49,$1.50,"$2,322,779","$2,322,779"
"Sep 02, 2022",$1.48,$1.53,$1.47,$1.49,"$1,999,706","$1,999,706"
"Sep 01, 2022",$1.50,$1.51,$1.46,$1.48,"$2,107,387","$2,107,387"
"Aug 31, 2022",$1.49,$1.52,$1.49,$1.50,"$1,912,227","$1,912,227"
"Aug 30, 2022",$1.53,$1.54,$1.48,$1.49,"$1,728,139","$1,728,139"
"Aug 29, 2022",$1.50,$1.54,$1.47,$1.53,"$1,834,050","$1,834,050"
"Aug 28, 2022",$1.57,$1.61,$1.50,$1.51,"$2,012,082","$2,012,082"
"Aug 27, 2022",$1.56,$1.58,$1.55,$1.57,"$1,682,220","$1,682,220"
"Aug 26, 2022",$1.69,$1.69,$1.56,$1.56,"$1,800,464","$1,800,464"
"Aug 25, 2022",$1.74,$1.76,$1.69,$1.69,"$2,332,725","$2,332,725"
"Aug 24, 2022",$1.76,$1.79,$1.71,$1.74,"$2,644,907","$2,644,907"
"Aug 23, 2022",$1.77,$1.82,$1.72,$1.76,"$2,489,455","$2,489,455"
"Aug 22, 2022",$1.84,$1.86,$1.74,$1.77,"$2,767,406","$2,767,406"
"Aug 21, 2022",$1.61,$1.86,$1.61,$1.84,"$2,436,768","$2,436,768"
