Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.0278,$0.02877,$0.02749,$0.02849,"$2,125,563","$2,125,563"
"Sep 25, 2022",$0.02829,$0.02939,$0.0277,$0.02779,"$393,176","$393,176"
"Sep 24, 2022",$0.02798,$0.02862,$0.02777,$0.02829,"$136,343","$136,343"
"Sep 23, 2022",$0.02719,$0.02812,$0.02689,$0.02798,"$230,666","$230,666"
"Sep 22, 2022",$0.02473,$0.02722,$0.02469,$0.02719,"$304,124","$304,124"
"Sep 21, 2022",$0.02733,$0.0274,$0.02359,$0.02473,"$239,171","$239,171"
"Sep 20, 2022",$0.02894,$0.02966,$0.02735,$0.02736,"$151,656","$151,656"
"Sep 19, 2022",$0.02846,$0.02906,$0.02802,$0.02894,"$104,156","$104,156"
"Sep 18, 2022",$0.02944,$0.03027,$0.02843,$0.02846,"$110,120","$110,120"
"Sep 17, 2022",$0.02907,$0.02946,$0.02853,$0.02944,"$122,921","$122,921"
"Sep 16, 2022",$0.03055,$0.03056,$0.02904,$0.02907,"$117,752","$117,752"
"Sep 15, 2022",$0.03272,$0.03279,$0.03048,$0.03055,"$138,375","$138,375"
"Sep 14, 2022",$0.03342,$0.03374,$0.03252,$0.03272,"$165,623","$165,623"
"Sep 13, 2022",$0.03444,$0.03487,$0.03326,$0.03338,"$438,570","$438,570"
"Sep 12, 2022",$0.03271,$0.03518,$0.03224,$0.03445,"$505,789","$505,789"
"Sep 11, 2022",$0.03286,$0.03329,$0.03205,$0.03271,"$422,001","$422,001"
"Sep 10, 2022",$0.03348,$0.03354,$0.03267,$0.03286,"$369,919","$369,919"
"Sep 09, 2022",$0.03271,$0.03381,$0.03226,$0.03348,"$365,027","$365,027"
"Sep 08, 2022",$0.03246,$0.03301,$0.03197,$0.03271,"$397,583","$397,583"
"Sep 07, 2022",$0.03153,$0.03282,$0.03053,$0.03245,"$496,524","$496,524"
"Sep 06, 2022",$0.03301,$0.03334,$0.03148,$0.03153,"$456,689","$456,689"
"Sep 05, 2022",$0.03313,$0.03357,$0.0326,$0.03301,"$675,163","$675,163"
"Sep 04, 2022",$0.03373,$0.03384,$0.0328,$0.03313,"$678,868","$678,868"
"Sep 03, 2022",$0.03406,$0.03427,$0.0333,$0.03373,"$642,952","$642,952"
"Sep 02, 2022",$0.03382,$0.0344,$0.03342,$0.03406,"$318,713","$318,713"
"Sep 01, 2022",$0.03448,$0.03453,$0.03303,$0.03382,"$151,525","$151,525"
"Aug 31, 2022",$0.03337,$0.03546,$0.03337,$0.03448,"$139,388","$139,388"
"Aug 30, 2022",$0.03432,$0.0347,$0.033,$0.03337,"$174,742","$174,742"
"Aug 29, 2022",$0.03353,$0.03439,$0.03334,$0.03434,"$131,575","$131,575"
"Aug 28, 2022",$0.03331,$0.03399,$0.03329,$0.03353,"$110,121","$110,121"
"Aug 27, 2022",$0.03438,$0.03445,$0.03302,$0.03331,"$133,483","$133,483"
"Aug 26, 2022",$0.03806,$0.03835,$0.03437,$0.03437,"$206,674","$206,674"
"Aug 25, 2022",$0.03603,$0.03816,$0.03582,$0.03805,"$238,104","$238,104"
"Aug 24, 2022",$0.03633,$0.03656,$0.03536,$0.03602,"$344,031","$344,031"
"Aug 23, 2022",$0.0361,$0.03639,$0.03483,$0.03632,"$568,725","$568,725"
"Aug 22, 2022",$0.0343,$0.03612,$0.03407,$0.03608,"$775,555","$775,555"
"Aug 21, 2022",$0.03274,$0.03482,$0.03274,$0.0343,"$436,191","$436,191"
"Aug 20, 2022",$0.03266,$0.03371,$0.03218,$0.03274,"$392,689","$392,689"
"Aug 19, 2022",$0.03372,$0.03372,$0.03207,$0.03265,"$429,301","$429,301"
"Aug 18, 2022",$0.03281,$0.03433,$0.03271,$0.03372,"$306,443","$306,443"
"Aug 17, 2022",$0.03318,$0.03464,$0.03157,$0.03281,"$373,010","$373,010"
"Aug 16, 2022",$0.03236,$0.03318,$0.03199,$0.03318,"$261,379","$261,379"
"Aug 15, 2022",$0.03158,$0.03368,$0.03158,$0.03237,"$601,836","$601,836"
"Aug 14, 2022",$0.03157,$0.03225,$0.03085,$0.03158,"$660,686","$660,686"
"Aug 13, 2022",$0.03173,$0.03202,$0.03149,$0.03157,"$360,526","$360,526"
"Aug 12, 2022",$0.03048,$0.03174,$0.0303,$0.03173,"$109,563","$109,563"
"Aug 11, 2022",$0.03424,$0.03665,$0.03044,$0.03047,"$595,656","$595,656"
"Aug 10, 2022",$0.03242,$0.03453,$0.03217,$0.03424,"$224,208","$224,208"
"Aug 09, 2022",$0.03373,$0.03387,$0.03211,$0.03242,"$121,647","$121,647"
"Aug 08, 2022",$0.03326,$0.03602,$0.03323,$0.03378,"$277,968","$277,968"
"Aug 07, 2022",$0.03239,$0.0345,$0.03192,$0.03326,"$207,281","$207,281"
"Aug 06, 2022",$0.03117,$0.0328,$0.03117,$0.03238,"$166,429","$166,429"
"Aug 05, 2022",$0.02771,$0.03185,$0.02757,$0.03117,"$355,223","$355,223"
"Aug 04, 2022",$0.02686,$0.02836,$0.02677,$0.02771,"$188,904","$188,904"
"Aug 03, 2022",$0.02727,$0.0275,$0.02672,$0.02686,"$123,081","$123,081"
"Aug 02, 2022",$0.02706,$0.02729,$0.02593,$0.02727,"$172,448","$172,448"
"Aug 01, 2022",$0.02782,$0.02818,$0.02689,$0.02706,"$192,265","$192,265"
"Jul 31, 2022",$0.02897,$0.02946,$0.02778,$0.02782,"$237,551","$237,551"
"Jul 30, 2022",$0.02907,$0.03121,$0.02891,$0.02897,"$211,225","$211,225"
"Jul 29, 2022",$0.02917,$0.02947,$0.02847,$0.02907,"$214,874","$214,874"
"Jul 28, 2022",$0.02675,$0.02982,$0.02671,$0.02915,"$198,277","$198,277"
"Jul 27, 2022",$0.02607,$0.02711,$0.02552,$0.02675,"$302,248","$302,248"
"Jul 26, 2022",$0.02507,$0.02606,$0.02476,$0.02606,"$423,972","$423,972"
"Jul 25, 2022",$0.02688,$0.02708,$0.02507,$0.02507,"$250,127","$250,127"
"Jul 24, 2022",$0.02601,$0.02704,$0.026,$0.02689,"$281,976","$281,976"
"Jul 23, 2022",$0.02591,$0.02602,$0.02573,$0.02601,"$301,142","$301,142"
"Jul 22, 2022",$0.02694,$0.02718,$0.02552,$0.02591,"$349,228","$349,228"
