Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.4859,$0.4875,$0.4713,$0.4849,"$3,115","$3,115"
"Sep 18, 2022",$0.4925,$0.4931,$0.4857,$0.4859,"$2,802","$2,802"
"Sep 17, 2022",$0.4905,$0.4936,$0.4881,$0.4925,"$5,218","$5,218"
"Sep 16, 2022",$0.4881,$0.4921,$0.4348,$0.4905,"$2,608","$2,608"
"Sep 15, 2022",$0.4957,$0.4961,$0.4865,$0.4881,"$2,595","$2,595"
"Sep 14, 2022",$0.4949,$0.4987,$0.4904,$0.4957,"$5,202","$5,202"
"Sep 13, 2022",$0.5211,$0.525,$0.4939,$0.4966,"$2,601","$2,601"
"Sep 12, 2022",$0.5144,$0.522,$0.5117,$0.5211,"$5,209","$5,209"
"Sep 11, 2022",$0.5134,$0.5146,$0.5097,$0.5143,"$2,598","$2,598"
"Sep 10, 2022",$0.5083,$0.5142,$0.5061,$0.5135,"$2,610","$2,610"
"Sep 09, 2022",$0.4842,$0.5091,$0.483,$0.5083,"$2,604","$2,604"
"Sep 08, 2022",$0.4835,$0.486,$0.4806,$0.4842,"$5,213","$5,213"
"Sep 07, 2022",$0.3,$0.4847,$0.269,$0.4835,"$2,641","$2,641"
"Sep 06, 2022",$0.4883,$0.4925,$0.3,$0.3,"$2,904","$2,904"
"Sep 05, 2022",$0.491,$0.4912,$0.4868,$0.4883,"$2,604","$2,604"
"Sep 04, 2022",$0.49,$0.4911,$0.4867,$0.491,"$3,458","$3,458"
"Sep 03, 2022",$0.4888,$0.4905,$0.4877,$0.49,"$5,208","$5,208"
"Sep 02, 2022",$0.4918,$0.4938,$0.4864,$0.4888,"$3,297","$3,297"
"Sep 01, 2022",$0.4922,$0.4937,$0.486,$0.4918,"$2,605","$2,605"
"Aug 31, 2022",$0.4893,$0.4977,$0.4893,$0.4922,"$5,408","$5,408"
"Aug 30, 2022",$0.4971,$0.4991,$0.4873,$0.4893,"$5,404","$5,404"
"Aug 29, 2022",$0.4869,$0.4973,$0.4867,$0.4971,"$2,601","$2,601"
"Aug 28, 2022",$0.49,$0.4926,$0.4869,$0.4869,"$5,203","$5,203"
"Aug 27, 2022",$0.4946,$0.496,$0.4892,$0.4901,"$2,600","$2,600"
"Aug 26, 2022",$0.512,$0.5139,$0.4938,$0.4946,"$2,600","$2,600"
"Aug 25, 2022",$0.2596,$0.5132,$0.2596,$0.5121,"$2,600","$2,600"
"Aug 24, 2022",$0.2596,$0.2596,$0.2596,$0.2596,"$2,600","$2,600"
"Aug 23, 2022",$0.39,$0.39,$0.2596,$0.2596,"$2,600","$2,600"
"Aug 22, 2022",$0.5104,$0.5107,$0.39,$0.39,"$3,914","$3,914"
"Aug 21, 2022",$0.5058,$0.5117,$0.5047,$0.5104,"$2,913","$2,913"
"Aug 20, 2022",$0.4876,$0.5079,$0.4876,$0.5058,"$3,507","$3,507"
"Aug 19, 2022",$0.5178,$0.5178,$0.4876,$0.4877,"$5,277","$5,277"
"Aug 18, 2022",$0.4,$0.5205,$0.4,$0.5178,$0,$0
"Aug 17, 2022",$0.259,$0.4,$0.2589,$0.4,"$3,915","$3,915"
"Aug 16, 2022",$0.2586,$0.4501,$0.2586,$0.259,"$2,522","$2,522"
"Aug 15, 2022",$0.2583,$0.4502,$0.2583,$0.2586,"$2,515","$2,515"
"Aug 14, 2022",$0.259,$0.4502,$0.2583,$0.2583,"$5,014","$5,014"
"Aug 13, 2022",$0.5468,$0.5529,$0.2551,$0.259,"$2,507","$2,507"
"Aug 12, 2022",$0.5412,$0.5469,$0.5371,$0.5468,"$5,404","$5,404"
"Aug 11, 2022",$0.5406,$0.5521,$0.5404,$0.5412,"$2,502","$2,502"
"Aug 10, 2022",$0.531,$0.543,$0.5264,$0.5406,"$2,501","$2,501"
"Aug 09, 2022",$0.5397,$0.5403,$0.5288,$0.531,"$5,103","$5,103"
"Aug 08, 2022",$0.5316,$0.5451,$0.5315,$0.5397,"$2,500","$2,500"
"Aug 07, 2022",$0.5289,$0.5339,$0.5277,$0.5315,"$2,005","$2,005"
"Aug 06, 2022",$0.22,$0.5318,$0.22,$0.5289,"$2,501","$2,501"
"Aug 05, 2022",$0.5501,$0.5501,$0.22,$0.22,"$1,481","$1,481"
"Aug 04, 2022",$0.4001,$0.5502,$0.4001,$0.5501,"$5,396","$5,396"
"Aug 03, 2022",$0.5351,$0.5501,$0.3001,$0.4001,"$1,913","$1,913"
"Aug 02, 2022",$0.5502,$0.5502,$0.5351,$0.5351,"$4,991","$4,991"
"Aug 01, 2022",$0.5502,$0.5502,$0.5501,$0.5502,"$5,012","$5,012"
"Jul 31, 2022",$0.5502,$0.5502,$0.5501,$0.5502,"$3,092","$3,092"
"Jul 30, 2022",$0.5502,$0.5502,$0.5501,$0.5502,"$6,383","$6,383"
"Jul 29, 2022",$0.5502,$0.5502,$0.5501,$0.5502,"$6,052","$6,052"
"Jul 28, 2022",$0.5502,$0.5502,$0.5501,$0.5502,"$6,042","$6,042"
"Jul 27, 2022",$0.5523,$0.5525,$0.5501,$0.5502,"$3,100","$3,100"
"Jul 26, 2022",$0.5501,$0.5524,$0.5501,$0.5523,"$6,305","$6,305"
"Jul 25, 2022",$0.535,$0.5501,$0.51,$0.5501,"$6,297","$6,297"
"Jul 24, 2022",$0.5551,$0.5551,$0.535,$0.535,"$3,034","$3,034"
"Jul 23, 2022",$0.555,$0.5552,$0.555,$0.5551,"$6,002","$6,002"
"Jul 22, 2022",$0.5551,$0.5552,$0.555,$0.555,"$3,005","$3,005"
"Jul 21, 2022",$0.5551,$0.5552,$0.555,$0.5551,"$6,008","$6,008"
"Jul 20, 2022",$0.5551,$0.5552,$0.555,$0.5551,"$6,006","$6,006"
"Jul 19, 2022",$0.555,$0.5552,$0.555,$0.5551,"$6,027","$6,027"
"Jul 18, 2022",$0.5549,$0.555,$0.5548,$0.555,"$6,004","$6,004"
"Jul 17, 2022",$0.5549,$0.555,$0.5548,$0.5549,"$3,007","$3,007"
"Jul 16, 2022",$0.5551,$0.5552,$0.5549,$0.5549,"$6,072","$6,072"
"Jul 15, 2022",$0.5548,$0.5551,$0.5548,$0.5551,"$6,003","$6,003"
"Jul 14, 2022",$0.5549,$0.555,$0.5346,$0.5548,"$6,449","$6,449"
"Jul 13, 2022",$0.5547,$0.555,$0.5346,$0.5549,"$6,317","$6,317"
"Jul 12, 2022",$0.5547,$0.5548,$0.5546,$0.5547,"$5,997","$5,997"
"Jul 11, 2022",$0.5548,$0.5549,$0.5546,$0.5547,"$6,031","$6,031"
"Jul 10, 2022",$0.5549,$0.5549,$0.5548,$0.5548,"$3,021","$3,021"
"Jul 09, 2022",$0.5548,$0.555,$0.5547,$0.5549,"$6,094","$6,094"
"Jul 08, 2022",$0.5548,$0.5549,$0.5547,$0.5548,"$6,091","$6,091"
"Jul 07, 2022",$0.5547,$0.5549,$0.5546,$0.5548,"$6,104","$6,104"
"Jul 06, 2022",$0.5546,$0.5548,$0.5545,$0.5547,"$3,004","$3,004"
"Jul 05, 2022",$0.5546,$0.5548,$0.5546,$0.5546,"$6,070","$6,070"
"Jul 04, 2022",$0.5546,$0.5547,$0.5546,$0.5546,"$3,020","$3,020"
"Jul 03, 2022",$0.5546,$0.5547,$0.5545,$0.5546,"$6,237","$6,237"
"Jul 02, 2022",$0.5545,$0.5547,$0.5545,$0.5546,"$3,201","$3,201"
"Jul 01, 2022",$0.5545,$0.5546,$0.5544,$0.5545,"$6,101","$6,101"
"Jun 30, 2022",$0.5546,$0.5547,$0.5544,$0.5545,"$6,223","$6,223"
"Jun 29, 2022",$0.5545,$0.5547,$0.5543,$0.5546,"$6,099","$6,099"
"Jun 28, 2022",$0.5547,$0.5547,$0.5544,$0.5545,"$6,131","$6,131"
"Jun 27, 2022",$0.5548,$0.555,$0.5546,$0.5546,"$6,142","$6,142"
"Jun 26, 2022",$0.5549,$0.555,$0.5548,$0.5548,"$3,129","$3,129"
"Jun 25, 2022",$0.5549,$0.555,$0.5548,$0.5549,"$6,172","$6,172"
"Jun 24, 2022",$0.5547,$0.5549,$0.5547,$0.5549,"$6,040","$6,040"
"Jun 23, 2022",$0.5547,$0.5548,$0.5544,$0.5547,"$6,001","$6,001"
"Jun 22, 2022",$0.5547,$0.5547,$0.5546,$0.5547,"$3,522","$3,522"
"Jun 21, 2022",$0.5546,$0.5547,$0.5545,$0.5547,"$6,467","$6,467"
"Jun 20, 2022",$0.5546,$0.5547,$0.5544,$0.5546,"$6,561","$6,561"
"Jun 19, 2022",$0.5544,$0.5546,$0.5543,$0.5546,"$6,213","$6,213"
"Jun 18, 2022",$0.5547,$0.5552,$0.5542,$0.5544,"$6,371","$6,371"
"Jun 17, 2022",$0.5546,$0.5547,$0.5544,$0.5547,"$6,176","$6,176"
"Jun 16, 2022",$0.5546,$0.5547,$0.5544,$0.5546,"$6,085","$6,085"
"Jun 15, 2022",$0.5546,$0.5547,$0.5542,$0.5546,"$3,244","$3,244"
"Jun 14, 2022",$0.5543,$0.5547,$0.5543,$0.5546,"$6,070","$6,070"
"Jun 13, 2022",$0.5546,$0.5546,$0.5538,$0.5543,"$6,073","$6,073"
"Jun 12, 2022",$0.5546,$0.5546,$0.5545,$0.5546,"$3,002","$3,002"
"Jun 11, 2022",$0.5547,$0.5548,$0.5546,$0.5546,"$3,011","$3,011"
"Jun 10, 2022",$0.5548,$0.5549,$0.5547,$0.5547,"$6,127","$6,127"
"Jun 09, 2022",$0.5546,$0.5548,$0.5545,$0.5548,"$6,113","$6,113"
"Jun 08, 2022",$0.5548,$0.5549,$0.5546,$0.5546,"$3,098","$3,098"
"Jun 07, 2022",$0.5548,$0.5549,$0.5546,$0.5548,"$6,075","$6,075"
"Jun 06, 2022",$0.5548,$0.5549,$0.5546,$0.5548,"$6,336","$6,336"
"Jun 05, 2022",$0.5547,$0.5548,$0.5547,$0.5548,"$6,435","$6,435"
"Jun 04, 2022",$0.5547,$0.5548,$0.5546,$0.5547,"$3,328","$3,328"
"Jun 03, 2022",$0.5546,$0.5548,$0.5546,$0.5547,"$6,434","$6,434"
"Jun 02, 2022",$0.5548,$0.5548,$0.5545,$0.5547,"$6,704","$6,704"
"Jun 01, 2022",$0.5548,$0.5549,$0.5546,$0.5548,"$3,099","$3,099"
"May 31, 2022",$0.5547,$0.5549,$0.5546,$0.5548,"$6,344","$6,344"
"May 30, 2022",$0.5547,$0.5548,$0.5546,$0.5547,"$6,446","$6,446"
"May 29, 2022",$0.5546,$0.5548,$0.5546,$0.5547,"$3,329","$3,329"
"May 28, 2022",$0.5546,$0.5547,$0.5544,$0.5546,"$6,144","$6,144"
"May 27, 2022",$0.5545,$0.5547,$0.5544,$0.5545,"$6,165","$6,165"
"May 26, 2022",$0.5544,$0.5547,$0.5543,$0.5545,"$6,483","$6,483"
"May 25, 2022",$0.5546,$0.5546,$0.5544,$0.5544,"$6,653","$6,653"
"May 24, 2022",$0.5546,$0.5547,$0.5544,$0.5546,"$6,655","$6,655"
"May 23, 2022",$0.5455,$0.5547,$0.5454,$0.5546,"$6,087","$6,087"
"May 22, 2022",$0.5544,$0.5545,$0.5454,$0.5455,"$3,276","$3,276"
"May 21, 2022",$0.5488,$0.5546,$0.5487,$0.5544,"$6,463","$6,463"
"May 20, 2022",$0.5497,$0.5498,$0.5487,$0.5488,"$3,215","$3,215"
"May 19, 2022",$0.5497,$0.551,$0.5486,$0.5497,"$6,080","$6,080"
"May 18, 2022",$0.5496,$0.5506,$0.5487,$0.5497,"$6,618","$6,618"
"May 17, 2022",$0.5502,$0.5513,$0.5495,$0.5496,"$12,781","$12,781"
"May 16, 2022",$0.5493,$0.5512,$0.5493,$0.5502,"$12,629","$12,629"
"May 15, 2022",$0.5491,$0.5495,$0.549,$0.5493,"$7,218","$7,218"
"May 14, 2022",$0.5491,$0.5498,$0.5484,$0.5491,"$6,116","$6,116"
"May 13, 2022",$0.5496,$0.5514,$0.5491,$0.5491,"$12,299","$12,299"
"May 12, 2022",$0.5486,$0.5498,$0.5154,$0.5496,"$6,383","$6,383"
"May 11, 2022",$0.5492,$0.5502,$0.5467,$0.5486,"$12,904","$12,904"
"May 10, 2022",$0.5488,$0.5495,$0.5487,$0.5493,"$6,608","$6,608"
"May 09, 2022",$0.5517,$0.5548,$0.5487,$0.5488,"$6,600","$6,600"
"May 08, 2022",$0.5489,$0.5518,$0.5479,$0.5517,"$13,447","$13,447"
"May 07, 2022",$0.5483,$0.5498,$0.5481,$0.5489,"$6,413","$6,413"
"May 06, 2022",$0.5501,$0.552,$0.5476,$0.5484,"$12,763","$12,763"
"May 05, 2022",$0.5487,$0.5503,$0.5486,$0.5501,"$6,624","$6,624"
"May 04, 2022",$0.5515,$0.5515,$0.5486,$0.5487,"$13,203","$13,203"
"May 03, 2022",$0.5503,$0.5515,$0.5481,$0.5515,"$13,281","$13,281"
"May 02, 2022",$0.55,$0.5519,$0.5486,$0.5503,"$19,703","$19,703"
"May 01, 2022",$0.549,$0.5516,$0.5481,$0.55,"$6,635","$6,635"
"Apr 30, 2022",$0.549,$0.5499,$0.5484,$0.549,"$13,266","$13,266"
"Apr 29, 2022",$0.5509,$0.5518,$0.5486,$0.549,"$6,392","$6,392"
"Apr 28, 2022",$0.5526,$0.5527,$0.5489,$0.5509,"$12,557","$12,557"
"Apr 27, 2022",$0.5504,$0.5534,$0.5488,$0.5526,"$6,415","$6,415"
"Apr 26, 2022",$0.5488,$0.5514,$0.5482,$0.5504,"$12,483","$12,483"
"Apr 25, 2022",$0.5499,$0.5519,$0.5477,$0.5488,"$12,486","$12,486"
"Apr 24, 2022",$0.6497,$0.8624,$0.5493,$0.5499,"$13,606","$13,606"
"Apr 23, 2022",$0.6443,$0.6498,$0.6417,$0.6497,"$6,156","$6,156"
"Apr 22, 2022",$0.6496,$0.6497,$0.6442,$0.6443,"$13,271","$13,271"
"Apr 21, 2022",$0.6496,$0.6498,$0.6496,$0.6496,"$6,378","$6,378"
"Apr 20, 2022",$0.6498,$0.6499,$0.6496,$0.6496,"$12,836","$12,836"
"Apr 19, 2022",$0.6497,$0.6498,$0.6496,$0.6498,"$12,480","$12,480"
"Apr 18, 2022",$0.6498,$0.6499,$0.6496,$0.6497,"$12,354","$12,354"
"Apr 17, 2022",$0.6497,$0.6498,$0.6496,$0.6498,"$6,332","$6,332"
"Apr 16, 2022",$0.6497,$0.6498,$0.6496,$0.6497,"$18,675","$18,675"
"Apr 15, 2022",$0.6496,$0.6498,$0.6496,$0.6497,"$5,275","$5,275"
"Apr 14, 2022",$0.6497,$0.6498,$0.6496,$0.6496,"$12,243","$12,243"
"Apr 13, 2022",$0.6499,$0.6499,$0.6496,$0.6497,"$12,382","$12,382"
"Apr 12, 2022",$0.6497,$0.6499,$0.6496,$0.6499,"$12,305","$12,305"
"Apr 11, 2022",$0.6497,$0.6499,$0.6496,$0.6497,"$12,326","$12,326"
"Apr 10, 2022",$0.6497,$0.6499,$0.6497,$0.6497,"$12,957","$12,957"
"Apr 09, 2022",$0.6497,$0.6499,$0.6496,$0.6498,"$12,310","$12,310"
"Apr 08, 2022",$0.6497,$0.6499,$0.6496,$0.6497,"$12,572","$12,572"
"Apr 07, 2022",$0.6496,$0.6498,$0.6496,$0.6497,"$6,157","$6,157"
"Apr 06, 2022",$0.6496,$0.6498,$0.6496,$0.6496,"$12,320","$12,320"
"Apr 05, 2022",$0.6497,$0.6498,$0.6496,$0.6496,"$12,309","$12,309"
"Apr 04, 2022",$0.6497,$0.6498,$0.6496,$0.6497,"$12,532","$12,532"
"Apr 03, 2022",$0.6497,$0.65,$0.6496,$0.6497,"$12,211","$12,211"
"Apr 02, 2022",$0.6498,$0.6499,$0.6497,$0.6497,"$6,160","$6,160"
"Apr 01, 2022",$0.6497,$0.6499,$0.6497,$0.6498,"$12,318","$12,318"
"Mar 31, 2022",$0.6497,$0.65,$0.6496,$0.6497,"$12,321","$12,321"
"Mar 30, 2022",$0.6498,$0.6499,$0.6497,$0.6497,"$12,325","$12,325"
