Day,Open,High,Low,Close,Volume,Market Cap
"Sep 17, 2022",$0.007645,$0.007695,$0.007553,$0.007687,"$544,701","$544,701"
"Sep 16, 2022",$0.007817,$0.007832,$0.007485,$0.007644,"$1,313,738","$1,313,738"
"Sep 15, 2022",$0.007943,$0.008892,$0.007562,$0.007811,"$4,045,793","$4,045,793"
"Sep 14, 2022",$0.007876,$0.00799,$0.00784,$0.007941,"$800,754","$800,754"
"Sep 13, 2022",$0.008334,$0.008335,$0.007726,$0.007936,"$2,135,453","$2,135,453"
"Sep 12, 2022",$0.008337,$0.008795,$0.008007,$0.008336,"$4,622,339","$4,622,339"
"Sep 11, 2022",$0.007892,$0.008704,$0.007876,$0.008337,"$2,724,239","$2,724,239"
"Sep 10, 2022",$0.007796,$0.007907,$0.007749,$0.007891,"$581,553","$581,553"
"Sep 09, 2022",$0.00742,$0.007814,$0.007418,$0.007795,"$1,191,406","$1,191,406"
"Sep 08, 2022",$0.007613,$0.007622,$0.007407,$0.007419,"$1,791,164","$1,791,164"
"Sep 07, 2022",$0.007447,$0.007632,$0.00731,$0.007613,"$958,058","$958,058"
"Sep 06, 2022",$0.007834,$0.00797,$0.007356,$0.007447,"$1,375,808","$1,375,808"
"Sep 05, 2022",$0.00793,$0.007979,$0.007801,$0.007832,"$806,150","$806,150"
"Sep 04, 2022",$0.007948,$0.008064,$0.007878,$0.00793,"$775,423","$775,423"
"Sep 03, 2022",$0.008101,$0.008113,$0.007874,$0.007946,"$726,404","$726,404"
"Sep 02, 2022",$0.008006,$0.008135,$0.007918,$0.008097,"$798,516","$798,516"
"Sep 01, 2022",$0.008019,$0.008119,$0.007888,$0.008007,"$1,147,314","$1,147,314"
"Aug 31, 2022",$0.008118,$0.008243,$0.008002,$0.008018,"$1,581,598","$1,581,598"
"Aug 30, 2022",$0.008535,$0.008632,$0.008105,$0.008118,"$1,851,774","$1,851,774"
"Aug 29, 2022",$0.008306,$0.009349,$0.007931,$0.008535,"$7,950,665","$7,950,665"
"Aug 28, 2022",$0.007616,$0.008848,$0.007548,$0.008297,"$3,560,642","$3,560,642"
"Aug 27, 2022",$0.007603,$0.007636,$0.007537,$0.007615,"$791,642","$791,642"
"Aug 26, 2022",$0.008059,$0.008237,$0.007592,$0.007606,"$1,546,813","$1,546,813"
"Aug 25, 2022",$0.008233,$0.008422,$0.008058,$0.008059,"$1,059,330","$1,059,330"
"Aug 24, 2022",$0.008154,$0.008461,$0.008041,$0.008233,"$1,459,960","$1,459,960"
"Aug 23, 2022",$0.008451,$0.008547,$0.008128,$0.008155,"$1,877,744","$1,877,744"
"Aug 22, 2022",$0.009574,$0.009617,$0.008346,$0.008451,"$6,712,277","$6,712,277"
"Aug 21, 2022",$0.00726,$0.009926,$0.007236,$0.00958,"$11,045,485","$11,045,485"
"Aug 20, 2022",$0.007378,$0.007527,$0.007123,$0.007246,"$854,676","$854,676"
"Aug 19, 2022",$0.007906,$0.007912,$0.007306,$0.007378,"$1,469,670","$1,469,670"
"Aug 18, 2022",$0.008244,$0.008308,$0.007905,$0.007906,"$834,031","$834,031"
"Aug 17, 2022",$0.00849,$0.008637,$0.008236,$0.008242,"$939,851","$939,851"
"Aug 16, 2022",$0.008514,$0.008566,$0.008369,$0.008497,"$924,660","$924,660"
"Aug 15, 2022",$0.008666,$0.008833,$0.008481,$0.008515,"$879,704","$879,704"
"Aug 14, 2022",$0.008897,$0.008978,$0.008662,$0.008666,"$1,103,731","$1,103,731"
"Aug 13, 2022",$0.008936,$0.00899,$0.008764,$0.008897,"$1,193,591","$1,193,591"
"Aug 12, 2022",$0.008753,$0.008974,$0.008734,$0.008942,"$1,091,348","$1,091,348"
"Aug 11, 2022",$0.008959,$0.009151,$0.008712,$0.008755,"$1,888,881","$1,888,881"
"Aug 10, 2022",$0.008752,$0.008992,$0.008687,$0.00896,"$1,070,716","$1,070,716"
"Aug 09, 2022",$0.009118,$0.009121,$0.00871,$0.008753,"$1,348,859","$1,348,859"
"Aug 08, 2022",$0.00906,$0.009245,$0.008957,$0.009116,"$1,310,565","$1,310,565"
"Aug 07, 2022",$0.008854,$0.009118,$0.00872,$0.009059,"$1,443,426","$1,443,426"
"Aug 06, 2022",$0.009031,$0.009049,$0.008852,$0.008854,"$1,002,230","$1,002,230"
"Aug 05, 2022",$0.008917,$0.009224,$0.008838,$0.009029,"$2,657,918","$2,657,918"
"Aug 04, 2022",$0.008864,$0.008932,$0.008632,$0.008915,"$4,177,542","$4,177,542"
"Aug 03, 2022",$0.009233,$0.009275,$0.008861,$0.00888,"$3,985,398","$3,985,398"
"Aug 02, 2022",$0.00934,$0.009355,$0.008827,$0.009232,"$3,757,808","$3,757,808"
"Aug 01, 2022",$0.009753,$0.009878,$0.00914,$0.00934,"$5,063,856","$5,063,856"
"Jul 31, 2022",$0.01024,$0.01056,$0.009765,$0.009765,"$5,410,152","$5,410,152"
"Jul 30, 2022",$0.01141,$0.01142,$0.01017,$0.01024,"$8,138,510","$8,138,510"
"Jul 29, 2022",$0.01154,$0.01356,$0.01117,$0.0114,"$18,174,024","$18,174,024"
"Jul 28, 2022",$0.01119,$0.01545,$0.009884,$0.01155,"$46,981,176","$46,981,176"
"Jul 27, 2022",$0.006344,$0.01199,$0.006244,$0.01118,"$29,101,771","$29,101,771"
"Jul 26, 2022",$0.006537,$0.006538,$0.006285,$0.006342,"$1,090,337","$1,090,337"
"Jul 25, 2022",$0.006789,$0.006802,$0.006528,$0.006539,"$944,008","$944,008"
"Jul 24, 2022",$0.006758,$0.006894,$0.006749,$0.006789,"$931,815","$931,815"
"Jul 23, 2022",$0.006603,$0.006764,$0.006533,$0.006758,"$1,047,405","$1,047,405"
"Jul 22, 2022",$0.006786,$0.006814,$0.0066,$0.006604,"$1,483,771","$1,483,771"
