Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$833.90,$897.42,$818.52,$889.75,"$18,878,272","$18,878,272"
"Sep 18, 2022",$932.82,$932.82,$813.43,$833.71,"$20,789,182","$20,789,182"
"Sep 17, 2022",$911.19,$937.33,$910.38,$932.80,"$12,297,258","$12,297,258"
"Sep 16, 2022",$916.07,$953.29,$905.45,$911.05,"$20,141,592","$20,141,592"
"Sep 15, 2022",$941.82,$949.12,$902.41,$916.07,"$22,535,986","$22,535,986"
"Sep 14, 2022",$937.76,$961.60,$914.36,$941.85,"$20,709,943","$20,709,943"
"Sep 13, 2022",$996.08,"$1,008.47",$931.43,$949.75,"$23,323,619","$23,323,619"
"Sep 12, 2022","$1,020.60","$1,039.45",$991.44,$996.18,"$20,403,535","$20,403,535"
"Sep 11, 2022","$1,020.09","$1,050.46","$1,006.31","$1,020.18","$21,483,788","$21,483,788"
"Sep 10, 2022","$1,023.79","$1,052.03",$999.80,"$1,020.11","$23,144,926","$23,144,926"
"Sep 09, 2022",$947.46,"$1,134.38",$946.92,"$1,023.89","$61,682,203","$61,682,203"
"Sep 08, 2022",$966.18,$969.68,$933.72,$947.56,"$18,029,458","$18,029,458"
"Sep 07, 2022",$917.90,$986.30,$890.95,$966.04,"$32,304,145","$32,304,145"
"Sep 06, 2022",$981.28,$997.90,$910.92,$918.09,"$21,131,355","$21,131,355"
"Sep 05, 2022","$1,001.02","$1,005.64",$972.89,$981.42,"$13,441,829","$13,441,829"
"Sep 04, 2022","$1,001.16","$1,004.04",$987.10,"$1,001.00","$11,779,988","$11,779,988"
"Sep 03, 2022",$995.99,"$1,023.67",$984.16,"$1,001.15","$21,618,664","$21,618,664"
"Sep 02, 2022",$999.80,"$1,084.49",$978.65,$995.74,"$39,495,693","$39,495,693"
"Sep 01, 2022","$1,000.68","$1,008.96",$959.43,$999.75,"$24,585,778","$24,585,778"
"Aug 31, 2022","$1,054.86","$1,084.67",$995.69,"$1,000.76","$42,759,591","$42,759,591"
"Aug 30, 2022",$923.86,"$1,157.45",$917.32,"$1,055.32","$152,133,954","$152,133,954"
"Aug 29, 2022",$869.69,$924.15,$863.66,$923.42,"$98,485,727","$98,485,727"
"Aug 28, 2022",$914.38,$936.29,$869.24,$869.47,"$91,858,634","$91,858,634"
"Aug 27, 2022",$891.31,$946.12,$869.93,$914.48,"$123,010,335","$123,010,335"
"Aug 26, 2022","$1,003.62","$1,005.91",$886.39,$891.26,"$114,713,181","$114,713,181"
"Aug 25, 2022","$1,014.35","$1,049.79",$988.79,"$1,003.65","$106,910,247","$106,910,247"
"Aug 24, 2022","$1,025.83","$1,051.04","$1,006.03","$1,014.23","$95,555,605","$95,555,605"
"Aug 23, 2022",$997.21,"$1,064.99",$975.51,"$1,025.77","$128,352,842","$128,352,842"
"Aug 22, 2022","$1,026.15","$1,027.04",$957.56,$997.15,"$121,011,681","$121,011,681"
"Aug 21, 2022","$1,054.44","$1,058.66","$1,005.09","$1,026.28","$115,652,694","$115,652,694"
"Aug 20, 2022","$1,019.23","$1,116.06",$996.93,"$1,054.44","$199,019,747","$199,019,747"
"Aug 19, 2022","$1,339.25","$1,340.50",$999.19,"$1,020.17","$196,599,464","$196,599,464"
"Aug 18, 2022","$1,440.07","$1,471.59","$1,275.63","$1,339.36","$117,225,980","$117,225,980"
"Aug 17, 2022","$1,648.49","$1,648.97","$1,428.45","$1,439.21","$116,334,281","$116,334,281"
"Aug 16, 2022","$1,641.80","$1,756.15","$1,533.88","$1,648.88","$115,528,642","$115,528,642"
"Aug 15, 2022","$1,634.58","$1,709.18","$1,631.50","$1,642.01","$98,961,171","$98,961,171"
"Aug 14, 2022","$1,647.24","$1,661.92","$1,632.97","$1,634.38","$83,489,305","$83,489,305"
"Aug 13, 2022","$1,682.34","$1,724.54","$1,641.52","$1,647.12","$90,976,575","$90,976,575"
"Aug 12, 2022","$1,663.99","$1,688.49","$1,642.98","$1,682.87","$102,851,994","$102,851,994"
"Aug 11, 2022","$1,779.84","$1,797.46","$1,648.12","$1,663.95","$102,437,907","$102,437,907"
"Aug 10, 2022","$1,751.42","$1,808.62","$1,733.08","$1,780.01","$81,595,097","$81,595,097"
"Aug 09, 2022","$1,811.94","$1,812.74","$1,732.68","$1,751.08","$83,705,593","$83,705,593"
"Aug 08, 2022","$1,770.45","$1,825.96","$1,747.66","$1,811.73","$90,679,199","$90,679,199"
"Aug 07, 2022","$1,823.17","$1,823.17","$1,768.99","$1,770.62","$68,127,128","$68,127,128"
"Aug 06, 2022","$1,859.03","$1,864.53","$1,822.80","$1,823.28","$68,582,008","$68,582,008"
"Aug 05, 2022","$1,822.27","$1,889.95","$1,796.91","$1,858.84","$102,895,980","$102,895,980"
"Aug 04, 2022","$1,810.67","$1,848.40","$1,787.85","$1,822.37","$93,088,401","$93,088,401"
"Aug 03, 2022","$1,852.01","$1,910.39","$1,801.32","$1,811.36","$105,873,852","$105,873,852"
"Aug 02, 2022","$1,847.94","$1,959.45","$1,766.05","$1,852.31","$123,523,955","$123,523,955"
"Aug 01, 2022","$1,853.59","$1,888.31","$1,804.42","$1,848.00","$143,325,057","$143,325,057"
"Jul 31, 2022","$2,044.80","$2,087.93","$1,847.19","$1,853.78","$170,176,109","$170,176,109"
"Jul 30, 2022","$2,086.49","$2,117.97","$2,026.44","$2,044.99","$191,220,975","$191,220,975"
"Jul 29, 2022","$2,052.18","$2,222.93","$2,028.85","$2,088.26","$216,187,347","$216,187,347"
"Jul 28, 2022","$1,655.97","$2,123.77","$1,553.50","$2,052.11","$255,262,688","$255,262,688"
"Jul 27, 2022","$1,560.35","$1,657.79","$1,532.22","$1,655.69","$123,670,803","$123,670,803"
"Jul 26, 2022","$1,521.62","$1,562.53","$1,485.11","$1,560.47","$117,751,310","$117,751,310"
"Jul 25, 2022","$1,663.24","$1,699.77","$1,521.51","$1,521.51","$151,906,966","$151,906,966"
"Jul 24, 2022","$1,737.65","$2,127.93","$1,435.69","$1,663.82","$388,734,233","$388,734,233"
"Jul 23, 2022","$1,692.97","$1,751.50","$1,661.87","$1,737.93","$120,780,845","$120,780,845"
"Jul 22, 2022","$1,610.50","$1,746.18","$1,580.06","$1,693.11","$161,701,953","$161,701,953"
"Jul 21, 2022","$1,400.12","$1,694.11","$1,366.42","$1,610.28","$153,995,335","$153,995,335"
"Jul 20, 2022","$1,468.11","$1,493.27","$1,386.40","$1,400.34","$100,455,492","$100,455,492"
"Jul 19, 2022","$1,459.34","$1,518.77","$1,421.92","$1,468.23","$120,001,828","$120,001,828"
"Jul 18, 2022","$1,316.30","$1,480.64","$1,316.30","$1,459.67","$164,302,970","$164,302,970"
"Jul 17, 2022","$1,235.52","$1,372.59","$1,210.81","$1,316.23","$119,237,117","$119,237,117"
"Jul 16, 2022","$1,240.31","$1,286.81","$1,193.09","$1,235.31","$101,141,745","$101,141,745"
"Jul 15, 2022","$1,276.23","$1,285.80","$1,235.91","$1,240.42","$110,966,047","$110,966,047"
"Jul 14, 2022","$1,252.74","$1,335.18","$1,199.88","$1,276.48","$140,140,010","$140,140,010"
"Jul 13, 2022","$1,119.61","$1,292.87","$1,075.50","$1,251.89","$159,107,452","$159,107,452"
"Jul 12, 2022","$1,072.22","$1,186.46","$1,068.27","$1,119.25","$147,390,043","$147,390,043"
"Jul 11, 2022","$1,192.32","$1,213.26","$1,043.81","$1,072.33","$121,762,600","$121,762,600"
"Jul 10, 2022","$1,255.94","$1,258.62","$1,142.53","$1,192.74","$121,537,275","$121,537,275"
"Jul 09, 2022","$1,234.08","$1,265.13","$1,223.10","$1,255.75","$114,529,315","$114,529,315"
