Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.4487,$0.4487,$0.3645,$0.3785,"$14,941,231","$14,941,231"
"Sep 17, 2022",$0.4178,$0.4491,$0.4172,$0.4487,"$11,292,644","$11,292,644"
"Sep 16, 2022",$0.4188,$0.427,$0.4086,$0.4177,"$11,630,234","$11,630,234"
"Sep 15, 2022",$0.4382,$0.4639,$0.4159,$0.4188,"$16,980,469","$16,980,469"
"Sep 14, 2022",$0.4425,$0.4518,$0.4211,$0.4382,"$15,110,528","$15,110,528"
"Sep 13, 2022",$0.4813,$0.4846,$0.4407,$0.4465,"$17,689,857","$17,689,857"
"Sep 12, 2022",$0.5176,$0.5183,$0.4748,$0.4813,"$21,573,576","$21,573,576"
"Sep 11, 2022",$0.5146,$0.5353,$0.5059,$0.5176,"$24,335,626","$24,335,626"
"Sep 10, 2022",$0.4956,$0.5388,$0.495,$0.5147,"$29,861,956","$29,861,956"
"Sep 09, 2022",$0.4697,$0.5065,$0.4697,$0.4956,"$24,902,050","$24,902,050"
"Sep 08, 2022",$0.4907,$0.5062,$0.4608,$0.4697,"$21,412,701","$21,412,701"
"Sep 07, 2022",$0.4415,$0.5073,$0.4372,$0.4907,"$25,308,587","$25,308,587"
"Sep 06, 2022",$0.4875,$0.5056,$0.4368,$0.4417,"$18,769,142","$18,769,142"
"Sep 05, 2022",$0.5019,$0.5052,$0.4796,$0.4876,"$10,890,271","$10,890,271"
"Sep 04, 2022",$0.5206,$0.5227,$0.4891,$0.5019,"$18,434,029","$18,434,029"
"Sep 03, 2022",$0.4788,$0.5424,$0.4735,$0.5206,"$40,905,693","$40,905,693"
"Sep 02, 2022",$0.4888,$0.5008,$0.4713,$0.4789,"$13,905,952","$13,905,952"
"Sep 01, 2022",$0.4781,$0.4891,$0.4687,$0.4888,"$14,585,888","$14,585,888"
"Aug 31, 2022",$0.4922,$0.5101,$0.4768,$0.4782,"$13,292,328","$13,292,328"
"Aug 30, 2022",$0.5294,$0.5565,$0.487,$0.492,"$19,734,232","$19,734,232"
"Aug 29, 2022",$0.4794,$0.5451,$0.4748,$0.5293,"$29,359,632","$29,359,632"
"Aug 28, 2022",$0.5129,$0.5213,$0.4793,$0.4793,"$12,182,280","$12,182,280"
"Aug 27, 2022",$0.5168,$0.523,$0.5019,$0.5128,"$11,879,303","$11,879,303"
