Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.3985,$0.4045,$0.393,$0.3951,"$54,445","$54,445"
"Sep 24, 2022",$0.4072,$0.4095,$0.3758,$0.3985,"$49,396","$49,396"
"Sep 23, 2022",$0.4118,$0.4122,$0.3921,$0.4072,"$50,042","$50,042"
"Sep 22, 2022",$0.4126,$0.4209,$0.3993,$0.4118,"$52,355","$52,355"
"Sep 21, 2022",$0.423,$0.4447,$0.4082,$0.4129,"$53,074","$53,074"
"Sep 20, 2022",$0.4378,$0.4426,$0.417,$0.423,"$54,203","$54,203"
"Sep 19, 2022",$0.4383,$0.4423,$0.4125,$0.4378,"$57,825","$57,825"
"Sep 18, 2022",$0.455,$0.4558,$0.4197,$0.4383,"$52,203","$52,203"
"Sep 17, 2022",$0.4476,$0.4563,$0.4451,$0.455,"$56,997","$56,997"
"Sep 16, 2022",$0.4457,$0.4503,$0.4364,$0.4475,"$57,258","$57,258"
"Sep 15, 2022",$0.4552,$0.4599,$0.4418,$0.4456,"$58,981","$58,981"
"Sep 14, 2022",$0.4569,$0.4629,$0.4452,$0.4551,"$57,434","$57,434"
"Sep 13, 2022",$0.51,$0.5103,$0.4507,$0.4582,"$53,220","$53,220"
"Sep 12, 2022",$0.4903,$0.5127,$0.462,$0.5099,"$60,845","$60,845"
"Sep 11, 2022",$0.4843,$0.4903,$0.4754,$0.4903,"$60,727","$60,727"
"Sep 10, 2022",$0.4708,$0.4864,$0.4671,$0.4843,"$65,648","$65,648"
"Sep 09, 2022",$0.4286,$0.4732,$0.428,$0.4709,"$58,401","$58,401"
"Sep 08, 2022",$0.3931,$0.4515,$0.3924,$0.4287,"$57,694","$57,694"
"Sep 07, 2022",$0.401,$0.4054,$0.379,$0.3931,"$49,648","$49,648"
"Sep 06, 2022",$0.4358,$0.4546,$0.3964,$0.401,"$50,182","$50,182"
"Sep 05, 2022",$0.4353,$0.439,$0.4284,$0.4356,"$57,635","$57,635"
"Sep 04, 2022",$0.4466,$0.4485,$0.4177,$0.4353,"$54,792","$54,792"
"Sep 03, 2022",$0.4226,$0.448,$0.4187,$0.4466,"$53,970","$53,970"
"Sep 02, 2022",$0.4245,$0.4335,$0.4187,$0.4226,"$51,953","$51,953"
"Sep 01, 2022",$0.4459,$0.4472,$0.4234,$0.4245,"$57,710","$57,710"
"Aug 31, 2022",$0.4455,$0.4594,$0.4439,$0.4459,"$57,081","$57,081"
"Aug 30, 2022",$0.4548,$0.4613,$0.4373,$0.4454,"$57,768","$57,768"
"Aug 29, 2022",$0.4409,$0.4575,$0.4197,$0.4548,"$54,100","$54,100"
"Aug 28, 2022",$0.4449,$0.4521,$0.4399,$0.441,"$58,607","$58,607"
"Aug 27, 2022",$0.4556,$0.4589,$0.442,$0.4449,"$65,769","$65,769"
"Aug 26, 2022",$0.485,$0.4892,$0.4537,$0.4556,"$60,757","$60,757"
"Aug 25, 2022",$0.4782,$0.4895,$0.4764,$0.4852,"$61,972","$61,972"
"Aug 24, 2022",$0.4831,$0.4901,$0.4474,$0.4782,"$56,922","$56,922"
"Aug 23, 2022",$0.4774,$0.4857,$0.4485,$0.4831,"$63,530","$63,530"
"Aug 22, 2022",$0.4616,$0.4776,$0.4339,$0.4773,"$57,043","$57,043"
"Aug 21, 2022",$0.3879,$0.4665,$0.3865,$0.4617,"$53,427","$53,427"
"Aug 20, 2022",$0.4388,$0.4507,$0.3855,$0.388,"$51,743","$51,743"
"Aug 19, 2022",$0.4831,$0.4886,$0.4361,$0.4389,"$63,203","$63,203"
"Aug 18, 2022",$0.5254,$0.529,$0.4615,$0.4831,"$47,366","$47,366"
