Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.01296,$0.01307,$0.01284,$0.01305,"$2,111,648","$2,111,648"
"Sep 21, 2022",$0.01342,$0.01374,$0.01282,$0.01296,"$2,460,839","$2,460,839"
"Sep 20, 2022",$0.0134,$0.01391,$0.01289,$0.01343,"$4,160,270","$4,160,270"
"Sep 19, 2022",$0.01104,$0.0134,$0.01103,$0.0134,"$6,334,393","$6,334,393"
"Sep 18, 2022",$0.01138,$0.01142,$0.01103,$0.01104,"$2,436,486","$2,436,486"
"Sep 17, 2022",$0.01135,$0.01158,$0.01114,$0.01137,"$2,586,417","$2,586,417"
"Sep 16, 2022",$0.01163,$0.01168,$0.01124,$0.01135,"$2,928,818","$2,928,818"
"Sep 15, 2022",$0.01138,$0.01169,$0.01132,$0.01163,"$2,957,996","$2,957,996"
"Sep 14, 2022",$0.01181,$0.01221,$0.01132,$0.01138,"$3,172,884","$3,172,884"
"Sep 13, 2022",$0.01221,$0.01235,$0.01175,$0.01177,"$3,190,144","$3,190,144"
"Sep 12, 2022",$0.01302,$0.01302,$0.01214,$0.01221,"$3,070,994","$3,070,994"
"Sep 11, 2022",$0.01235,$0.01401,$0.01228,$0.01302,"$7,692,710","$7,692,710"
"Sep 10, 2022",$0.01155,$0.01264,$0.01152,$0.01236,"$5,333,255","$5,333,255"
"Sep 09, 2022",$0.01184,$0.01185,$0.01143,$0.01155,"$4,324,552","$4,324,552"
"Sep 08, 2022",$0.01212,$0.01225,$0.01168,$0.01184,"$4,441,825","$4,441,825"
"Sep 07, 2022",$0.01304,$0.01376,$0.01209,$0.01212,"$6,155,111","$6,155,111"
"Sep 06, 2022",$0.01407,$0.01642,$0.01288,$0.01304,"$7,697,180","$7,697,180"
"Sep 05, 2022",$0.01544,$0.01546,$0.01393,$0.01408,"$5,599,562","$5,599,562"
"Sep 04, 2022",$0.01686,$0.01702,$0.01505,$0.01544,"$6,033,418","$6,033,418"
"Sep 03, 2022",$0.01802,$0.01819,$0.01656,$0.01683,"$5,967,536","$5,967,536"
"Sep 02, 2022",$0.02096,$0.0211,$0.01682,$0.01802,"$9,222,538","$9,222,538"
"Sep 01, 2022",$0.02056,$0.02176,$0.02033,$0.02096,"$6,626,212","$6,626,212"
"Aug 31, 2022",$0.02153,$0.02191,$0.02055,$0.02057,"$6,480,511","$6,480,511"
"Aug 30, 2022",$0.02349,$0.0238,$0.0208,$0.02153,"$10,039,938","$10,039,938"
"Aug 29, 2022",$0.02186,$0.02359,$0.02184,$0.02349,"$8,998,060","$8,998,060"
"Aug 28, 2022",$0.02513,$0.02513,$0.0211,$0.02187,"$7,780,981","$7,780,981"
"Aug 27, 2022",$0.01877,$0.02543,$0.01787,$0.02518,"$17,682,141","$17,682,141"
"Aug 26, 2022",$0.01882,$0.02123,$0.01797,$0.01876,"$7,099,791","$7,099,791"
"Aug 25, 2022",$0.02369,$0.02374,$0.0155,$0.01882,"$16,799,710","$16,799,710"
"Aug 24, 2022",$0.02638,$0.02639,$0.02369,$0.02369,"$8,750,854","$8,750,854"
"Aug 23, 2022",$0.02759,$0.02955,$0.02622,$0.02638,"$10,758,419","$10,758,419"
"Aug 22, 2022",$0.03649,$0.0396,$0.02628,$0.02758,"$24,259,409","$24,259,409"
"Aug 21, 2022",$0.03067,$0.0375,$0.03062,$0.0365,"$29,537,270","$29,537,270"
"Aug 20, 2022",$0.02266,$0.03219,$0.02263,$0.03064,"$21,627,243","$21,627,243"
"Aug 19, 2022",$0.02644,$0.02644,$0.02253,$0.02266,"$10,633,734","$10,633,734"
"Aug 18, 2022",$0.02448,$0.02653,$0.02419,$0.02644,"$9,747,772","$9,747,772"
"Aug 17, 2022",$0.02667,$0.02747,$0.02422,$0.02447,"$8,556,646","$8,556,646"
"Aug 16, 2022",$0.02503,$0.02713,$0.02471,$0.02667,"$12,226,476","$12,226,476"
"Aug 15, 2022",$0.02681,$0.03035,$0.02324,$0.02502,"$13,603,047","$13,603,047"
"Aug 14, 2022",$0.0213,$0.02976,$0.02108,$0.02681,"$19,836,444","$19,836,444"
"Aug 13, 2022",$0.02481,$0.02481,$0.02084,$0.02129,"$9,612,813","$9,612,813"
"Aug 12, 2022",$0.02507,$0.02863,$0.02458,$0.0248,"$11,845,334","$11,845,334"
"Aug 11, 2022",$0.02402,$0.0257,$0.02326,$0.02509,"$13,130,118","$13,130,118"
"Aug 10, 2022",$0.01927,$0.02555,$0.01911,$0.02401,"$16,343,890","$16,343,890"
"Aug 09, 2022",$0.01869,$0.0193,$0.0181,$0.01927,"$5,630,992","$5,630,992"
"Aug 08, 2022",$0.01575,$0.01868,$0.01563,$0.01868,"$6,696,584","$6,696,584"
"Aug 07, 2022",$0.0149,$0.0158,$0.01469,$0.01576,"$3,678,574","$3,678,574"
