Day,Open,High,Low,Close,Volume,Market Cap
"Sep 16, 2022",$1.18,$1.18,$1.04,$1.07,"$20,548,022","$20,548,022"
"Sep 15, 2022",$1.26,$1.26,$1.15,$1.18,"$18,966,250","$18,966,250"
"Sep 14, 2022",$1.14,$1.29,$1.12,$1.26,"$54,046,030","$54,046,030"
"Sep 13, 2022",$1.24,$1.24,$1.11,$1.13,"$22,754,152","$22,754,152"
"Sep 12, 2022",$1.32,$1.32,$1.17,$1.24,"$21,896,142","$21,896,142"
"Sep 11, 2022",$1.30,$1.34,$1.29,$1.32,"$14,642,093","$14,642,093"
"Sep 10, 2022",$1.35,$1.37,$1.29,$1.30,"$17,457,419","$17,457,419"
"Sep 09, 2022",$1.24,$1.39,$1.24,$1.35,"$29,949,969","$29,949,969"
"Sep 08, 2022",$1.26,$1.31,$1.23,$1.24,"$22,710,263","$22,710,263"
"Sep 07, 2022",$1.18,$1.32,$1.11,$1.26,"$47,336,887","$47,336,887"
"Sep 06, 2022",$1.34,$1.40,$1.18,$1.18,"$54,138,540","$54,138,540"
"Sep 05, 2022",$1.20,$1.38,$1.10,$1.33,"$105,812,676","$105,812,676"
"Sep 04, 2022",$1.01,$1.20,$1.00,$1.20,"$52,637,265","$52,637,265"
"Sep 03, 2022",$0.9969,$1.03,$0.9884,$1.01,"$9,477,550","$9,477,550"
"Sep 02, 2022",$0.9585,$1.01,$0.9545,$0.9967,"$18,192,014","$18,192,014"
"Sep 01, 2022",$0.9907,$0.9923,$0.9169,$0.9554,"$16,660,062","$16,660,062"
"Aug 31, 2022",$0.9732,$1.03,$0.9732,$0.9907,"$17,548,353","$17,548,353"
"Aug 30, 2022",$1.04,$1.04,$0.9594,$0.9731,"$22,731,689","$22,731,689"
"Aug 29, 2022",$1.02,$1.09,$0.988,$1.04,"$33,992,180","$33,992,180"
"Aug 28, 2022",$0.9873,$1.11,$0.9582,$1.02,"$49,514,666","$49,514,666"
"Aug 27, 2022",$0.9026,$1.09,$0.8957,$0.9856,"$65,461,557","$65,461,557"
"Aug 26, 2022",$0.9715,$0.9929,$0.8938,$0.9025,"$32,631,826","$32,631,826"
"Aug 25, 2022",$0.8481,$0.9885,$0.848,$0.9685,"$55,182,456","$55,182,456"
"Aug 24, 2022",$0.8527,$0.8753,$0.819,$0.8482,"$16,152,764","$16,152,764"
"Aug 23, 2022",$0.8534,$0.8671,$0.8151,$0.8532,"$16,308,923","$16,308,923"
"Aug 22, 2022",$0.8896,$0.892,$0.8229,$0.8533,"$14,541,415","$14,541,415"
"Aug 21, 2022",$0.9144,$0.9229,$0.8708,$0.8896,"$14,956,848","$14,956,848"
"Aug 20, 2022",$0.8345,$0.9462,$0.8318,$0.9145,"$34,411,742","$34,411,742"
"Aug 19, 2022",$0.9763,$0.9839,$0.8186,$0.8347,"$29,189,687","$29,189,687"
"Aug 18, 2022",$1.06,$1.15,$0.9519,$0.9763,"$42,930,443","$42,930,443"
"Aug 17, 2022",$0.9557,$1.08,$0.9402,$1.06,"$56,617,754","$56,617,754"
"Aug 16, 2022",$0.9502,$0.9864,$0.9182,$0.9551,"$16,329,742","$16,329,742"
