Day,Open,High,Low,Close,Volume,Market Cap
"Sep 17, 2022",$0.009122,$0.009233,$0.007967,$0.008038,"$629,669","$629,669"
"Sep 16, 2022",$0.009145,$0.00922,$0.009103,$0.009122,"$548,709","$548,709"
"Sep 15, 2022",$0.00927,$0.009327,$0.009115,$0.009145,"$548,970","$548,970"
"Sep 14, 2022",$0.009258,$0.009356,$0.009076,$0.00927,"$488,316","$488,316"
"Sep 13, 2022",$0.009198,$0.009361,$0.009157,$0.009288,"$276,560","$276,560"
"Sep 12, 2022",$0.009307,$0.009381,$0.009091,$0.009198,"$566,629","$566,629"
"Sep 11, 2022",$0.007527,$0.009319,$0.007261,$0.009307,"$938,402","$938,402"
"Sep 10, 2022",$0.007529,$0.007542,$0.007249,$0.007527,"$978,907","$978,907"
"Sep 09, 2022",$0.007645,$0.007647,$0.007234,$0.007529,"$162,656","$162,656"
"Sep 08, 2022",$0.006581,$0.00765,$0.006333,$0.007645,"$135,384","$135,384"
"Sep 07, 2022",$0.006645,$0.006787,$0.006249,$0.006581,"$258,116","$258,116"
"Sep 06, 2022",$0.008017,$0.008058,$0.006365,$0.006645,"$249,149","$249,149"
"Sep 05, 2022",$0.009022,$0.009063,$0.008011,$0.008017,"$366,892","$366,892"
"Sep 04, 2022",$0.009018,$0.00907,$0.008937,$0.009022,"$456,765","$456,765"
"Sep 03, 2022",$0.009082,$0.00917,$0.008972,$0.009018,"$528,193","$528,193"
"Sep 02, 2022",$0.00902,$0.009154,$0.008965,$0.009082,"$537,952","$537,952"
"Sep 01, 2022",$0.009052,$0.009149,$0.008946,$0.00902,"$544,596","$544,596"
"Aug 31, 2022",$0.008955,$0.009085,$0.008909,$0.009052,"$704,791","$704,791"
"Aug 30, 2022",$0.009168,$0.009207,$0.008835,$0.008955,"$1,206,140","$1,206,140"
"Aug 29, 2022",$0.00911,$0.00922,$0.009071,$0.009168,"$899,491","$899,491"
"Aug 28, 2022",$0.008957,$0.009214,$0.008709,$0.00911,"$827,865","$827,865"
"Aug 27, 2022",$0.007899,$0.00914,$0.007899,$0.008957,"$1,205,428","$1,205,428"
"Aug 26, 2022",$0.009166,$0.00922,$0.007873,$0.007899,"$1,041,068","$1,041,068"
"Aug 25, 2022",$0.0091,$0.009254,$0.008749,$0.009166,"$1,087,145","$1,087,145"
"Aug 24, 2022",$0.009072,$0.009203,$0.008267,$0.0091,"$517,064","$517,064"
"Aug 23, 2022",$0.009104,$0.009794,$0.008265,$0.009072,"$1,030,699","$1,030,699"
"Aug 22, 2022",$0.00925,$0.009379,$0.008375,$0.009104,"$965,363","$965,363"
"Aug 21, 2022",$0.009318,$0.00951,$0.008336,$0.00925,"$700,956","$700,956"
"Aug 20, 2022",$0.008325,$0.009593,$0.008251,$0.009318,"$687,984","$687,984"
"Aug 19, 2022",$0.00825,$0.008389,$0.007566,$0.008325,"$649,420","$649,420"
"Aug 18, 2022",$0.008537,$0.0088,$0.007901,$0.00825,"$493,516","$493,516"
"Aug 17, 2022",$0.008104,$0.008632,$0.007683,$0.008537,"$273,254","$273,254"
"Aug 16, 2022",$0.008581,$0.01001,$0.006866,$0.008104,"$497,334","$497,334"
"Aug 15, 2022",$0.007161,$0.008955,$0.005752,$0.008581,"$373,324","$373,324"
"Aug 14, 2022",$0.007947,$0.008953,$0.004501,$0.007161,"$159,651","$159,651"
"Aug 13, 2022",$0.006597,$0.008503,$0.006303,$0.007947,"$622,637","$622,637"
"Aug 12, 2022",$0.006751,$0.007503,$0.006302,$0.006597,"$603,029","$603,029"
"Aug 11, 2022",$0.003855,$0.00898,$0.0038,$0.006751,"$287,682","$287,682"
"Aug 10, 2022",$0.004594,$0.004594,$0.003051,$0.003855,"$371,330","$371,330"
"Aug 09, 2022",$0.004878,$0.004907,$0.003047,$0.004594,"$96,230","$96,230"
"Aug 08, 2022",$0.005359,$0.006145,$0.004825,$0.004878,"$64,160","$64,160"
"Aug 07, 2022",$0.007597,$0.007603,$0.005352,$0.005359,"$89,751","$89,751"
"Aug 06, 2022",$0.009311,$0.009315,$0.006316,$0.007597,"$232,276","$232,276"
