Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.008637,$0.008741,$0.00854,$0.008575,"$365,091","$365,091"
"Sep 25, 2022",$0.008733,$0.008824,$0.008631,$0.008639,"$369,174","$369,174"
"Sep 24, 2022",$0.008805,$0.008833,$0.00872,$0.008733,"$333,480","$333,480"
"Sep 23, 2022",$0.008817,$0.008869,$0.008713,$0.008806,"$344,559","$344,559"
"Sep 22, 2022",$0.008958,$0.009007,$0.008722,$0.008817,"$359,959","$359,959"
"Sep 21, 2022",$0.008926,$0.009181,$0.008856,$0.008961,"$405,084","$405,084"
"Sep 20, 2022",$0.008959,$0.009086,$0.008863,$0.008927,"$350,000","$350,000"
"Sep 19, 2022",$0.008878,$0.008983,$0.008713,$0.008962,"$358,741","$358,741"
"Sep 18, 2022",$0.009093,$0.00914,$0.008843,$0.008876,"$363,580","$363,580"
"Sep 17, 2022",$0.009035,$0.009214,$0.009029,$0.009094,"$368,938","$368,938"
"Sep 16, 2022",$0.009261,$0.00938,$0.009032,$0.009035,"$378,463","$378,463"
"Sep 15, 2022",$0.009453,$0.009488,$0.009261,$0.009262,"$344,463","$344,463"
"Sep 14, 2022",$0.0096,$0.009614,$0.009393,$0.009453,"$334,707","$334,707"
"Sep 13, 2022",$0.01006,$0.01013,$0.00956,$0.009593,"$425,235","$425,235"
"Sep 12, 2022",$0.009505,$0.01025,$0.009448,$0.01006,"$447,453","$447,453"
"Sep 11, 2022",$0.009535,$0.00959,$0.009471,$0.009504,"$379,590","$379,590"
"Sep 10, 2022",$0.009687,$0.009827,$0.009501,$0.009534,"$385,586","$385,586"
"Sep 09, 2022",$0.009598,$0.009946,$0.009551,$0.009686,"$415,081","$415,081"
"Sep 08, 2022",$0.009548,$0.009653,$0.00944,$0.009599,"$381,172","$381,172"
"Sep 07, 2022",$0.009557,$0.009655,$0.009359,$0.009552,"$414,861","$414,861"
"Sep 06, 2022",$0.009808,$0.009925,$0.009484,$0.009557,"$386,937","$386,937"
"Sep 05, 2022",$0.009696,$0.009911,$0.00959,$0.009808,"$398,468","$398,468"
"Sep 04, 2022",$0.009675,$0.009739,$0.009434,$0.009699,"$378,531","$378,531"
"Sep 03, 2022",$0.00977,$0.009961,$0.009542,$0.009677,"$364,029","$364,029"
"Sep 02, 2022",$0.009999,$0.01006,$0.009714,$0.009771,"$397,131","$397,131"
"Sep 01, 2022",$0.009701,$0.01014,$0.00962,$0.009999,"$438,857","$438,857"
"Aug 31, 2022",$0.009607,$0.01032,$0.009483,$0.0097,"$405,385","$405,385"
"Aug 30, 2022",$0.009641,$0.009933,$0.009485,$0.009606,"$400,429","$400,429"
"Aug 29, 2022",$0.00961,$0.00968,$0.009429,$0.009642,"$377,875","$377,875"
"Aug 28, 2022",$0.009775,$0.009829,$0.009449,$0.00961,"$376,845","$376,845"
"Aug 27, 2022",$0.00978,$0.009871,$0.009637,$0.009775,"$386,305","$386,305"
"Aug 26, 2022",$0.01055,$0.01067,$0.009707,$0.009779,"$410,048","$410,048"
"Aug 25, 2022",$0.0104,$0.0107,$0.01036,$0.01055,"$441,562","$441,562"
"Aug 24, 2022",$0.009659,$0.01062,$0.009625,$0.0104,"$460,020","$460,020"
"Aug 23, 2022",$0.01009,$0.01041,$0.009535,$0.009659,"$467,052","$467,052"
"Aug 22, 2022",$0.00969,$0.01008,$0.009449,$0.01008,"$414,346","$414,346"
"Aug 21, 2022",$0.009717,$0.009758,$0.009553,$0.009688,"$371,393","$371,393"
"Aug 20, 2022",$0.009846,$0.009998,$0.009672,$0.009717,"$396,695","$396,695"
"Aug 19, 2022",$0.01057,$0.01058,$0.009796,$0.009845,"$474,476","$474,476"
"Aug 18, 2022",$0.01057,$0.01067,$0.01042,$0.01057,"$412,109","$412,109"
"Aug 17, 2022",$0.01075,$0.01107,$0.01055,$0.01057,"$412,515","$412,515"
"Aug 16, 2022",$0.01079,$0.01091,$0.01066,$0.01075,"$652,080","$652,080"
"Aug 15, 2022",$0.01092,$0.01095,$0.01043,$0.01079,"$598,164","$598,164"
