Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.01387,$0.01399,$0.01366,$0.01379,"$4,551","$4,551"
"Sep 18, 2022",$0.01396,$0.0141,$0.01377,$0.01388,"$4,490","$4,490"
"Sep 17, 2022",$0.01408,$0.01412,$0.01113,$0.01396,"$4,207","$4,207"
"Sep 16, 2022",$0.01411,$0.01415,$0.014,$0.01408,"$4,607","$4,607"
"Sep 15, 2022",$0.01417,$0.01418,$0.01405,$0.01411,"$4,834","$4,834"
"Sep 14, 2022",$0.01409,$0.01421,$0.01405,$0.01417,"$4,638","$4,638"
"Sep 13, 2022",$0.01435,$0.01441,$0.01408,$0.01416,"$4,714","$4,714"
"Sep 12, 2022",$0.01428,$0.0144,$0.01424,$0.01432,"$4,758","$4,758"
"Sep 11, 2022",$0.01431,$0.01434,$0.01423,$0.01428,"$4,784","$4,784"
"Sep 10, 2022",$0.01427,$0.01434,$0.01423,$0.01431,"$4,757","$4,757"
"Sep 09, 2022",$0.01439,$0.01451,$0.01389,$0.01432,"$3,365","$3,365"
"Sep 08, 2022",$0.0145,$0.01452,$0.01432,$0.01439,"$4,924","$4,924"
"Sep 07, 2022",$0.01451,$0.01453,$0.01446,$0.0145,"$4,954","$4,954"
"Sep 06, 2022",$0.01468,$0.01474,$0.01451,$0.01451,"$4,883","$4,883"
"Sep 05, 2022",$0.0146,$0.01471,$0.01339,$0.01468,"$4,987","$4,987"
"Sep 04, 2022",$0.01477,$0.01478,$0.01338,$0.0146,"$2,365","$2,365"
"Sep 03, 2022",$0.01477,$0.01479,$0.01336,$0.01477,"$4,962","$4,962"
"Sep 02, 2022",$0.01478,$0.01484,$0.01477,$0.01477,"$4,753","$4,753"
"Sep 01, 2022",$0.01478,$0.01482,$0.01473,$0.01478,"$4,979","$4,979"
"Aug 31, 2022",$0.01473,$0.01481,$0.01473,$0.01478,"$4,689","$4,689"
"Aug 30, 2022",$0.0148,$0.01483,$0.01472,$0.01473,"$4,739","$4,739"
"Aug 29, 2022",$0.01484,$0.01488,$0.01315,$0.0148,"$4,800","$4,800"
"Aug 28, 2022",$0.01494,$0.01496,$0.01316,$0.01484,"$4,986","$4,986"
"Aug 27, 2022",$0.01496,$0.01498,$0.01492,$0.01494,"$5,089","$5,089"
"Aug 26, 2022",$0.01506,$0.01514,$0.01495,$0.01496,"$4,869","$4,869"
"Aug 25, 2022",$0.01415,$0.01506,$0.01413,$0.01506,"$3,390","$3,390"
"Aug 24, 2022",$0.01428,$0.01447,$0.014,$0.0142,$680,$680
"Aug 23, 2022",$0.01419,$0.0144,$0.01386,$0.01428,$696,$696
"Aug 22, 2022",$0.01428,$0.01431,$0.01388,$0.01419,$667,$667
"Aug 21, 2022",$0.01489,$0.01489,$0.01352,$0.01428,$733,$733
"Aug 20, 2022",$0.01551,$0.01555,$0.01329,$0.01489,"$1,734","$1,734"
"Aug 19, 2022",$0.01585,$0.01587,$0.01399,$0.01551,"$5,452","$5,452"
"Aug 18, 2022",$0.0159,$0.01595,$0.01402,$0.01585,"$5,096","$5,096"
"Aug 17, 2022",$0.01584,$0.01594,$0.01566,$0.0159,"$4,627","$4,627"
"Aug 16, 2022",$0.01569,$0.01599,$0.01402,$0.01584,"$5,172","$5,172"
"Aug 15, 2022",$0.01559,$0.01602,$0.014,$0.01569,"$4,789","$4,789"
"Aug 14, 2022",$0.01547,$0.0156,$0.014,$0.01559,"$3,031","$3,031"
"Aug 13, 2022",$0.01634,$0.01639,$0.01406,$0.01547,"$2,390","$2,390"
"Aug 12, 2022",$0.01625,$0.01635,$0.01621,$0.01634,"$5,403","$5,403"
"Aug 11, 2022",$0.01625,$0.01671,$0.01625,$0.01625,"$4,883","$4,883"
"Aug 10, 2022",$0.01645,$0.01659,$0.01618,$0.01625,"$5,333","$5,333"
"Aug 09, 2022",$0.01646,$0.0166,$0.01618,$0.01645,"$5,547","$5,547"
"Aug 08, 2022",$0.01637,$0.01663,$0.01632,$0.01646,"$5,622","$5,622"
"Aug 07, 2022",$0.01643,$0.01659,$0.01629,$0.01637,"$5,495","$5,495"
"Aug 06, 2022",$0.01642,$0.01662,$0.01629,$0.0164,"$5,246","$5,246"
"Aug 05, 2022",$0.01641,$0.01658,$0.01627,$0.01641,"$5,525","$5,525"
"Aug 04, 2022",$0.01631,$0.0166,$0.01624,$0.01641,"$5,649","$5,649"
"Aug 03, 2022",$0.0164,$0.01663,$0.01631,$0.01631,"$5,429","$5,429"
"Aug 02, 2022",$0.01644,$0.01657,$0.01596,$0.0164,"$5,489","$5,489"
"Aug 01, 2022",$0.01632,$0.01661,$0.0159,$0.01644,"$5,247","$5,247"
"Jul 31, 2022",$0.01618,$0.01669,$0.01599,$0.01632,"$5,518","$5,518"
"Jul 30, 2022",$0.01634,$0.01675,$0.01398,$0.01618,"$5,269","$5,269"
"Jul 29, 2022",$0.01612,$0.01669,$0.01599,$0.01634,"$5,161","$5,161"
"Jul 28, 2022",$0.01653,$0.01659,$0.01587,$0.01612,"$5,176","$5,176"
"Jul 27, 2022",$0.01634,$0.01658,$0.01608,$0.01653,"$5,600","$5,600"
"Jul 26, 2022",$0.01295,$0.0164,$0.01289,$0.01634,"$5,175","$5,175"
"Jul 25, 2022",$0.0167,$0.01686,$0.01286,$0.01295,"$3,232","$3,232"
"Jul 24, 2022",$0.01661,$0.01692,$0.0166,$0.0167,"$5,494","$5,494"
"Jul 23, 2022",$0.01688,$0.01694,$0.01659,$0.0166,"$5,391","$5,391"
"Jul 22, 2022",$0.01687,$0.01695,$0.01661,$0.01688,"$5,250","$5,250"
"Jul 21, 2022",$0.01682,$0.01699,$0.01661,$0.01687,"$5,505","$5,505"
"Jul 20, 2022",$0.01678,$0.01703,$0.01671,$0.01682,"$5,576","$5,576"
"Jul 19, 2022",$0.01681,$0.01698,$0.01651,$0.01688,"$5,562","$5,562"
"Jul 18, 2022",$0.01669,$0.01688,$0.01652,$0.01676,"$5,509","$5,509"
"Jul 17, 2022",$0.0167,$0.0168,$0.01631,$0.01669,"$5,287","$5,287"
"Jul 16, 2022",$0.0163,$0.01679,$0.01623,$0.0167,"$4,484","$4,484"
"Jul 15, 2022",$0.01615,$0.01635,$0.01596,$0.0163,"$4,225","$4,225"
"Jul 14, 2022",$0.01624,$0.01633,$0.01594,$0.01615,"$5,341","$5,341"
"Jul 13, 2022",$0.0162,$0.01635,$0.01346,$0.01624,"$5,354","$5,354"
"Jul 12, 2022",$0.01645,$0.0165,$0.01598,$0.0162,"$5,280","$5,280"
"Jul 11, 2022",$0.01662,$0.01676,$0.01629,$0.01645,"$5,081","$5,081"
"Jul 10, 2022",$0.01693,$0.01704,$0.01646,$0.01662,"$5,245","$5,245"
"Jul 09, 2022",$0.0172,$0.01727,$0.01361,$0.01693,"$5,682","$5,682"
"Jul 08, 2022",$0.0172,$0.01733,$0.01706,$0.01721,"$5,832","$5,832"
"Jul 07, 2022",$0.0171,$0.01727,$0.01697,$0.0172,"$5,632","$5,632"
"Jul 06, 2022",$0.01662,$0.01711,$0.01592,$0.0171,"$5,009","$5,009"
"Jul 05, 2022",$0.01676,$0.01684,$0.0133,$0.01662,"$5,103","$5,103"
"Jul 04, 2022",$0.01479,$0.01676,$0.01453,$0.01676,"$5,079","$5,079"
"Jul 03, 2022",$0.01495,$0.0153,$0.0144,$0.01479,$718,$718
"Jul 02, 2022",$0.01532,$0.01537,$0.01438,$0.01495,$735,$735
