Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.01451,$0.01513,$0.01428,$0.0145,"$148,934","$148,934"
"Sep 25, 2022",$0.01482,$0.01492,$0.01423,$0.01451,"$178,014","$178,014"
"Sep 24, 2022",$0.01507,$0.01611,$0.01457,$0.01482,"$193,479","$193,479"
"Sep 23, 2022",$0.0153,$0.01549,$0.01456,$0.01507,"$168,294","$168,294"
"Sep 22, 2022",$0.01424,$0.01537,$0.01418,$0.01529,"$225,900","$225,900"
"Sep 21, 2022",$0.01441,$0.0149,$0.01404,$0.01424,"$202,300","$202,300"
"Sep 20, 2022",$0.0149,$0.01493,$0.01434,$0.01441,"$155,205","$155,205"
"Sep 19, 2022",$0.01516,$0.01517,$0.01439,$0.0149,"$233,221","$233,221"
"Sep 18, 2022",$0.01603,$0.01611,$0.01509,$0.01516,"$181,084","$181,084"
"Sep 17, 2022",$0.01601,$0.01691,$0.01599,$0.01602,"$228,574","$228,574"
"Sep 16, 2022",$0.01609,$0.01616,$0.01581,$0.01601,"$167,803","$167,803"
"Sep 15, 2022",$0.01652,$0.01687,$0.01599,$0.01609,"$175,890","$175,890"
"Sep 14, 2022",$0.01628,$0.01681,$0.01612,$0.01652,"$186,112","$186,112"
"Sep 13, 2022",$0.01716,$0.01733,$0.01608,$0.01629,"$185,829","$185,829"
"Sep 12, 2022",$0.01684,$0.01748,$0.01673,$0.01716,"$176,583","$176,583"
"Sep 11, 2022",$0.01736,$0.01745,$0.01675,$0.01684,"$163,388","$163,388"
"Sep 10, 2022",$0.0175,$0.01757,$0.01693,$0.01736,"$182,079","$182,079"
"Sep 09, 2022",$0.01699,$0.01755,$0.01699,$0.0175,"$190,721","$190,721"
"Sep 08, 2022",$0.01663,$0.01719,$0.01644,$0.01699,"$174,812","$174,812"
"Sep 07, 2022",$0.01671,$0.01671,$0.01613,$0.01663,"$173,381","$173,381"
"Sep 06, 2022",$0.01712,$0.01754,$0.01663,$0.01671,"$191,266","$191,266"
"Sep 05, 2022",$0.01761,$0.01779,$0.01711,$0.01712,"$172,701","$172,701"
"Sep 04, 2022",$0.0176,$0.01794,$0.0172,$0.01761,"$145,535","$145,535"
"Sep 03, 2022",$0.01779,$0.01788,$0.01742,$0.0176,"$147,371","$147,371"
"Sep 02, 2022",$0.01755,$0.01797,$0.01713,$0.01779,"$148,375","$148,375"
